# seed=42 mode=sniper file=sample.bmp filesize=921738
trial	mode	filesize	off	bit	span	detected
0	sniper	921738	541502	1	1	false
1	sniper	921738	52491	3	1	false
2	sniper	921738	820359	2	1	false
3	sniper	921738	102858	7	1	false
4	sniper	921738	360998	5	1	false
5	sniper	921738	305353	1	1	false
6	sniper	921738	581598	6	1	false
7	sniper	921738	508427	3	1	false
8	sniper	921738	83170	4	1	false
9	sniper	921738	410525	4	1	false
10	sniper	921738	675204	7	1	false
11	sniper	921738	107898	3	1	false
12	sniper	921738	315221	1	1	false
13	sniper	921738	310704	3	1	false
14	sniper	921738	494968	0	1	false
15	sniper	921738	699960	3	1	false
16	sniper	921738	737068	6	1	false
17	sniper	921738	119773	0	1	false
18	sniper	921738	249504	7	1	false
19	sniper	921738	813272	6	1	false
20	sniper	921738	778508	3	1	false
21	sniper	921738	251397	4	1	false
22	sniper	921738	181582	2	1	false
23	sniper	921738	599216	0	1	false
24	sniper	921738	578289	5	1	false
25	sniper	921738	193188	0	1	false
26	sniper	921738	889550	5	1	false
27	sniper	921738	351046	4	1	false
28	sniper	921738	757353	4	1	false
29	sniper	921738	23197	7	1	false
30	sniper	921738	249042	1	1	false
31	sniper	921738	106139	3	1	false
32	sniper	921738	66820	0	1	false
33	sniper	921738	486565	0	1	false
34	sniper	921738	474868	4	1	false
35	sniper	921738	7871	7	1	false
36	sniper	921738	334800	6	1	false
37	sniper	921738	683462	5	1	false
38	sniper	921738	659603	6	1	false
39	sniper	921738	93060	0	1	false
40	sniper	921738	226581	7	1	false
41	sniper	921738	290132	7	1	false
42	sniper	921738	687025	6	1	false
43	sniper	921738	546327	0	1	false
44	sniper	921738	894800	0	1	false
45	sniper	921738	632876	6	1	false
46	sniper	921738	485175	3	1	false
47	sniper	921738	127005	5	1	false
48	sniper	921738	804893	2	1	false
49	sniper	921738	706379	2	1	false
50	sniper	921738	78421	2	1	false
51	sniper	921738	582557	3	1	false
52	sniper	921738	578996	7	1	false
53	sniper	921738	123820	2	1	false
54	sniper	921738	676054	6	1	false
55	sniper	921738	631035	7	1	false
56	sniper	921738	478715	6	1	false
57	sniper	921738	164029	6	1	false
58	sniper	921738	914683	1	1	false
59	sniper	921738	736329	2	1	false
60	sniper	921738	385879	4	1	false
61	sniper	921738	705258	2	1	false
62	sniper	921738	549182	5	1	false
63	sniper	921738	66394	7	1	false
64	sniper	921738	303494	0	1	false
65	sniper	921738	647028	0	1	false
66	sniper	921738	275781	3	1	false
67	sniper	921738	628954	7	1	false
68	sniper	921738	547550	1	1	false
69	sniper	921738	296829	3	1	false
70	sniper	921738	684631	2	1	false
71	sniper	921738	268811	6	1	false
72	sniper	921738	474449	2	1	false
73	sniper	921738	44993	4	1	false
74	sniper	921738	676633	2	1	false
75	sniper	921738	751081	2	1	false
76	sniper	921738	466682	0	1	false
77	sniper	921738	253339	4	1	false
78	sniper	921738	37017	2	1	false
79	sniper	921738	569358	4	1	false
80	sniper	921738	486623	2	1	false
81	sniper	921738	691071	3	1	false
82	sniper	921738	879945	0	1	false
83	sniper	921738	21615	2	1	false
84	sniper	921738	782250	2	1	false
85	sniper	921738	9601	3	1	false
86	sniper	921738	269387	6	1	false
87	sniper	921738	470540	6	1	false
88	sniper	921738	773250	0	1	false
89	sniper	921738	195034	5	1	false
90	sniper	921738	518102	6	1	false
91	sniper	921738	51485	4	1	false
92	sniper	921738	351493	2	1	false
93	sniper	921738	600335	3	1	false
94	sniper	921738	730605	4	1	false
95	sniper	921738	571547	7	1	false
96	sniper	921738	142659	6	1	false
97	sniper	921738	282699	2	1	false
98	sniper	921738	420873	0	1	false
99	sniper	921738	56392	7	1	false
