# seed=42 mode=bolter file=zip_plasma.exr filesize=397625
trial	mode	filesize	off	bit	span	detected
0	bolter	397625	4676	-	1	false
1	bolter	397625	394334	-	1	false
2	bolter	397625	136435	-	1	false
3	bolter	397625	260505	-	1	false
4	bolter	397625	130207	-	1	false
5	bolter	397625	224071	-	1	false
6	bolter	397625	49350	-	1	false
7	bolter	397625	298021	-	1	false
8	bolter	397625	205654	-	1	false
9	bolter	397625	210043	-	1	false
10	bolter	397625	317830	-	1	false
11	bolter	397625	214600	-	1	false
12	bolter	397625	17968	-	1	false
13	bolter	397625	34539	-	1	false
14	bolter	397625	333173	-	1	false
15	bolter	397625	372460	-	1	false
16	bolter	397625	132608	-	1	false
17	bolter	397625	284449	-	1	false
18	bolter	397625	378306	-	1	false
19	bolter	397625	315933	-	1	false
20	bolter	397625	385166	-	1	false
21	bolter	397625	344890	-	1	false
22	bolter	397625	179970	-	1	false
23	bolter	397625	18042	-	1	false
24	bolter	397625	268843	-	1	false
25	bolter	397625	228527	-	1	false
26	bolter	397625	159295	-	1	false
27	bolter	397625	26273	-	1	false
28	bolter	397625	280029	-	1	false
29	bolter	397625	179073	-	1	false
30	bolter	397625	5066	-	1	false
31	bolter	397625	26600	-	1	false
32	bolter	397625	98675	-	1	false
33	bolter	397625	54028	-	1	false
34	bolter	397625	72285	-	1	false
35	bolter	397625	378611	-	1	false
36	bolter	397625	342663	-	1	false
37	bolter	397625	201904	-	1	false
38	bolter	397625	249642	-	1	false
39	bolter	397625	350258	-	1	false
40	bolter	397625	248980	-	1	false
41	bolter	397625	24142	-	1	false
42	bolter	397625	117880	-	1	false
43	bolter	397625	309336	-	1	false
44	bolter	397625	105104	-	1	false
45	bolter	397625	201327	-	1	false
46	bolter	397625	21965	-	1	false
47	bolter	397625	262248	-	1	false
48	bolter	397625	186751	-	1	false
49	bolter	397625	198686	-	1	false
50	bolter	397625	70971	-	1	false
51	bolter	397625	291338	-	1	false
52	bolter	397625	387869	-	1	false
53	bolter	397625	254810	-	1	false
54	bolter	397625	228022	-	1	false
55	bolter	397625	70374	-	1	false
56	bolter	397625	118321	-	1	false
57	bolter	397625	114989	-	1	false
58	bolter	397625	283168	-	1	false
59	bolter	397625	279401	-	1	false
60	bolter	397625	367122	-	1	false
61	bolter	397625	114866	-	1	false
62	bolter	397625	351716	-	1	false
63	bolter	397625	218043	-	1	false
64	bolter	397625	254517	-	1	false
65	bolter	397625	351187	-	1	false
66	bolter	397625	206818	-	1	false
67	bolter	397625	22305	-	1	false
68	bolter	397625	42367	-	1	false
69	bolter	397625	47582	-	1	false
70	bolter	397625	216756	-	1	false
71	bolter	397625	359770	-	1	false
72	bolter	397625	3866	-	1	false
73	bolter	397625	155824	-	1	false
74	bolter	397625	60842	-	1	false
75	bolter	397625	220452	-	1	false
76	bolter	397625	105188	-	1	false
77	bolter	397625	19460	-	1	false
78	bolter	397625	331675	-	1	false
79	bolter	397625	95064	-	1	false
80	bolter	397625	66764	-	1	false
81	bolter	397625	210025	-	1	false
82	bolter	397625	289022	-	1	false
83	bolter	397625	371223	-	1	false
84	bolter	397625	59663	-	1	false
85	bolter	397625	57246	-	1	false
86	bolter	397625	299808	-	1	false
87	bolter	397625	27470	-	1	false
88	bolter	397625	168528	-	1	false
89	bolter	397625	76743	-	1	false
90	bolter	397625	143504	-	1	false
91	bolter	397625	253007	-	1	false
92	bolter	397625	92931	-	1	false
93	bolter	397625	93088	-	1	false
94	bolter	397625	155457	-	1	false
95	bolter	397625	261195	-	1	false
96	bolter	397625	44115	-	1	false
97	bolter	397625	192129	-	1	false
98	bolter	397625	132861	-	1	false
99	bolter	397625	267080	-	1	false
