# seed=42 mode=shotgun file=animated_sample.gif filesize=410396
trial	mode	filesize	off	bit	span	detected
0	shotgun	410396	144876	-	4096	true
1	shotgun	410396	123429	-	4096	true
2	shotgun	410396	207986	-	4096	true
3	shotgun	410396	114891	-	4096	true
4	shotgun	410396	347805	-	4096	true
5	shotgun	410396	396168	-	4096	true
6	shotgun	410396	336418	-	4096	true
7	shotgun	410396	360972	-	4096	true
8	shotgun	410396	6799	-	4096	true
9	shotgun	410396	202578	-	4096	true
10	shotgun	410396	372899	-	4096	true
11	shotgun	410396	172343	-	4096	true
12	shotgun	410396	386480	-	4096	true
13	shotgun	410396	1901	-	4096	true
14	shotgun	410396	3883	-	4096	true
15	shotgun	410396	102025	-	4096	true
16	shotgun	410396	351421	-	4096	true
17	shotgun	410396	205267	-	4096	true
18	shotgun	410396	171739	-	4096	true
19	shotgun	410396	163808	-	4096	true
20	shotgun	410396	213747	-	4096	true
21	shotgun	410396	257644	-	4096	true
22	shotgun	410396	57340	-	4096	true
23	shotgun	410396	251518	-	4096	true
24	shotgun	410396	62189	-	4096	true
25	shotgun	410396	164677	-	4096	true
26	shotgun	410396	159972	-	4096	true
27	shotgun	410396	273417	-	4096	true
28	shotgun	410396	369878	-	4096	true
29	shotgun	410396	229824	-	4096	true
30	shotgun	410396	344632	-	4096	true
31	shotgun	410396	103719	-	4096	true
32	shotgun	410396	64300	-	4096	true
33	shotgun	410396	157270	-	4096	true
34	shotgun	410396	130963	-	4096	true
35	shotgun	410396	385815	-	4096	true
36	shotgun	410396	282515	-	4096	true
37	shotgun	410396	266952	-	4096	true
38	shotgun	410396	287833	-	4096	true
39	shotgun	410396	34905	-	4096	true
40	shotgun	410396	238386	-	4096	true
41	shotgun	410396	299239	-	4096	true
42	shotgun	410396	161518	-	4096	true
43	shotgun	410396	375855	-	4096	true
44	shotgun	410396	15400	-	4096	true
45	shotgun	410396	192605	-	4096	true
46	shotgun	410396	49745	-	4096	true
47	shotgun	410396	183951	-	4096	true
48	shotgun	410396	360891	-	4096	true
49	shotgun	410396	207304	-	4096	true
50	shotgun	410396	393840	-	4096	true
51	shotgun	410396	187272	-	4096	true
52	shotgun	410396	156328	-	4096	true
53	shotgun	410396	125858	-	4096	true
54	shotgun	410396	223159	-	4096	true
55	shotgun	410396	21434	-	4096	true
56	shotgun	410396	68602	-	4096	true
57	shotgun	410396	92033	-	4096	true
58	shotgun	410396	121764	-	4096	true
59	shotgun	410396	358269	-	4096	true
60	shotgun	410396	106909	-	4096	true
61	shotgun	410396	393842	-	4096	true
62	shotgun	410396	122248	-	4096	true
63	shotgun	410396	74269	-	4096	true
64	shotgun	410396	341421	-	4096	true
65	shotgun	410396	144527	-	4096	true
66	shotgun	410396	246083	-	4096	true
67	shotgun	410396	302533	-	4096	true
68	shotgun	410396	219326	-	4096	true
69	shotgun	410396	360819	-	4096	true
70	shotgun	410396	394180	-	4096	true
71	shotgun	410396	138093	-	4096	true
72	shotgun	410396	137763	-	4096	true
73	shotgun	410396	220226	-	4096	true
74	shotgun	410396	139835	-	4096	true
75	shotgun	410396	275333	-	4096	true
76	shotgun	410396	173345	-	4096	true
77	shotgun	410396	61021	-	4096	true
78	shotgun	410396	80352	-	4096	true
79	shotgun	410396	279938	-	4096	true
80	shotgun	410396	247736	-	4096	true
81	shotgun	410396	57251	-	4096	true
82	shotgun	410396	306944	-	4096	true
83	shotgun	410396	387116	-	4096	true
84	shotgun	410396	265014	-	4096	true
85	shotgun	410396	237303	-	4096	true
86	shotgun	410396	89437	-	4096	true
87	shotgun	410396	2602	-	4096	true
88	shotgun	410396	322647	-	4096	true
89	shotgun	410396	343579	-	4096	true
90	shotgun	410396	361943	-	4096	true
91	shotgun	410396	294871	-	4096	true
92	shotgun	410396	35771	-	4096	true
93	shotgun	410396	139494	-	4096	true
94	shotgun	410396	37658	-	4096	true
95	shotgun	410396	123356	-	4096	true
96	shotgun	410396	151712	-	4096	true
97	shotgun	410396	315126	-	4096	true
98	shotgun	410396	75265	-	4096	true
99	shotgun	410396	391658	-	4096	true
