# seed=42 mode=shotgun file=sample.ico filesize=232423
trial	mode	filesize	off	bit	span	detected
0	shotgun	232423	69326	-	4096	true
1	shotgun	232423	59767	-	4096	true
2	shotgun	232423	56243	-	4096	true
3	shotgun	232423	132592	-	4096	true
4	shotgun	232423	82625	-	4096	true
5	shotgun	232423	102818	-	4096	true
6	shotgun	232423	80841	-	4096	true
7	shotgun	232423	9906	-	4096	true
8	shotgun	232423	195159	-	4096	false
9	shotgun	232423	162998	-	4096	false
10	shotgun	232423	46793	-	4096	true
11	shotgun	232423	216121	-	4096	true
12	shotgun	232423	19085	-	4096	true
13	shotgun	232423	226478	-	4096	true
14	shotgun	232423	35036	-	4096	true
15	shotgun	232423	212875	-	4096	false
16	shotgun	232423	192313	-	4096	false
17	shotgun	232423	106850	-	4096	true
18	shotgun	232423	118413	-	4096	true
19	shotgun	232423	58183	-	4096	true
20	shotgun	232423	150967	-	4096	false
21	shotgun	232423	37312	-	4096	true
22	shotgun	232423	157223	-	4096	false
23	shotgun	232423	220275	-	4096	false
24	shotgun	232423	127219	-	4096	true
25	shotgun	232423	29067	-	4096	true
26	shotgun	232423	79687	-	4096	true
27	shotgun	232423	54261	-	4096	true
28	shotgun	232423	214141	-	4096	true
29	shotgun	232423	178599	-	4096	false
30	shotgun	232423	137219	-	4096	false
31	shotgun	232423	124681	-	4096	true
32	shotgun	232423	24771	-	4096	true
33	shotgun	232423	205583	-	4096	false
34	shotgun	232423	115175	-	4096	true
35	shotgun	232423	124688	-	4096	true
36	shotgun	232423	97526	-	4096	true
37	shotgun	232423	110141	-	4096	true
38	shotgun	232423	164895	-	4096	false
39	shotgun	232423	51822	-	4096	true
40	shotgun	232423	33364	-	4096	true
41	shotgun	232423	191321	-	4096	false
42	shotgun	232423	40971	-	4096	true
43	shotgun	232423	117456	-	4096	true
44	shotgun	232423	193620	-	4096	false
45	shotgun	232423	152931	-	4096	false
46	shotgun	232423	61453	-	4096	true
47	shotgun	232423	95674	-	4096	true
48	shotgun	232423	109069	-	4096	true
49	shotgun	232423	168218	-	4096	false
50	shotgun	232423	208855	-	4096	false
51	shotgun	232423	103675	-	4096	true
52	shotgun	232423	77215	-	4096	true
53	shotgun	232423	86133	-	4096	true
54	shotgun	232423	52602	-	4096	true
55	shotgun	232423	146861	-	4096	false
56	shotgun	232423	112725	-	4096	true
57	shotgun	232423	175877	-	4096	false
58	shotgun	232423	80577	-	4096	true
59	shotgun	232423	152659	-	4096	false
60	shotgun	232423	9472	-	4096	true
61	shotgun	232423	124770	-	4096	true
62	shotgun	232423	121127	-	4096	true
63	shotgun	232423	98845	-	4096	true
64	shotgun	232423	129136	-	4096	true
65	shotgun	232423	48356	-	4096	true
66	shotgun	232423	129291	-	4096	true
67	shotgun	232423	77035	-	4096	true
68	shotgun	232423	211138	-	4096	false
69	shotgun	232423	178613	-	4096	false
70	shotgun	232423	133978	-	4096	false
71	shotgun	232423	84383	-	4096	true
72	shotgun	232423	45194	-	4096	true
73	shotgun	232423	211556	-	4096	false
74	shotgun	232423	151245	-	4096	false
75	shotgun	232423	76798	-	4096	true
76	shotgun	232423	110275	-	4096	true
77	shotgun	232423	37382	-	4096	true
78	shotgun	232423	90010	-	4096	true
79	shotgun	232423	196882	-	4096	true
80	shotgun	232423	64158	-	4096	true
81	shotgun	232423	93527	-	4096	true
82	shotgun	232423	31142	-	4096	true
83	shotgun	232423	221725	-	4096	false
84	shotgun	232423	164210	-	4096	false
85	shotgun	232423	2739	-	4096	true
86	shotgun	232423	24850	-	4096	true
87	shotgun	232423	48328	-	4096	true
88	shotgun	232423	199615	-	4096	true
89	shotgun	232423	198954	-	4096	true
90	shotgun	232423	116459	-	4096	true
91	shotgun	232423	163702	-	4096	false
92	shotgun	232423	151207	-	4096	false
93	shotgun	232423	3057	-	4096	true
94	shotgun	232423	193748	-	4096	false
95	shotgun	232423	15383	-	4096	true
96	shotgun	232423	98586	-	4096	true
97	shotgun	232423	225391	-	4096	true
98	shotgun	232423	125530	-	4096	true
99	shotgun	232423	160998	-	4096	false
