# seed=42 mode=bolter file=w3c_exif_420.jpg filesize=768608
trial	mode	filesize	off	bit	span	detected
0	bolter	768608	440886	-	1	false
1	bolter	768608	202921	-	1	false
2	bolter	768608	47003	-	1	false
3	bolter	768608	114659	-	1	false
4	bolter	768608	634861	-	1	false
5	bolter	768608	291058	-	1	false
6	bolter	768608	60716	-	1	false
7	bolter	768608	630519	-	1	false
8	bolter	768608	113640	-	1	false
9	bolter	768608	609557	-	1	false
10	bolter	768608	502809	-	1	false
11	bolter	768608	171009	-	1	false
12	bolter	768608	513564	-	1	false
13	bolter	768608	389366	-	1	false
14	bolter	768608	656497	-	1	false
15	bolter	768608	707627	-	1	false
16	bolter	768608	604634	-	1	false
17	bolter	768608	730468	-	1	false
18	bolter	768608	429859	-	1	false
19	bolter	768608	243940	-	1	false
20	bolter	768608	536392	-	1	true
21	bolter	768608	500919	-	1	false
22	bolter	768608	414800	-	1	false
23	bolter	768608	588587	-	1	true
24	bolter	768608	385955	-	1	false
25	bolter	768608	96961	-	1	false
26	bolter	768608	111146	-	1	false
27	bolter	768608	447323	-	1	false
28	bolter	768608	138164	-	1	false
29	bolter	768608	426568	-	1	false
30	bolter	768608	171120	-	1	false
31	bolter	768608	181259	-	1	false
32	bolter	768608	529750	-	1	false
33	bolter	768608	243046	-	1	false
34	bolter	768608	600725	-	1	false
35	bolter	768608	628904	-	1	false
36	bolter	768608	63578	-	1	false
37	bolter	768608	462799	-	1	false
38	bolter	768608	745238	-	1	false
39	bolter	768608	609206	-	1	false
40	bolter	768608	612130	-	1	false
41	bolter	768608	136667	-	1	true
42	bolter	768608	262543	-	1	false
43	bolter	768608	767356	-	1	false
44	bolter	768608	711278	-	1	false
45	bolter	768608	577690	-	1	false
46	bolter	768608	11002	-	1	false
47	bolter	768608	302016	-	1	false
48	bolter	768608	645593	-	1	false
49	bolter	768608	30453	-	1	false
50	bolter	768608	499190	-	1	true
51	bolter	768608	221624	-	1	false
52	bolter	768608	736162	-	1	false
53	bolter	768608	114373	-	1	true
54	bolter	768608	361506	-	1	false
55	bolter	768608	320148	-	1	false
56	bolter	768608	75855	-	1	false
57	bolter	768608	149564	-	1	false
58	bolter	768608	200847	-	1	false
59	bolter	768608	581031	-	1	false
60	bolter	768608	109544	-	1	false
61	bolter	768608	717881	-	1	false
62	bolter	768608	201009	-	1	false
63	bolter	768608	145531	-	1	false
64	bolter	768608	151872	-	1	false
65	bolter	768608	148624	-	1	false
66	bolter	768608	561371	-	1	false
67	bolter	768608	376368	-	1	false
68	bolter	768608	626154	-	1	false
69	bolter	768608	553996	-	1	false
70	bolter	768608	645855	-	1	false
71	bolter	768608	185551	-	1	false
72	bolter	768608	592788	-	1	false
73	bolter	768608	155766	-	1	false
74	bolter	768608	247220	-	1	false
75	bolter	768608	345829	-	1	false
76	bolter	768608	411131	-	1	false
77	bolter	768608	42582	-	1	false
78	bolter	768608	665024	-	1	false
79	bolter	768608	627904	-	1	true
80	bolter	768608	503003	-	1	false
81	bolter	768608	666559	-	1	false
82	bolter	768608	700350	-	1	false
83	bolter	768608	577983	-	1	false
84	bolter	768608	676049	-	1	false
85	bolter	768608	528998	-	1	false
86	bolter	768608	683037	-	1	false
87	bolter	768608	640120	-	1	false
88	bolter	768608	645170	-	1	false
89	bolter	768608	364280	-	1	false
90	bolter	768608	86974	-	1	false
91	bolter	768608	306262	-	1	false
92	bolter	768608	534089	-	1	false
93	bolter	768608	581731	-	1	true
94	bolter	768608	649841	-	1	true
95	bolter	768608	435933	-	1	false
96	bolter	768608	313607	-	1	false
97	bolter	768608	731258	-	1	false
98	bolter	768608	380269	-	1	false
99	bolter	768608	428850	-	1	false
