# seed=42 mode=shotgun file=sample.key filesize=65975
trial	mode	filesize	off	bit	span	detected
0	shotgun	65975	14886	-	4096	true
1	shotgun	65975	42719	-	4096	true
2	shotgun	65975	40819	-	4096	true
3	shotgun	65975	57736	-	4096	true
4	shotgun	65975	25105	-	4096	true
5	shotgun	65975	24034	-	4096	true
6	shotgun	65975	1097	-	4096	true
7	shotgun	65975	53770	-	4096	true
8	shotgun	65975	53671	-	4096	true
9	shotgun	65975	50622	-	4096	true
10	shotgun	65975	35233	-	4096	true
11	shotgun	65975	6065	-	4096	true
12	shotgun	65975	40029	-	4096	true
13	shotgun	65975	20094	-	4096	true
14	shotgun	65975	50468	-	4096	true
15	shotgun	65975	50547	-	4096	true
16	shotgun	65975	34041	-	4096	true
17	shotgun	65975	16778	-	4096	true
18	shotgun	65975	7421	-	4096	true
19	shotgun	65975	44087	-	4096	true
20	shotgun	65975	44543	-	4096	true
21	shotgun	65975	22192	-	4096	true
22	shotgun	65975	41975	-	4096	true
23	shotgun	65975	59347	-	4096	true
24	shotgun	65975	52011	-	4096	true
25	shotgun	65975	15171	-	4096	true
26	shotgun	65975	7631	-	4096	true
27	shotgun	65975	43733	-	4096	true
28	shotgun	65975	36461	-	4096	true
29	shotgun	65975	27391	-	4096	true
30	shotgun	65975	52459	-	4096	true
31	shotgun	65975	36281	-	4096	true
32	shotgun	65975	7803	-	4096	true
33	shotgun	65975	59151	-	4096	true
34	shotgun	65975	55503	-	4096	true
35	shotgun	65975	4392	-	4096	true
36	shotgun	65975	33966	-	4096	true
37	shotgun	65975	56805	-	4096	true
38	shotgun	65975	26439	-	4096	true
39	shotgun	65975	15158	-	4096	true
40	shotgun	65975	7876	-	4096	true
41	shotgun	65975	4889	-	4096	true
42	shotgun	65975	23667	-	4096	true
43	shotgun	65975	9328	-	4096	true
44	shotgun	65975	43708	-	4096	true
45	shotgun	65975	24339	-	4096	true
46	shotgun	65975	55373	-	4096	true
47	shotgun	65975	14026	-	4096	true
48	shotgun	65975	1861	-	4096	true
49	shotgun	65975	41922	-	4096	true
50	shotgun	65975	16015	-	4096	true
51	shotgun	65975	11635	-	4096	true
52	shotgun	65975	15271	-	4096	true
53	shotgun	65975	47773	-	4096	true
54	shotgun	65975	650	-	4096	true
55	shotgun	65975	45885	-	4096	true
56	shotgun	65975	30165	-	4096	true
57	shotgun	65975	13437	-	4096	true
58	shotgun	65975	56377	-	4096	true
59	shotgun	65975	1115	-	4096	true
60	shotgun	65975	26360	-	4096	true
61	shotgun	65975	33930	-	4096	true
62	shotgun	65975	20783	-	4096	true
63	shotgun	65975	51477	-	4096	true
64	shotgun	65975	27856	-	4096	true
65	shotgun	65975	29692	-	4096	true
66	shotgun	65975	22643	-	4096	true
67	shotgun	65975	13307	-	4096	true
68	shotgun	65975	56394	-	4096	true
69	shotgun	65975	31469	-	4096	true
70	shotgun	65975	30754	-	4096	true
71	shotgun	65975	43327	-	4096	true
72	shotgun	65975	22242	-	4096	true
73	shotgun	65975	54172	-	4096	true
74	shotgun	65975	56717	-	4096	true
75	shotgun	65975	30494	-	4096	true
76	shotgun	65975	28123	-	4096	true
77	shotgun	65975	23382	-	4096	true
78	shotgun	65975	33914	-	4096	true
79	shotgun	65975	6210	-	4096	true
80	shotgun	65975	14790	-	4096	true
81	shotgun	65975	51119	-	4096	true
82	shotgun	65975	24438	-	4096	true
83	shotgun	65975	32741	-	4096	true
84	shotgun	65975	9346	-	4096	true
85	shotgun	65975	53763	-	4096	true
86	shotgun	65975	52610	-	4096	true
87	shotgun	65975	6872	-	4096	true
88	shotgun	65975	44943	-	4096	true
89	shotgun	65975	23938	-	4096	true
90	shotgun	65975	6091	-	4096	true
91	shotgun	65975	11574	-	4096	true
92	shotgun	65975	24151	-	4096	true
93	shotgun	65975	44665	-	4096	true
94	shotgun	65975	54724	-	4096	true
95	shotgun	65975	48463	-	4096	true
96	shotgun	65975	3466	-	4096	true
97	shotgun	65975	28623	-	4096	true
98	shotgun	65975	18418	-	4096	true
99	shotgun	65975	43142	-	4096	true
