# seed=42 mode=bolter file=h264_aac.mkv filesize=30506
trial	mode	filesize	off	bit	span	detected
0	bolter	30506	14606	-	1	true
1	bolter	30506	27037	-	1	true
2	bolter	30506	17895	-	1	true
3	bolter	30506	5441	-	1	true
4	bolter	30506	1249	-	1	true
5	bolter	30506	310	-	1	false
6	bolter	30506	21680	-	1	true
7	bolter	30506	16829	-	1	true
8	bolter	30506	22292	-	1	true
9	bolter	30506	7601	-	1	true
10	bolter	30506	8665	-	1	true
11	bolter	30506	13255	-	1	true
12	bolter	30506	24010	-	1	true
13	bolter	30506	14326	-	1	true
14	bolter	30506	14141	-	1	true
15	bolter	30506	26419	-	1	true
16	bolter	30506	29942	-	1	true
17	bolter	30506	26014	-	1	true
18	bolter	30506	4563	-	1	true
19	bolter	30506	11666	-	1	true
20	bolter	30506	320	-	1	false
21	bolter	30506	17819	-	1	true
22	bolter	30506	1256	-	1	true
23	bolter	30506	18391	-	1	true
24	bolter	30506	11001	-	1	true
25	bolter	30506	24021	-	1	true
26	bolter	30506	12746	-	1	true
27	bolter	30506	26749	-	1	true
28	bolter	30506	27228	-	1	true
29	bolter	30506	28862	-	1	true
30	bolter	30506	12846	-	1	true
31	bolter	30506	3587	-	1	true
32	bolter	30506	6918	-	1	true
33	bolter	30506	16582	-	1	true
34	bolter	30506	14625	-	1	true
35	bolter	30506	11764	-	1	true
36	bolter	30506	18666	-	1	true
37	bolter	30506	21331	-	1	true
38	bolter	30506	11636	-	1	true
39	bolter	30506	12200	-	1	true
40	bolter	30506	102	-	1	false
41	bolter	30506	6681	-	1	true
42	bolter	30506	1515	-	1	true
43	bolter	30506	22086	-	1	true
44	bolter	30506	27718	-	1	true
45	bolter	30506	17960	-	1	true
46	bolter	30506	7870	-	1	true
47	bolter	30506	1934	-	1	true
48	bolter	30506	16025	-	1	true
49	bolter	30506	23307	-	1	true
50	bolter	30506	17912	-	1	true
51	bolter	30506	5432	-	1	true
52	bolter	30506	23468	-	1	true
53	bolter	30506	28419	-	1	true
54	bolter	30506	12948	-	1	true
55	bolter	30506	30042	-	1	true
56	bolter	30506	18949	-	1	true
57	bolter	30506	2134	-	1	true
58	bolter	30506	24673	-	1	true
59	bolter	30506	3305	-	1	true
60	bolter	30506	4544	-	1	true
61	bolter	30506	29717	-	1	true
62	bolter	30506	13469	-	1	true
63	bolter	30506	26749	-	1	true
64	bolter	30506	9454	-	1	true
65	bolter	30506	4656	-	1	true
66	bolter	30506	15571	-	1	true
67	bolter	30506	2494	-	1	true
68	bolter	30506	14160	-	1	true
69	bolter	30506	19452	-	1	true
70	bolter	30506	569	-	1	false
71	bolter	30506	29741	-	1	true
72	bolter	30506	16334	-	1	true
73	bolter	30506	8392	-	1	true
74	bolter	30506	24684	-	1	true
75	bolter	30506	13597	-	1	true
76	bolter	30506	27797	-	1	true
77	bolter	30506	2934	-	1	true
78	bolter	30506	11928	-	1	true
79	bolter	30506	14920	-	1	true
80	bolter	30506	13133	-	1	true
81	bolter	30506	23487	-	1	true
82	bolter	30506	1108	-	1	true
83	bolter	30506	11475	-	1	true
84	bolter	30506	7713	-	1	true
85	bolter	30506	27594	-	1	true
86	bolter	30506	16445	-	1	true
87	bolter	30506	24816	-	1	true
88	bolter	30506	5968	-	1	true
89	bolter	30506	20288	-	1	true
90	bolter	30506	17176	-	1	true
91	bolter	30506	15696	-	1	true
92	bolter	30506	25867	-	1	true
93	bolter	30506	23737	-	1	true
94	bolter	30506	6161	-	1	true
95	bolter	30506	20661	-	1	true
96	bolter	30506	19453	-	1	true
97	bolter	30506	8036	-	1	true
98	bolter	30506	20803	-	1	true
99	bolter	30506	12594	-	1	true
