# seed=42 mode=shotgun file=h264_aac.mkv filesize=30506
trial	mode	filesize	off	bit	span	detected
0	shotgun	30506	24042	-	4096	true
1	shotgun	30506	6263	-	4096	true
2	shotgun	30506	13666	-	4096	true
3	shotgun	30506	2730	-	4096	true
4	shotgun	30506	7997	-	4096	true
5	shotgun	30506	24377	-	4096	true
6	shotgun	30506	3610	-	4096	true
7	shotgun	30506	927	-	4096	true
8	shotgun	30506	16543	-	4096	true
9	shotgun	30506	7292	-	4096	true
10	shotgun	30506	15605	-	4096	true
11	shotgun	30506	24370	-	4096	true
12	shotgun	30506	20016	-	4096	true
13	shotgun	30506	9139	-	4096	true
14	shotgun	30506	22615	-	4096	true
15	shotgun	30506	9415	-	4096	true
16	shotgun	30506	10199	-	4096	true
17	shotgun	30506	17422	-	4096	true
18	shotgun	30506	6798	-	4096	true
19	shotgun	30506	14078	-	4096	true
20	shotgun	30506	9032	-	4096	true
21	shotgun	30506	17306	-	4096	true
22	shotgun	30506	3580	-	4096	true
23	shotgun	30506	2514	-	4096	true
24	shotgun	30506	17907	-	4096	true
25	shotgun	30506	5035	-	4096	true
26	shotgun	30506	12748	-	4096	true
27	shotgun	30506	21991	-	4096	true
28	shotgun	30506	21663	-	4096	true
29	shotgun	30506	7126	-	4096	true
30	shotgun	30506	14050	-	4096	true
31	shotgun	30506	15351	-	4096	true
32	shotgun	30506	22041	-	4096	true
33	shotgun	30506	21078	-	4096	true
34	shotgun	30506	8841	-	4096	true
35	shotgun	30506	16089	-	4096	true
36	shotgun	30506	1668	-	4096	true
37	shotgun	30506	24591	-	4096	true
38	shotgun	30506	18823	-	4096	true
39	shotgun	30506	9369	-	4096	true
40	shotgun	30506	15695	-	4096	true
41	shotgun	30506	14283	-	4096	true
42	shotgun	30506	399	-	4096	true
43	shotgun	30506	20073	-	4096	true
44	shotgun	30506	18249	-	4096	true
45	shotgun	30506	14700	-	4096	true
46	shotgun	30506	15445	-	4096	true
47	shotgun	30506	3001	-	4096	true
48	shotgun	30506	10891	-	4096	true
49	shotgun	30506	23855	-	4096	true
50	shotgun	30506	23806	-	4096	true
51	shotgun	30506	21694	-	4096	true
52	shotgun	30506	7970	-	4096	true
53	shotgun	30506	6214	-	4096	true
54	shotgun	30506	11143	-	4096	true
55	shotgun	30506	1246	-	4096	true
56	shotgun	30506	18062	-	4096	true
57	shotgun	30506	12625	-	4096	true
58	shotgun	30506	22483	-	4096	true
59	shotgun	30506	9067	-	4096	true
60	shotgun	30506	15468	-	4096	true
61	shotgun	30506	21316	-	4096	true
62	shotgun	30506	12299	-	4096	true
63	shotgun	30506	7986	-	4096	true
64	shotgun	30506	13772	-	4096	true
65	shotgun	30506	8160	-	4096	true
66	shotgun	30506	14950	-	4096	true
67	shotgun	30506	15078	-	4096	true
68	shotgun	30506	2571	-	4096	true
69	shotgun	30506	25701	-	4096	true
70	shotgun	30506	4196	-	4096	true
71	shotgun	30506	9762	-	4096	true
72	shotgun	30506	521	-	4096	true
73	shotgun	30506	14594	-	4096	true
74	shotgun	30506	12617	-	4096	true
75	shotgun	30506	13029	-	4096	true
76	shotgun	30506	14270	-	4096	true
77	shotgun	30506	24362	-	4096	true
78	shotgun	30506	19137	-	4096	true
79	shotgun	30506	25068	-	4096	true
80	shotgun	30506	4787	-	4096	true
81	shotgun	30506	2987	-	4096	true
82	shotgun	30506	24186	-	4096	true
83	shotgun	30506	10929	-	4096	true
84	shotgun	30506	12146	-	4096	true
85	shotgun	30506	21976	-	4096	true
86	shotgun	30506	18940	-	4096	true
87	shotgun	30506	24477	-	4096	true
88	shotgun	30506	18196	-	4096	true
89	shotgun	30506	12927	-	4096	true
90	shotgun	30506	5104	-	4096	true
91	shotgun	30506	5925	-	4096	true
92	shotgun	30506	2325	-	4096	true
93	shotgun	30506	25597	-	4096	true
94	shotgun	30506	14411	-	4096	true
95	shotgun	30506	12259	-	4096	true
96	shotgun	30506	1380	-	4096	true
97	shotgun	30506	12530	-	4096	true
98	shotgun	30506	19734	-	4096	true
99	shotgun	30506	20721	-	4096	true
