# seed=42 mode=sniper file=h264_aac.mkv filesize=30506
trial	mode	filesize	off	bit	span	detected
0	sniper	30506	14606	1	1	true
1	sniper	30506	17895	3	1	true
2	sniper	30506	1249	2	1	true
3	sniper	30506	21680	7	1	true
4	sniper	30506	22292	5	1	true
5	sniper	30506	8665	1	1	true
6	sniper	30506	24010	6	1	true
7	sniper	30506	14141	3	1	true
8	sniper	30506	29942	4	1	true
9	sniper	30506	4563	4	1	true
10	sniper	30506	320	7	1	false
11	sniper	30506	1256	3	1	true
12	sniper	30506	11001	1	1	true
13	sniper	30506	12746	3	1	true
14	sniper	30506	27228	0	1	true
15	sniper	30506	12846	3	1	true
16	sniper	30506	6918	6	1	true
17	sniper	30506	14625	0	1	true
18	sniper	30506	18666	7	1	true
19	sniper	30506	11636	6	1	true
20	sniper	30506	102	3	1	false
21	sniper	30506	1515	4	1	true
22	sniper	30506	27718	2	1	true
23	sniper	30506	7870	0	1	true
24	sniper	30506	16025	5	1	true
25	sniper	30506	17912	0	1	true
26	sniper	30506	23468	5	1	true
27	sniper	30506	12948	4	1	true
28	sniper	30506	18949	4	1	true
29	sniper	30506	24673	7	1	true
30	sniper	30506	4544	1	1	true
31	sniper	30506	13469	3	1	true
32	sniper	30506	9454	0	1	true
33	sniper	30506	15571	0	1	true
34	sniper	30506	14160	4	1	true
35	sniper	30506	569	7	1	false
36	sniper	30506	16334	6	1	true
37	sniper	30506	24684	5	1	true
38	sniper	30506	27797	6	1	true
39	sniper	30506	11928	0	1	true
40	sniper	30506	13133	7	1	true
41	sniper	30506	1108	7	1	true
42	sniper	30506	7713	6	1	true
43	sniper	30506	16445	0	1	true
44	sniper	30506	5968	0	1	true
45	sniper	30506	17176	6	1	true
46	sniper	30506	25867	3	1	true
47	sniper	30506	6161	5	1	true
48	sniper	30506	19453	2	1	true
49	sniper	30506	20803	2	1	true
50	sniper	30506	21169	2	1	true
51	sniper	30506	12377	3	1	true
52	sniper	30506	9742	7	1	true
53	sniper	30506	25502	2	1	true
54	sniper	30506	13906	6	1	true
55	sniper	30506	699	7	1	false
56	sniper	30506	20001	6	1	true
57	sniper	30506	26787	6	1	true
58	sniper	30506	27301	1	1	true
59	sniper	30506	26575	2	1	true
60	sniper	30506	3731	4	1	true
61	sniper	30506	26442	2	1	true
62	sniper	30506	12964	5	1	true
63	sniper	30506	19200	7	1	true
64	sniper	30506	878	0	1	true
65	sniper	30506	11334	0	1	true
66	sniper	30506	22057	3	1	true
67	sniper	30506	30234	7	1	true
68	sniper	30506	13712	1	1	true
69	sniper	30506	21553	3	1	true
70	sniper	30506	30213	2	1	true
71	sniper	30506	27749	6	1	true
72	sniper	30506	355	2	1	false
73	sniper	30506	26251	4	1	true
74	sniper	30506	12245	2	1	true
75	sniper	30506	11051	2	1	true
76	sniper	30506	10116	0	1	true
77	sniper	30506	28197	4	1	true
78	sniper	30506	30121	2	1	true
79	sniper	30506	17814	4	1	true
80	sniper	30506	4683	2	1	true
81	sniper	30506	23693	3	1	true
82	sniper	30506	20085	0	1	true
83	sniper	30506	13819	2	1	true
84	sniper	30506	10830	2	1	true
85	sniper	30506	10985	3	1	true
86	sniper	30506	9559	6	1	true
87	sniper	30506	22228	6	1	true
88	sniper	30506	1196	0	1	true
89	sniper	30506	2664	5	1	true
90	sniper	30506	11328	6	1	true
91	sniper	30506	14287	4	1	true
92	sniper	30506	9507	2	1	true
93	sniper	30506	6707	3	1	true
94	sniper	30506	10339	4	1	true
95	sniper	30506	19953	7	1	true
96	sniper	30506	21879	6	1	true
97	sniper	30506	27235	2	1	true
98	sniper	30506	25815	0	1	true
99	sniper	30506	23922	7	1	true
