# seed=42 mode=sniper file=jellyfish_h264.mov filesize=1047042
trial	mode	filesize	off	bit	span	detected
0	sniper	1047042	955760	1	1	false
1	sniper	1047042	178239	3	1	false
2	sniper	1047042	753645	2	1	false
3	sniper	1047042	236970	7	1	false
4	sniper	1047042	663206	5	1	false
5	sniper	1047042	929569	1	1	false
6	sniper	1047042	830226	6	1	false
7	sniper	1047042	840617	3	1	true
8	sniper	1047042	27730	4	1	false
9	sniper	1047042	115913	4	1	false
10	sniper	1047042	188292	7	1	false
11	sniper	1047042	878430	3	1	false
12	sniper	1047042	778817	1	1	false
13	sniper	1047042	770502	3	1	false
14	sniper	1047042	650860	0	1	false
15	sniper	1047042	560472	3	1	false
16	sniper	1047042	942136	6	1	false
17	sniper	1047042	604825	0	1	false
18	sniper	1047042	898086	7	1	false
19	sniper	1047042	14858	6	1	false
20	sniper	1047042	774830	3	1	false
21	sniper	1047042	417351	4	1	false
22	sniper	1047042	984562	2	1	false
23	sniper	1047042	851480	0	1	false
24	sniper	1047042	858717	5	1	false
25	sniper	1047042	28284	0	1	false
26	sniper	1047042	53516	5	1	false
27	sniper	1047042	270958	4	1	false
28	sniper	1047042	299817	4	1	false
29	sniper	1047042	338335	7	1	false
30	sniper	1047042	563130	1	1	false
31	sniper	1047042	950375	3	1	false
32	sniper	1047042	965242	0	1	false
33	sniper	1047042	60385	0	1	false
34	sniper	1047042	300832	4	1	false
35	sniper	1047042	107435	7	1	false
36	sniper	1047042	369954	6	1	false
37	sniper	1047042	1007732	5	1	false
38	sniper	1047042	384023	6	1	false
39	sniper	1047042	907434	0	1	false
40	sniper	1047042	78729	7	1	false
41	sniper	1047042	311588	7	1	false
42	sniper	1047042	938521	6	1	false
43	sniper	1047042	23169	0	1	false
44	sniper	1047042	816530	0	1	false
45	sniper	1047042	121436	6	1	false
46	sniper	1047042	173511	3	1	false
47	sniper	1047042	563649	5	1	false
48	sniper	1047042	545435	2	1	false
49	sniper	1047042	375965	2	1	false
50	sniper	1047042	814081	2	1	false
51	sniper	1047042	634763	3	1	false
52	sniper	1047042	698198	7	1	false
53	sniper	1047042	252598	2	1	false
54	sniper	1047042	1042348	6	1	false
55	sniper	1047042	1007553	7	1	false
56	sniper	1047042	509747	6	1	false
57	sniper	1047042	35371	6	1	false
58	sniper	1047042	456379	1	1	false
59	sniper	1047042	20427	2	1	false
60	sniper	1047042	394243	4	1	false
61	sniper	1047042	275886	2	1	false
62	sniper	1047042	162764	5	1	false
63	sniper	1047042	332680	7	1	false
64	sniper	1047042	194474	0	1	false
65	sniper	1047042	523542	0	1	false
66	sniper	1047042	227049	3	1	false
67	sniper	1047042	652390	7	1	false
68	sniper	1047042	1019510	1	1	false
69	sniper	1047042	841887	3	1	false
70	sniper	1047042	66475	2	1	false
71	sniper	1047042	159185	6	1	false
72	sniper	1047042	320657	2	1	false
73	sniper	1047042	150941	4	1	false
74	sniper	1047042	716959	2	1	false
75	sniper	1047042	295363	2	1	false
76	sniper	1047042	510200	0	1	false
77	sniper	1047042	789265	4	1	false
78	sniper	1047042	774981	2	1	false
79	sniper	1047042	927126	4	1	false
80	sniper	1047042	894335	2	1	false
81	sniper	1047042	716649	3	1	false
82	sniper	1047042	69933	0	1	false
83	sniper	1047042	340713	2	1	false
84	sniper	1047042	815424	2	1	false
85	sniper	1047042	11257	3	1	false
86	sniper	1047042	156245	6	1	false
87	sniper	1047042	129620	6	1	false
88	sniper	1047042	493548	0	1	false
89	sniper	1047042	705058	5	1	false
90	sniper	1047042	703694	6	1	false
91	sniper	1047042	354461	4	1	false
92	sniper	1047042	423499	2	1	false
93	sniper	1047042	1017785	3	1	false
94	sniper	1047042	673791	4	1	false
95	sniper	1047042	124679	7	1	false
96	sniper	1047042	658947	6	1	false
97	sniper	1047042	398547	2	1	false
98	sniper	1047042	830565	0	1	false
99	sniper	1047042	670870	7	1	false
