# seed=42 mode=sniper file=bigbuckbunny_360_10s.mp4 filesize=991017
trial	mode	filesize	off	bit	span	detected
0	sniper	991017	511826	1	1	false
1	sniper	991017	86421	3	1	false
2	sniper	991017	271254	2	1	false
3	sniper	991017	811467	7	1	false
4	sniper	991017	973544	5	1	false
5	sniper	991017	332464	1	1	false
6	sniper	991017	542649	6	1	false
7	sniper	991017	208781	3	1	false
8	sniper	991017	68059	4	1	false
9	sniper	991017	366230	4	1	false
10	sniper	991017	614271	7	1	false
11	sniper	991017	68403	3	1	false
12	sniper	991017	192755	1	1	false
13	sniper	991017	399621	3	1	false
14	sniper	991017	183103	0	1	false
15	sniper	991017	237372	3	1	false
16	sniper	991017	757033	6	1	false
17	sniper	991017	817090	0	1	false
18	sniper	991017	955713	7	1	false
19	sniper	991017	774323	6	1	false
20	sniper	991017	812765	3	1	false
21	sniper	991017	402447	4	1	false
22	sniper	991017	115576	2	1	false
23	sniper	991017	773504	0	1	false
24	sniper	991017	229275	5	1	false
25	sniper	991017	537837	0	1	false
26	sniper	991017	451019	5	1	false
27	sniper	991017	258583	4	1	false
28	sniper	991017	244197	4	1	false
29	sniper	991017	214450	7	1	false
30	sniper	991017	935613	1	1	false
31	sniper	991017	652952	3	1	false
32	sniper	991017	805159	0	1	false
33	sniper	991017	689710	0	1	false
34	sniper	991017	38410	4	1	false
35	sniper	991017	742610	7	1	false
36	sniper	991017	839718	6	1	false
37	sniper	991017	664805	5	1	false
38	sniper	991017	301916	6	1	false
39	sniper	991017	383922	0	1	false
40	sniper	991017	80331	7	1	false
41	sniper	991017	118898	7	1	false
42	sniper	991017	754885	6	1	false
43	sniper	991017	723288	0	1	false
44	sniper	991017	413447	0	1	false
45	sniper	991017	317465	6	1	false
46	sniper	991017	931779	3	1	false
47	sniper	991017	598920	5	1	false
48	sniper	991017	274499	2	1	false
49	sniper	991017	864629	2	1	false
50	sniper	991017	914296	2	1	false
51	sniper	991017	596576	3	1	false
52	sniper	991017	540374	7	1	false
53	sniper	991017	830956	2	1	false
54	sniper	991017	385627	6	1	false
55	sniper	991017	378903	7	1	false
56	sniper	991017	62222	6	1	false
57	sniper	991017	270784	6	1	false
58	sniper	991017	295099	1	1	false
59	sniper	991017	932001	2	1	false
60	sniper	991017	69541	4	1	false
61	sniper	991017	659817	2	1	false
62	sniper	991017	904796	5	1	false
63	sniper	991017	67594	7	1	false
64	sniper	991017	627905	0	1	false
65	sniper	991017	188859	0	1	false
66	sniper	991017	899619	3	1	false
67	sniper	991017	635227	7	1	false
68	sniper	991017	108746	1	1	false
69	sniper	991017	904302	3	1	false
70	sniper	991017	21898	2	1	false
71	sniper	991017	62174	6	1	false
72	sniper	991017	786695	2	1	false
73	sniper	991017	285887	4	1	false
74	sniper	991017	616627	2	1	false
75	sniper	991017	840052	2	1	false
76	sniper	991017	655262	0	1	false
77	sniper	991017	79705	4	1	false
78	sniper	991017	201159	2	1	false
79	sniper	991017	28872	4	1	false
80	sniper	991017	384395	2	1	false
81	sniper	991017	450231	3	1	false
82	sniper	991017	165225	0	1	false
83	sniper	991017	567882	2	1	false
84	sniper	991017	118644	2	1	false
85	sniper	991017	45331	3	1	false
86	sniper	991017	663404	6	1	false
87	sniper	991017	201224	6	1	false
88	sniper	991017	485169	0	1	false
89	sniper	991017	120463	5	1	false
90	sniper	991017	886808	6	1	false
91	sniper	991017	770459	4	1	false
92	sniper	991017	158548	2	1	false
93	sniper	991017	819245	3	1	false
94	sniper	991017	78018	4	1	false
95	sniper	991017	61337	7	1	false
96	sniper	991017	742386	6	1	false
97	sniper	991017	420111	2	1	false
98	sniper	991017	496152	0	1	false
99	sniper	991017	753382	7	1	false
