# seed=42 mode=bolter file=h265_main.mp4 filesize=13625
trial	mode	filesize	off	bit	span	detected
0	bolter	13625	9551	-	1	false
1	bolter	13625	5209	-	1	false
2	bolter	13625	1185	-	1	false
3	bolter	13625	6255	-	1	false
4	bolter	13625	7832	-	1	false
5	bolter	13625	3696	-	1	false
6	bolter	13625	3225	-	1	false
7	bolter	13625	271	-	1	false
8	bolter	13625	8904	-	1	false
9	bolter	13625	1293	-	1	false
10	bolter	13625	8830	-	1	false
11	bolter	13625	6350	-	1	false
12	bolter	13625	6718	-	1	false
13	bolter	13625	13039	-	1	false
14	bolter	13625	12673	-	1	false
15	bolter	13625	1585	-	1	false
16	bolter	13625	1733	-	1	false
17	bolter	13625	6949	-	1	false
18	bolter	13625	12556	-	1	false
19	bolter	13625	3433	-	1	false
20	bolter	13625	3916	-	1	false
21	bolter	13625	6765	-	1	false
22	bolter	13625	11095	-	1	false
23	bolter	13625	2667	-	1	false
24	bolter	13625	7968	-	1	false
25	bolter	13625	5402	-	1	false
26	bolter	13625	3795	-	1	false
27	bolter	13625	4898	-	1	false
28	bolter	13625	11279	-	1	false
29	bolter	13625	3823	-	1	false
30	bolter	13625	2191	-	1	false
31	bolter	13625	5725	-	1	false
32	bolter	13625	3800	-	1	false
33	bolter	13625	8653	-	1	false
34	bolter	13625	5910	-	1	false
35	bolter	13625	10486	-	1	false
36	bolter	13625	12913	-	1	false
37	bolter	13625	8154	-	1	false
38	bolter	13625	6767	-	1	false
39	bolter	13625	7883	-	1	false
40	bolter	13625	5855	-	1	false
41	bolter	13625	10767	-	1	false
42	bolter	13625	3005	-	1	false
43	bolter	13625	7586	-	1	false
44	bolter	13625	13604	-	1	false
45	bolter	13625	12952	-	1	false
46	bolter	13625	12965	-	1	false
47	bolter	13625	6998	-	1	false
48	bolter	13625	10751	-	1	false
49	bolter	13625	3186	-	1	false
50	bolter	13625	13471	-	1	true
51	bolter	13625	6963	-	1	false
52	bolter	13625	1994	-	1	false
53	bolter	13625	1435	-	1	false
54	bolter	13625	4272	-	1	false
55	bolter	13625	4999	-	1	false
56	bolter	13625	1071	-	1	false
57	bolter	13625	13239	-	1	false
58	bolter	13625	10793	-	1	false
59	bolter	13625	4276	-	1	false
60	bolter	13625	10747	-	1	false
61	bolter	13625	116	-	1	false
62	bolter	13625	7841	-	1	false
63	bolter	13625	3918	-	1	false
64	bolter	13625	10017	-	1	false
65	bolter	13625	12687	-	1	false
66	bolter	13625	11693	-	1	false
67	bolter	13625	3305	-	1	false
68	bolter	13625	9617	-	1	false
69	bolter	13625	10832	-	1	false
70	bolter	13625	4506	-	1	false
71	bolter	13625	10895	-	1	false
72	bolter	13625	2741	-	1	false
73	bolter	13625	324	-	1	false
74	bolter	13625	2842	-	1	false
75	bolter	13625	4827	-	1	false
76	bolter	13625	8438	-	1	false
77	bolter	13625	3085	-	1	false
78	bolter	13625	5800	-	1	false
79	bolter	13625	4314	-	1	false
80	bolter	13625	13139	-	1	false
81	bolter	13625	9900	-	1	false
82	bolter	13625	6647	-	1	false
83	bolter	13625	4848	-	1	true
84	bolter	13625	12163	-	1	false
85	bolter	13625	11621	-	1	false
86	bolter	13625	1058	-	1	false
87	bolter	13625	8595	-	1	false
88	bolter	13625	4153	-	1	false
89	bolter	13625	10618	-	1	false
90	bolter	13625	13254	-	1	false
91	bolter	13625	8132	-	1	false
92	bolter	13625	11931	-	1	false
93	bolter	13625	13463	-	1	true
94	bolter	13625	10707	-	1	false
95	bolter	13625	7570	-	1	false
96	bolter	13625	6740	-	1	false
97	bolter	13625	2004	-	1	false
98	bolter	13625	10486	-	1	false
99	bolter	13625	80	-	1	false
