# seed=42 mode=shotgun file=sample.ods filesize=8812
trial	mode	filesize	off	bit	span	detected
0	shotgun	8812	1069	-	4096	true
1	shotgun	8812	3457	-	4096	true
2	shotgun	8812	1343	-	4096	true
3	shotgun	8812	4024	-	4096	true
4	shotgun	8812	1767	-	4096	true
5	shotgun	8812	2805	-	4096	true
6	shotgun	8812	1917	-	4096	true
7	shotgun	8812	4672	-	4096	true
8	shotgun	8812	3604	-	4096	true
9	shotgun	8812	2878	-	4096	true
10	shotgun	8812	1397	-	4096	true
11	shotgun	8812	4077	-	4096	true
12	shotgun	8812	2119	-	4096	true
13	shotgun	8812	1464	-	4096	true
14	shotgun	8812	1536	-	4096	true
15	shotgun	8812	526	-	4096	true
16	shotgun	8812	4175	-	4096	true
17	shotgun	8812	2140	-	4096	true
18	shotgun	8812	3128	-	4096	true
19	shotgun	8812	4161	-	4096	true
20	shotgun	8812	421	-	4096	true
21	shotgun	8812	3177	-	4096	true
22	shotgun	8812	3322	-	4096	true
23	shotgun	8812	1937	-	4096	true
24	shotgun	8812	2999	-	4096	true
25	shotgun	8812	551	-	4096	true
26	shotgun	8812	604	-	4096	true
27	shotgun	8812	2969	-	4096	true
28	shotgun	8812	2871	-	4096	true
29	shotgun	8812	1121	-	4096	true
30	shotgun	8812	1619	-	4096	true
31	shotgun	8812	1127	-	4096	true
32	shotgun	8812	3745	-	4096	true
33	shotgun	8812	2372	-	4096	true
34	shotgun	8812	3076	-	4096	true
35	shotgun	8812	4658	-	4096	true
36	shotgun	8812	1797	-	4096	true
37	shotgun	8812	819	-	4096	true
38	shotgun	8812	95	-	4096	true
39	shotgun	8812	730	-	4096	true
40	shotgun	8812	4496	-	4096	true
41	shotgun	8812	4373	-	4096	true
42	shotgun	8812	1771	-	4096	true
43	shotgun	8812	4021	-	4096	true
44	shotgun	8812	3935	-	4096	true
45	shotgun	8812	2631	-	4096	true
46	shotgun	8812	3688	-	4096	true
47	shotgun	8812	3245	-	4096	true
48	shotgun	8812	1023	-	4096	true
49	shotgun	8812	2264	-	4096	true
50	shotgun	8812	2412	-	4096	true
51	shotgun	8812	3126	-	4096	true
52	shotgun	8812	2066	-	4096	true
53	shotgun	8812	4287	-	4096	true
54	shotgun	8812	2266	-	4096	true
55	shotgun	8812	688	-	4096	true
56	shotgun	8812	3646	-	4096	true
57	shotgun	8812	4640	-	4096	true
58	shotgun	8812	401	-	4096	true
59	shotgun	8812	2652	-	4096	true
60	shotgun	8812	1314	-	4096	true
61	shotgun	8812	635	-	4096	true
62	shotgun	8812	1569	-	4096	true
63	shotgun	8812	3352	-	4096	true
64	shotgun	8812	4651	-	4096	true
65	shotgun	8812	1293	-	4096	true
66	shotgun	8812	4365	-	4096	true
67	shotgun	8812	521	-	4096	true
68	shotgun	8812	179	-	4096	true
69	shotgun	8812	4651	-	4096	true
70	shotgun	8812	1931	-	4096	true
71	shotgun	8812	3390	-	4096	true
72	shotgun	8812	4559	-	4096	true
73	shotgun	8812	4479	-	4096	true
74	shotgun	8812	4473	-	4096	true
75	shotgun	8812	4312	-	4096	true
76	shotgun	8812	3069	-	4096	true
77	shotgun	8812	981	-	4096	true
78	shotgun	8812	2399	-	4096	true
79	shotgun	8812	683	-	4096	true
80	shotgun	8812	2194	-	4096	true
81	shotgun	8812	1319	-	4096	true
82	shotgun	8812	3206	-	4096	true
83	shotgun	8812	1503	-	4096	true
84	shotgun	8812	2432	-	4096	true
85	shotgun	8812	676	-	4096	true
86	shotgun	8812	4142	-	4096	true
87	shotgun	8812	3038	-	4096	true
88	shotgun	8812	2182	-	4096	true
89	shotgun	8812	1906	-	4096	true
90	shotgun	8812	2839	-	4096	true
91	shotgun	8812	2895	-	4096	true
92	shotgun	8812	1879	-	4096	true
93	shotgun	8812	2817	-	4096	true
94	shotgun	8812	3535	-	4096	true
95	shotgun	8812	2886	-	4096	true
96	shotgun	8812	4162	-	4096	true
97	shotgun	8812	333	-	4096	true
98	shotgun	8812	1944	-	4096	true
99	shotgun	8812	2146	-	4096	true
