# seed=42 mode=bolter file=sample.odt filesize=24286
trial	mode	filesize	off	bit	span	detected
0	bolter	24286	5160	-	1	true
1	bolter	24286	12941	-	1	true
2	bolter	24286	221	-	1	true
3	bolter	24286	14165	-	1	true
4	bolter	24286	18179	-	1	true
5	bolter	24286	18272	-	1	true
6	bolter	24286	16022	-	1	true
7	bolter	24286	9045	-	1	true
8	bolter	24286	18928	-	1	true
9	bolter	24286	14233	-	1	true
10	bolter	24286	20445	-	1	true
11	bolter	24286	18717	-	1	true
12	bolter	24286	14500	-	1	true
13	bolter	24286	8872	-	1	true
14	bolter	24286	1195	-	1	true
15	bolter	24286	10879	-	1	true
16	bolter	24286	24190	-	1	true
17	bolter	24286	9662	-	1	true
18	bolter	24286	5931	-	1	true
19	bolter	24286	1566	-	1	true
20	bolter	24286	12736	-	1	true
21	bolter	24286	2747	-	1	true
22	bolter	24286	7754	-	1	true
23	bolter	24286	17669	-	1	true
24	bolter	24286	17777	-	1	true
25	bolter	24286	14003	-	1	true
26	bolter	24286	22302	-	1	true
27	bolter	24286	5463	-	1	true
28	bolter	24286	16706	-	1	true
29	bolter	24286	238	-	1	true
30	bolter	24286	3588	-	1	true
31	bolter	24286	2345	-	1	true
32	bolter	24286	5668	-	1	true
33	bolter	24286	21872	-	1	false
34	bolter	24286	1135	-	1	true
35	bolter	24286	16214	-	1	true
36	bolter	24286	22586	-	1	true
37	bolter	24286	16835	-	1	true
38	bolter	24286	3314	-	1	true
39	bolter	24286	14978	-	1	true
40	bolter	24286	17224	-	1	true
41	bolter	24286	18721	-	1	true
42	bolter	24286	3353	-	1	true
43	bolter	24286	22952	-	1	true
44	bolter	24286	18862	-	1	true
45	bolter	24286	10656	-	1	true
46	bolter	24286	16760	-	1	true
47	bolter	24286	7400	-	1	true
48	bolter	24286	20495	-	1	true
49	bolter	24286	13975	-	1	true
50	bolter	24286	744	-	1	true
51	bolter	24286	20384	-	1	true
52	bolter	24286	20488	-	1	true
53	bolter	24286	4383	-	1	true
54	bolter	24286	2360	-	1	true
55	bolter	24286	7810	-	1	true
56	bolter	24286	1093	-	1	false
57	bolter	24286	18730	-	1	true
58	bolter	24286	9613	-	1	true
59	bolter	24286	21563	-	1	true
60	bolter	24286	20224	-	1	true
61	bolter	24286	20019	-	1	true
62	bolter	24286	11451	-	1	true
63	bolter	24286	9221	-	1	true
64	bolter	24286	4360	-	1	true
65	bolter	24286	11908	-	1	true
66	bolter	24286	11583	-	1	true
67	bolter	24286	13006	-	1	true
68	bolter	24286	17754	-	1	true
69	bolter	24286	11654	-	1	true
70	bolter	24286	14577	-	1	true
71	bolter	24286	2479	-	1	true
72	bolter	24286	24172	-	1	true
73	bolter	24286	19328	-	1	true
74	bolter	24286	11680	-	1	true
75	bolter	24286	15377	-	1	true
76	bolter	24286	15001	-	1	true
77	bolter	24286	6788	-	1	true
78	bolter	24286	358	-	1	true
79	bolter	24286	19876	-	1	true
80	bolter	24286	1923	-	1	true
81	bolter	24286	17109	-	1	true
82	bolter	24286	7504	-	1	true
83	bolter	24286	22297	-	1	true
84	bolter	24286	23907	-	1	true
85	bolter	24286	22120	-	1	true
86	bolter	24286	4049	-	1	true
87	bolter	24286	730	-	1	true
88	bolter	24286	16286	-	1	true
89	bolter	24286	6916	-	1	true
90	bolter	24286	3246	-	1	true
91	bolter	24286	14524	-	1	true
92	bolter	24286	15651	-	1	true
93	bolter	24286	2107	-	1	true
94	bolter	24286	2163	-	1	true
95	bolter	24286	2935	-	1	true
96	bolter	24286	16813	-	1	true
97	bolter	24286	5188	-	1	true
98	bolter	24286	4285	-	1	true
99	bolter	24286	8340	-	1	true
