# seed=42 mode=shotgun file=PB120976.ORF filesize=13984788
trial	mode	filesize	off	bit	span	detected
0	shotgun	13984788	13366457	-	4096	false
1	shotgun	13984788	12213994	-	4096	false
2	shotgun	13984788	7170456	-	4096	false
3	shotgun	13984788	6860738	-	4096	false
4	shotgun	13984788	10392561	-	4096	false
5	shotgun	13984788	8253538	-	4096	false
6	shotgun	13984788	7703526	-	4096	false
7	shotgun	13984788	6632524	-	4096	false
8	shotgun	13984788	13122863	-	4096	false
9	shotgun	13984788	12282365	-	4096	false
10	shotgun	13984788	9971768	-	4096	false
11	shotgun	13984788	13161334	-	4096	false
12	shotgun	13984788	9364288	-	4096	false
13	shotgun	13984788	1052482	-	4096	false
14	shotgun	13984788	6692514	-	4096	false
15	shotgun	13984788	8942182	-	4096	false
16	shotgun	13984788	3582136	-	4096	false
17	shotgun	13984788	6043773	-	4096	false
18	shotgun	13984788	1295703	-	4096	false
19	shotgun	13984788	5135822	-	4096	false
20	shotgun	13984788	3401350	-	4096	false
21	shotgun	13984788	4270490	-	4096	false
22	shotgun	13984788	5602314	-	4096	false
23	shotgun	13984788	7351839	-	4096	false
24	shotgun	13984788	9664784	-	4096	false
25	shotgun	13984788	11059558	-	4096	false
26	shotgun	13984788	3943754	-	4096	false
27	shotgun	13984788	6396340	-	4096	false
28	shotgun	13984788	7065561	-	4096	false
29	shotgun	13984788	777302	-	4096	false
30	shotgun	13984788	7690184	-	4096	false
31	shotgun	13984788	1424613	-	4096	false
32	shotgun	13984788	7859065	-	4096	false
33	shotgun	13984788	13502398	-	4096	false
34	shotgun	13984788	2926569	-	4096	false
35	shotgun	13984788	9891608	-	4096	false
36	shotgun	13984788	4612112	-	4096	false
37	shotgun	13984788	10263207	-	4096	false
38	shotgun	13984788	11458416	-	4096	false
39	shotgun	13984788	5374034	-	4096	false
40	shotgun	13984788	2300162	-	4096	false
41	shotgun	13984788	245349	-	4096	false
42	shotgun	13984788	6048325	-	4096	false
43	shotgun	13984788	7846617	-	4096	false
44	shotgun	13984788	3478705	-	4096	false
45	shotgun	13984788	10341015	-	4096	false
46	shotgun	13984788	12515940	-	4096	false
47	shotgun	13984788	1694523	-	4096	false
48	shotgun	13984788	8417054	-	4096	false
49	shotgun	13984788	4420406	-	4096	false
50	shotgun	13984788	6463073	-	4096	false
51	shotgun	13984788	13681029	-	4096	false
52	shotgun	13984788	4310551	-	4096	false
53	shotgun	13984788	578597	-	4096	false
54	shotgun	13984788	13244284	-	4096	false
55	shotgun	13984788	1218781	-	4096	false
56	shotgun	13984788	5804917	-	4096	false
57	shotgun	13984788	3635973	-	4096	false
58	shotgun	13984788	4911352	-	4096	false
59	shotgun	13984788	8355353	-	4096	false
60	shotgun	13984788	713466	-	4096	false
61	shotgun	13984788	1601767	-	4096	false
62	shotgun	13984788	9447478	-	4096	false
63	shotgun	13984788	6177499	-	4096	false
64	shotgun	13984788	4082091	-	4096	false
65	shotgun	13984788	3052902	-	4096	false
66	shotgun	13984788	6821945	-	4096	false
67	shotgun	13984788	3678151	-	4096	false
68	shotgun	13984788	4584783	-	4096	false
69	shotgun	13984788	109999	-	4096	false
70	shotgun	13984788	7213410	-	4096	false
71	shotgun	13984788	4037970	-	4096	false
72	shotgun	13984788	2609566	-	4096	false
73	shotgun	13984788	3690583	-	4096	false
74	shotgun	13984788	13834048	-	4096	false
75	shotgun	13984788	2730769	-	4096	false
76	shotgun	13984788	8068238	-	4096	false
77	shotgun	13984788	10470829	-	4096	false
78	shotgun	13984788	8838011	-	4096	false
79	shotgun	13984788	13863045	-	4096	false
80	shotgun	13984788	4525506	-	4096	false
81	shotgun	13984788	1166711	-	4096	false
82	shotgun	13984788	13784534	-	4096	false
83	shotgun	13984788	64776	-	4096	false
84	shotgun	13984788	13126932	-	4096	false
85	shotgun	13984788	4640283	-	4096	false
86	shotgun	13984788	885872	-	4096	false
87	shotgun	13984788	11289480	-	4096	false
88	shotgun	13984788	9561853	-	4096	false
89	shotgun	13984788	7980800	-	4096	false
90	shotgun	13984788	9425775	-	4096	false
91	shotgun	13984788	9614512	-	4096	false
92	shotgun	13984788	4947043	-	4096	false
93	shotgun	13984788	3411258	-	4096	false
94	shotgun	13984788	3549264	-	4096	false
95	shotgun	13984788	2614852	-	4096	false
96	shotgun	13984788	10357338	-	4096	false
97	shotgun	13984788	7902183	-	4096	false
98	shotgun	13984788	13457916	-	4096	false
99	shotgun	13984788	4869684	-	4096	false
