# seed=42 mode=sniper file=generated_plasma.png filesize=345007
trial	mode	filesize	off	bit	span	detected
0	sniper	345007	201566	1	1	true
1	sniper	345007	192389	3	1	true
2	sniper	345007	112328	2	1	true
3	sniper	345007	154737	7	1	true
4	sniper	345007	182065	5	1	true
5	sniper	345007	5909	1	1	true
6	sniper	345007	319312	6	1	true
7	sniper	345007	82735	3	1	true
8	sniper	345007	195594	4	1	true
9	sniper	345007	97817	4	1	true
10	sniper	345007	220581	7	1	true
11	sniper	345007	65389	3	1	true
12	sniper	345007	105340	1	1	true
13	sniper	345007	174140	3	1	true
14	sniper	345007	59100	0	1	true
15	sniper	345007	237776	3	1	true
16	sniper	345007	70248	6	1	true
17	sniper	345007	80159	0	1	true
18	sniper	345007	338787	7	1	true
19	sniper	345007	205979	6	1	true
20	sniper	345007	156426	3	1	true
21	sniper	345007	205747	4	1	true
22	sniper	345007	84159	2	1	true
23	sniper	345007	247613	0	1	true
24	sniper	345007	197089	5	1	true
25	sniper	345007	308068	0	1	true
26	sniper	345007	309258	5	1	true
27	sniper	345007	64128	4	1	true
28	sniper	345007	13356	4	1	true
29	sniper	345007	86550	7	1	true
30	sniper	345007	243165	1	1	true
31	sniper	345007	237405	3	1	true
32	sniper	345007	324054	0	1	true
33	sniper	345007	287053	0	1	true
34	sniper	345007	274145	4	1	true
35	sniper	345007	321211	7	1	true
36	sniper	345007	115954	6	1	true
37	sniper	345007	27397	5	1	true
38	sniper	345007	1695	6	1	true
39	sniper	345007	120693	0	1	true
40	sniper	345007	197423	7	1	true
41	sniper	345007	115392	7	1	true
42	sniper	345007	276807	6	1	true
43	sniper	345007	219935	0	1	true
44	sniper	345007	45713	0	1	true
45	sniper	345007	118533	6	1	true
46	sniper	345007	316505	3	1	true
47	sniper	345007	31951	5	1	true
48	sniper	345007	273339	2	1	true
49	sniper	345007	203510	2	1	true
50	sniper	345007	265373	2	1	true
51	sniper	345007	219673	3	1	true
52	sniper	345007	244744	7	1	true
53	sniper	345007	131786	2	1	true
54	sniper	345007	307293	6	1	true
55	sniper	345007	323485	7	1	true
56	sniper	345007	301186	6	1	true
57	sniper	345007	150678	6	1	true
58	sniper	345007	112071	1	1	true
59	sniper	345007	241407	2	1	true
60	sniper	345007	297860	4	1	true
61	sniper	345007	276671	2	1	true
62	sniper	345007	137507	5	1	true
63	sniper	345007	47692	7	1	true
64	sniper	345007	332565	0	1	true
65	sniper	345007	316583	0	1	true
66	sniper	345007	188341	3	1	true
67	sniper	345007	253052	7	1	true
68	sniper	345007	249650	1	1	true
69	sniper	345007	130089	3	1	true
70	sniper	345007	30197	2	1	true
71	sniper	345007	255267	6	1	true
72	sniper	345007	13756	2	1	true
73	sniper	345007	126469	4	1	true
74	sniper	345007	140693	2	1	true
75	sniper	345007	134929	2	1	true
76	sniper	345007	159817	0	1	true
77	sniper	345007	116003	4	1	true
78	sniper	345007	54807	2	1	true
79	sniper	345007	272616	4	1	true
80	sniper	345007	17544	2	1	true
81	sniper	345007	130007	3	1	true
82	sniper	345007	110211	0	1	true
83	sniper	345007	27651	2	1	true
84	sniper	345007	74552	2	1	true
85	sniper	345007	121446	3	1	true
86	sniper	345007	339775	6	1	true
87	sniper	345007	240852	6	1	true
88	sniper	345007	156659	0	1	true
89	sniper	345007	241755	5	1	true
90	sniper	345007	169867	6	1	true
91	sniper	345007	276174	4	1	true
92	sniper	345007	47031	2	1	true
93	sniper	345007	144467	3	1	true
94	sniper	345007	51785	4	1	true
95	sniper	345007	260383	7	1	true
96	sniper	345007	307908	6	1	true
97	sniper	345007	48379	2	1	true
98	sniper	345007	95639	0	1	true
99	sniper	345007	88744	7	1	true
