# seed=42 mode=sniper file=sample.pptx filesize=36518
trial	mode	filesize	off	bit	span	detected
0	sniper	36518	23702	1	1	true
1	sniper	36518	33281	3	1	true
2	sniper	36518	14743	2	1	true
3	sniper	36518	13940	7	1	true
4	sniper	36518	7890	5	1	true
5	sniper	36518	16951	1	1	true
6	sniper	36518	21944	6	1	true
7	sniper	36518	25735	3	1	true
8	sniper	36518	23438	4	1	true
9	sniper	36518	15977	4	1	true
10	sniper	36518	2766	7	1	true
11	sniper	36518	19616	3	1	true
12	sniper	36518	23037	1	1	true
13	sniper	36518	27168	3	1	true
14	sniper	36518	14776	0	1	true
15	sniper	36518	23704	3	1	true
16	sniper	36518	10494	6	1	true
17	sniper	36518	26075	0	1	true
18	sniper	36518	25712	7	1	true
19	sniper	36518	34510	6	1	true
20	sniper	36518	15328	3	1	true
21	sniper	36518	32153	4	1	true
22	sniper	36518	22852	2	1	true
23	sniper	36518	33650	0	1	true
24	sniper	36518	32167	5	1	true
25	sniper	36518	23672	0	1	true
26	sniper	36518	36346	5	1	false
27	sniper	36518	15282	4	1	true
28	sniper	36518	5007	4	1	true
29	sniper	36518	14055	7	1	true
30	sniper	36518	7854	1	1	true
31	sniper	36518	15939	3	1	true
32	sniper	36518	23936	0	1	true
33	sniper	36518	13799	0	1	true
34	sniper	36518	25774	4	1	true
35	sniper	36518	43	7	1	true
36	sniper	36518	21444	6	1	true
37	sniper	36518	4430	5	1	true
38	sniper	36518	4921	6	1	true
39	sniper	36518	17940	0	1	true
40	sniper	36518	21731	7	1	true
41	sniper	36518	13884	7	1	true
42	sniper	36518	27799	6	1	true
43	sniper	36518	26021	0	1	true
44	sniper	36518	8310	0	1	true
45	sniper	36518	8118	6	1	true
46	sniper	36518	16407	3	1	true
47	sniper	36518	8169	5	1	true
48	sniper	36518	23953	2	1	true
49	sniper	36518	15325	2	1	true
50	sniper	36518	3665	2	1	true
51	sniper	36518	14759	3	1	true
52	sniper	36518	5732	7	1	true
53	sniper	36518	2302	2	1	true
54	sniper	36518	13140	6	1	true
55	sniper	36518	7225	7	1	true
56	sniper	36518	33407	6	1	true
57	sniper	36518	24971	6	1	true
58	sniper	36518	32159	1	1	true
59	sniper	36518	21591	2	1	true
60	sniper	36518	24027	4	1	true
61	sniper	36518	8874	2	1	false
62	sniper	36518	32876	5	1	true
63	sniper	36518	6018	7	1	true
64	sniper	36518	698	0	1	true
65	sniper	36518	32054	0	1	false
66	sniper	36518	489	3	1	false
67	sniper	36518	18352	7	1	true
68	sniper	36518	3068	1	1	true
69	sniper	36518	19213	3	1	true
70	sniper	36518	1539	2	1	false
71	sniper	36518	15691	6	1	true
72	sniper	36518	31049	2	1	true
73	sniper	36518	9667	4	1	true
74	sniper	36518	33433	2	1	true
75	sniper	36518	32297	2	1	true
76	sniper	36518	10582	0	1	true
77	sniper	36518	24807	4	1	true
78	sniper	36518	24133	2	1	true
79	sniper	36518	15406	4	1	true
80	sniper	36518	35575	2	1	false
81	sniper	36518	35523	3	1	true
82	sniper	36518	18095	0	1	true
83	sniper	36518	1089	2	1	true
84	sniper	36518	36370	2	1	true
85	sniper	36518	9381	3	1	true
86	sniper	36518	17229	6	1	true
87	sniper	36518	3694	6	1	true
88	sniper	36518	23134	0	1	true
89	sniper	36518	6716	5	1	true
90	sniper	36518	25566	6	1	true
91	sniper	36518	11145	4	1	true
92	sniper	36518	18919	2	1	true
93	sniper	36518	14009	3	1	true
94	sniper	36518	6083	4	1	true
95	sniper	36518	30473	7	1	true
96	sniper	36518	4829	6	1	true
97	sniper	36518	36323	2	1	false
98	sniper	36518	651	0	1	true
99	sniper	36518	12822	7	1	true
