# seed=42 mode=bolter file=quad-tile-jpeg.tif filesize=23992
trial	mode	filesize	off	bit	span	detected
0	bolter	23992	14574	-	1	false
1	bolter	23992	13961	-	1	false
2	bolter	23992	3195	-	1	false
3	bolter	23992	7891	-	1	false
4	bolter	23992	13381	-	1	false
5	bolter	23992	10914	-	1	true
6	bolter	23992	17084	-	1	false
7	bolter	23992	10087	-	1	false
8	bolter	23992	8560	-	1	false
9	bolter	23992	21245	-	1	false
10	bolter	23992	15281	-	1	false
11	bolter	23992	5441	-	1	false
12	bolter	23992	9004	-	1	false
13	bolter	23992	19438	-	1	false
14	bolter	23992	7561	-	1	true
15	bolter	23992	5619	-	1	false
16	bolter	23992	15754	-	1	false
17	bolter	23992	21828	-	1	false
18	bolter	23992	22739	-	1	false
19	bolter	23992	4180	-	1	false
20	bolter	23992	9200	-	1	false
21	bolter	23992	11215	-	1	false
22	bolter	23992	23368	-	1	false
23	bolter	23992	22931	-	1	false
24	bolter	23992	21947	-	1	false
25	bolter	23992	20545	-	1	false
26	bolter	23992	15666	-	1	false
27	bolter	23992	1979	-	1	false
28	bolter	23992	8964	-	1	false
29	bolter	23992	17992	-	1	false
30	bolter	23992	10128	-	1	false
31	bolter	23992	15547	-	1	false
32	bolter	23992	5254	-	1	false
33	bolter	23992	21726	-	1	false
34	bolter	23992	2829	-	1	false
35	bolter	23992	4936	-	1	false
36	bolter	23992	106	-	1	false
37	bolter	23992	23919	-	1	false
38	bolter	23992	758	-	1	false
39	bolter	23992	14150	-	1	false
40	bolter	23992	18482	-	1	false
41	bolter	23992	10323	-	1	false
42	bolter	23992	8407	-	1	false
43	bolter	23992	16148	-	1	false
44	bolter	23992	20166	-	1	false
45	bolter	23992	14842	-	1	false
46	bolter	23992	4770	-	1	false
47	bolter	23992	20680	-	1	false
48	bolter	23992	2289	-	1	false
49	bolter	23992	8333	-	1	false
50	bolter	23992	21406	-	1	false
51	bolter	23992	6800	-	1	false
52	bolter	23992	15866	-	1	false
53	bolter	23992	21797	-	1	false
54	bolter	23992	17922	-	1	false
55	bolter	23992	8484	-	1	false
56	bolter	23992	6543	-	1	false
57	bolter	23992	9228	-	1	false
58	bolter	23992	3903	-	1	false
59	bolter	23992	18543	-	1	false
60	bolter	23992	20728	-	1	false
61	bolter	23992	13153	-	1	false
62	bolter	23992	8033	-	1	false
63	bolter	23992	2147	-	1	false
64	bolter	23992	5288	-	1	false
65	bolter	23992	14536	-	1	false
66	bolter	23992	11523	-	1	false
67	bolter	23992	19232	-	1	false
68	bolter	23992	19690	-	1	false
69	bolter	23992	5844	-	1	false
70	bolter	23992	12799	-	1	false
71	bolter	23992	4959	-	1	false
72	bolter	23992	12532	-	1	false
73	bolter	23992	11078	-	1	false
74	bolter	23992	11876	-	1	false
75	bolter	23992	21277	-	1	true
76	bolter	23992	6867	-	1	false
77	bolter	23992	16750	-	1	false
78	bolter	23992	8912	-	1	false
79	bolter	23992	21392	-	1	false
80	bolter	23992	5083	-	1	false
81	bolter	23992	21943	-	1	false
82	bolter	23992	10614	-	1	false
83	bolter	23992	5111	-	1	false
84	bolter	23992	12625	-	1	false
85	bolter	23992	118	-	1	false
86	bolter	23992	3429	-	1	false
87	bolter	23992	10736	-	1	false
88	bolter	23992	10930	-	1	false
89	bolter	23992	22232	-	1	false
90	bolter	23992	22542	-	1	false
91	bolter	23992	19718	-	1	false
92	bolter	23992	3153	-	1	false
93	bolter	23992	891	-	1	false
94	bolter	23992	23929	-	1	false
95	bolter	23992	16317	-	1	false
96	bolter	23992	22863	-	1	false
97	bolter	23992	7658	-	1	false
98	bolter	23992	18573	-	1	false
99	bolter	23992	14034	-	1	false
