# seed=42 mode=bolter file=poi_formula.xls filesize=178176
trial	mode	filesize	off	bit	span	detected
0	bolter	178176	91094	-	1	true
1	bolter	178176	13481	-	1	false
2	bolter	178176	162459	-	1	false
3	bolter	178176	35715	-	1	false
4	bolter	178176	165549	-	1	false
5	bolter	178176	157234	-	1	false
6	bolter	178176	166188	-	1	false
7	bolter	178176	83927	-	1	false
8	bolter	178176	79880	-	1	false
9	bolter	178176	19125	-	1	false
10	bolter	178176	165337	-	1	false
11	bolter	178176	96385	-	1	false
12	bolter	178176	32220	-	1	false
13	bolter	178176	35734	-	1	false
14	bolter	178176	94289	-	1	true
15	bolter	178176	45675	-	1	false
16	bolter	178176	148186	-	1	false
17	bolter	178176	65092	-	1	false
18	bolter	178176	115235	-	1	false
19	bolter	178176	131524	-	1	true
20	bolter	178176	76872	-	1	false
21	bolter	178176	14103	-	1	false
22	bolter	178176	138960	-	1	false
23	bolter	178176	118699	-	1	false
24	bolter	178176	13187	-	1	false
25	bolter	178176	152097	-	1	false
26	bolter	178176	29610	-	1	false
27	bolter	178176	150683	-	1	true
28	bolter	178176	42772	-	1	false
29	bolter	178176	40136	-	1	false
30	bolter	178176	135408	-	1	false
31	bolter	178176	128267	-	1	false
32	bolter	178176	149686	-	1	true
33	bolter	178176	69094	-	1	false
34	bolter	178176	160501	-	1	false
35	bolter	178176	89320	-	1	true
36	bolter	178176	149658	-	1	false
37	bolter	178176	41327	-	1	false
38	bolter	178176	85718	-	1	true
39	bolter	178176	63670	-	1	false
40	bolter	178176	16802	-	1	false
41	bolter	178176	23355	-	1	false
42	bolter	178176	26607	-	1	true
43	bolter	178176	54428	-	1	false
44	bolter	178176	170734	-	1	false
45	bolter	178176	161498	-	1	false
46	bolter	178176	101690	-	1	false
47	bolter	178176	88928	-	1	false
48	bolter	178176	99993	-	1	true
49	bolter	178176	113109	-	1	false
50	bolter	178176	92310	-	1	true
51	bolter	178176	112664	-	1	false
52	bolter	178176	161570	-	1	false
53	bolter	178176	121477	-	1	true
54	bolter	178176	162274	-	1	true
55	bolter	178176	115348	-	1	true
56	bolter	178176	136143	-	1	false
57	bolter	178176	82588	-	1	false
58	bolter	178176	26095	-	1	false
59	bolter	178176	29191	-	1	false
60	bolter	178176	43080	-	1	false
61	bolter	178176	4761	-	1	false
62	bolter	178176	147569	-	1	false
63	bolter	178176	11547	-	1	false
64	bolter	178176	88192	-	1	true
65	bolter	178176	85872	-	1	true
66	bolter	178176	151963	-	1	true
67	bolter	178176	35376	-	1	false
68	bolter	178176	69034	-	1	false
69	bolter	178176	66572	-	1	false
70	bolter	178176	51743	-	1	false
71	bolter	178176	158799	-	1	false
72	bolter	178176	65940	-	1	false
73	bolter	178176	153974	-	1	false
74	bolter	178176	100436	-	1	false
75	bolter	178176	85925	-	1	false
76	bolter	178176	78587	-	1	false
77	bolter	178176	134710	-	1	true
78	bolter	178176	19392	-	1	true
79	bolter	178176	142400	-	1	false
80	bolter	178176	65019	-	1	false
81	bolter	178176	27519	-	1	false
82	bolter	178176	98366	-	1	false
83	bolter	178176	143743	-	1	true
84	bolter	178176	16081	-	1	false
85	bolter	178176	16774	-	1	true
86	bolter	178176	10845	-	1	false
87	bolter	178176	140568	-	1	false
88	bolter	178176	19250	-	1	false
89	bolter	178176	176888	-	1	false
90	bolter	178176	67166	-	1	false
91	bolter	178176	149910	-	1	true
92	bolter	178176	72393	-	1	false
93	bolter	178176	86435	-	1	true
94	bolter	178176	119985	-	1	false
95	bolter	178176	127901	-	1	false
96	bolter	178176	62567	-	1	true
97	bolter	178176	144570	-	1	true
98	bolter	178176	80237	-	1	false
99	bolter	178176	85650	-	1	false
