# seed=42 mode=bolter file=sample.xlsx filesize=10556
trial	mode	filesize	off	bit	span	detected
0	bolter	10556	6878	-	1	true
1	bolter	10556	605	-	1	true
2	bolter	10556	8179	-	1	true
3	bolter	10556	9963	-	1	false
4	bolter	10556	4077	-	1	true
5	bolter	10556	8290	-	1	true
6	bolter	10556	4600	-	1	true
7	bolter	10556	10151	-	1	true
8	bolter	10556	5408	-	1	true
9	bolter	10556	5669	-	1	true
10	bolter	10556	5025	-	1	true
11	bolter	10556	8341	-	1	true
12	bolter	10556	8092	-	1	true
13	bolter	10556	1978	-	1	false
14	bolter	10556	9493	-	1	true
15	bolter	10556	9367	-	1	true
16	bolter	10556	5274	-	1	true
17	bolter	10556	7324	-	1	true
18	bolter	10556	1903	-	1	false
19	bolter	10556	3924	-	1	true
20	bolter	10556	2168	-	1	true
21	bolter	10556	9811	-	1	true
22	bolter	10556	8228	-	1	true
23	bolter	10556	1423	-	1	false
24	bolter	10556	4603	-	1	true
25	bolter	10556	2573	-	1	true
26	bolter	10556	7454	-	1	false
27	bolter	10556	5567	-	1	true
28	bolter	10556	2056	-	1	false
29	bolter	10556	1044	-	1	false
30	bolter	10556	6532	-	1	true
31	bolter	10556	5771	-	1	true
32	bolter	10556	2830	-	1	true
33	bolter	10556	6222	-	1	true
34	bolter	10556	3901	-	1	true
35	bolter	10556	1740	-	1	true
36	bolter	10556	7326	-	1	true
37	bolter	10556	7919	-	1	true
38	bolter	10556	7534	-	1	false
39	bolter	10556	1378	-	1	false
40	bolter	10556	4274	-	1	true
41	bolter	10556	619	-	1	true
42	bolter	10556	7003	-	1	true
43	bolter	10556	10116	-	1	true
44	bolter	10556	1258	-	1	false
45	bolter	10556	4086	-	1	true
46	bolter	10556	6918	-	1	true
47	bolter	10556	6568	-	1	true
48	bolter	10556	5105	-	1	true
49	bolter	10556	2097	-	1	true
50	bolter	10556	8210	-	1	true
51	bolter	10556	4900	-	1	true
52	bolter	10556	8334	-	1	true
53	bolter	10556	7797	-	1	true
54	bolter	10556	3470	-	1	true
55	bolter	10556	2364	-	1	true
56	bolter	10556	2163	-	1	true
57	bolter	10556	7188	-	1	true
58	bolter	10556	10435	-	1	true
59	bolter	10556	8079	-	1	true
60	bolter	10556	624	-	1	true
61	bolter	10556	8241	-	1	true
62	bolter	10556	3613	-	1	true
63	bolter	10556	3775	-	1	true
64	bolter	10556	4904	-	1	true
65	bolter	10556	5832	-	1	true
66	bolter	10556	4875	-	1	true
67	bolter	10556	6260	-	1	true
68	bolter	10556	3030	-	1	true
69	bolter	10556	2540	-	1	true
70	bolter	10556	4531	-	1	true
71	bolter	10556	7187	-	1	true
72	bolter	10556	9796	-	1	true
73	bolter	10556	622	-	1	true
74	bolter	10556	7520	-	1	false
75	bolter	10556	549	-	1	false
76	bolter	10556	4347	-	1	true
77	bolter	10556	8618	-	1	true
78	bolter	10556	6748	-	1	true
79	bolter	10556	7724	-	1	true
80	bolter	10556	9339	-	1	true
81	bolter	10556	9655	-	1	true
82	bolter	10556	9858	-	1	false
83	bolter	10556	6631	-	1	true
84	bolter	10556	7265	-	1	true
85	bolter	10556	3318	-	1	false
86	bolter	10556	3537	-	1	true
87	bolter	10556	9836	-	1	true
88	bolter	10556	4750	-	1	true
89	bolter	10556	2424	-	1	true
90	bolter	10556	6382	-	1	true
91	bolter	10556	3054	-	1	false
92	bolter	10556	3257	-	1	true
93	bolter	10556	2219	-	1	true
94	bolter	10556	2129	-	1	true
95	bolter	10556	9349	-	1	true
96	bolter	10556	7931	-	1	false
97	bolter	10556	1078	-	1	false
98	bolter	10556	7041	-	1	true
99	bolter	10556	6770	-	1	true
