# seed=42 mode=shotgun file=sample.xlsx filesize=10556
trial	mode	filesize	off	bit	span	detected
0	shotgun	10556	6059	-	4096	true
1	shotgun	10556	5773	-	4096	true
2	shotgun	10556	3327	-	4096	true
3	shotgun	10556	5320	-	4096	true
4	shotgun	10556	2446	-	4096	true
5	shotgun	10556	2376	-	4096	true
6	shotgun	10556	2098	-	4096	true
7	shotgun	10556	5722	-	4096	true
8	shotgun	10556	5896	-	4096	true
9	shotgun	10556	1755	-	4096	true
10	shotgun	10556	5385	-	4096	true
11	shotgun	10556	878	-	4096	true
12	shotgun	10556	4903	-	4096	true
13	shotgun	10556	347	-	4096	true
14	shotgun	10556	2420	-	4096	true
15	shotgun	10556	3227	-	4096	true
16	shotgun	10556	4648	-	4096	true
17	shotgun	10556	1672	-	4096	true
18	shotgun	10556	2689	-	4096	true
19	shotgun	10556	4593	-	4096	true
20	shotgun	10556	5959	-	4096	true
21	shotgun	10556	2263	-	4096	true
22	shotgun	10556	388	-	4096	true
23	shotgun	10556	3382	-	4096	true
24	shotgun	10556	4691	-	4096	true
25	shotgun	10556	2067	-	4096	true
26	shotgun	10556	806	-	4096	true
27	shotgun	10556	1236	-	4096	true
28	shotgun	10556	5885	-	4096	true
29	shotgun	10556	4095	-	4096	true
30	shotgun	10556	5503	-	4096	true
31	shotgun	10556	2702	-	4096	true
32	shotgun	10556	5164	-	4096	true
33	shotgun	10556	2003	-	4096	true
34	shotgun	10556	266	-	4096	true
35	shotgun	10556	24	-	4096	true
36	shotgun	10556	1297	-	4096	true
37	shotgun	10556	2842	-	4096	true
38	shotgun	10556	5964	-	4096	true
39	shotgun	10556	1144	-	4096	true
40	shotgun	10556	5874	-	4096	true
41	shotgun	10556	6163	-	4096	true
42	shotgun	10556	5649	-	4096	true
43	shotgun	10556	592	-	4096	true
44	shotgun	10556	4942	-	4096	true
45	shotgun	10556	133	-	4096	true
46	shotgun	10556	4595	-	4096	true
47	shotgun	10556	2833	-	4096	true
48	shotgun	10556	2771	-	4096	true
49	shotgun	10556	6432	-	4096	true
50	shotgun	10556	3275	-	4096	true
51	shotgun	10556	624	-	4096	true
52	shotgun	10556	5716	-	4096	true
53	shotgun	10556	4912	-	4096	true
54	shotgun	10556	3744	-	4096	true
55	shotgun	10556	1477	-	4096	true
56	shotgun	10556	2319	-	4096	true
57	shotgun	10556	4064	-	4096	true
58	shotgun	10556	3415	-	4096	true
59	shotgun	10556	4937	-	4096	true
60	shotgun	10556	5612	-	4096	true
61	shotgun	10556	4537	-	4096	true
62	shotgun	10556	3402	-	4096	true
63	shotgun	10556	3975	-	4096	true
64	shotgun	10556	4651	-	4096	true
65	shotgun	10556	4667	-	4096	true
66	shotgun	10556	1804	-	4096	true
67	shotgun	10556	2023	-	4096	true
68	shotgun	10556	6344	-	4096	true
69	shotgun	10556	6171	-	4096	true
70	shotgun	10556	815	-	4096	true
71	shotgun	10556	1467	-	4096	true
72	shotgun	10556	1312	-	4096	true
73	shotgun	10556	2302	-	4096	true
74	shotgun	10556	1480	-	4096	true
75	shotgun	10556	4195	-	4096	true
76	shotgun	10556	2552	-	4096	true
77	shotgun	10556	2452	-	4096	true
78	shotgun	10556	972	-	4096	true
79	shotgun	10556	1842	-	4096	true
80	shotgun	10556	3142	-	4096	true
81	shotgun	10556	5437	-	4096	true
82	shotgun	10556	5237	-	4096	true
83	shotgun	10556	6078	-	4096	true
84	shotgun	10556	519	-	4096	true
85	shotgun	10556	1802	-	4096	true
86	shotgun	10556	5199	-	4096	true
87	shotgun	10556	1958	-	4096	true
88	shotgun	10556	3902	-	4096	true
89	shotgun	10556	5	-	4096	true
90	shotgun	10556	5818	-	4096	true
91	shotgun	10556	1746	-	4096	true
92	shotgun	10556	4404	-	4096	true
93	shotgun	10556	2441	-	4096	true
94	shotgun	10556	3855	-	4096	true
95	shotgun	10556	4692	-	4096	true
96	shotgun	10556	6196	-	4096	true
97	shotgun	10556	1414	-	4096	true
98	shotgun	10556	855	-	4096	true
99	shotgun	10556	1282	-	4096	true
