# seed=42 mode=bolter file=sample.m4a filesize=15865
trial	mode	filesize	off	bit	span	detected
0	bolter	15865	12606	-	1	false
1	bolter	15865	7049	-	1	false
2	bolter	15865	10690	-	1	false
3	bolter	15865	9100	-	1	false
4	bolter	15865	9442	-	1	false
5	bolter	15865	10491	-	1	false
6	bolter	15865	925	-	1	true
7	bolter	15865	11266	-	1	false
8	bolter	15865	13419	-	1	false
9	bolter	15865	9328	-	1	false
10	bolter	15865	12600	-	1	false
11	bolter	15865	14345	-	1	false
12	bolter	15865	398	-	1	false
13	bolter	15865	15044	-	1	false
14	bolter	15865	14088	-	1	false
15	bolter	15865	3965	-	1	false
16	bolter	15865	353	-	1	false
17	bolter	15865	9539	-	1	false
18	bolter	15865	131	-	1	false
19	bolter	15865	3023	-	1	false
20	bolter	15865	7516	-	1	false
21	bolter	15865	14620	-	1	false
22	bolter	15865	1015	-	1	false
23	bolter	15865	1712	-	1	false
24	bolter	15865	2878	-	1	false
25	bolter	15865	3277	-	1	false
26	bolter	15865	4520	-	1	false
27	bolter	15865	8248	-	1	false
28	bolter	15865	9114	-	1	false
29	bolter	15865	1733	-	1	false
30	bolter	15865	10176	-	1	false
31	bolter	15865	2625	-	1	false
32	bolter	15865	3540	-	1	false
33	bolter	15865	11228	-	1	false
34	bolter	15865	2230	-	1	true
35	bolter	15865	13406	-	1	false
36	bolter	15865	3748	-	1	false
37	bolter	15865	3324	-	1	false
38	bolter	15865	9962	-	1	false
39	bolter	15865	7993	-	1	false
40	bolter	15865	6360	-	1	false
41	bolter	15865	11717	-	1	false
42	bolter	15865	10550	-	1	false
43	bolter	15865	3996	-	1	false
44	bolter	15865	10749	-	1	false
45	bolter	15865	15492	-	1	false
46	bolter	15865	7715	-	1	false
47	bolter	15865	9178	-	1	false
48	bolter	15865	11761	-	1	false
49	bolter	15865	951	-	1	false
50	bolter	15865	8681	-	1	false
51	bolter	15865	3283	-	1	false
52	bolter	15865	2279	-	1	false
53	bolter	15865	7135	-	1	false
54	bolter	15865	11767	-	1	false
55	bolter	15865	13079	-	1	false
56	bolter	15865	10726	-	1	false
57	bolter	15865	459	-	1	false
58	bolter	15865	5733	-	1	false
59	bolter	15865	12486	-	1	false
60	bolter	15865	6467	-	1	false
61	bolter	15865	11721	-	1	false
62	bolter	15865	8966	-	1	false
63	bolter	15865	6798	-	1	false
64	bolter	15865	8527	-	1	false
65	bolter	15865	11812	-	1	false
66	bolter	15865	1088	-	1	true
67	bolter	15865	11615	-	1	false
68	bolter	15865	1682	-	1	false
69	bolter	15865	5742	-	1	false
70	bolter	15865	11481	-	1	false
71	bolter	15865	9760	-	1	false
72	bolter	15865	2786	-	1	false
73	bolter	15865	804	-	1	false
74	bolter	15865	2777	-	1	false
75	bolter	15865	4697	-	1	false
76	bolter	15865	1368	-	1	false
77	bolter	15865	6395	-	1	false
78	bolter	15865	14805	-	1	false
79	bolter	15865	8144	-	1	false
80	bolter	15865	9419	-	1	false
81	bolter	15865	11995	-	1	false
82	bolter	15865	8982	-	1	false
83	bolter	15865	8378	-	1	false
84	bolter	15865	553	-	1	false
85	bolter	15865	8461	-	1	false
86	bolter	15865	12208	-	1	false
87	bolter	15865	1405	-	1	false
88	bolter	15865	3028	-	1	false
89	bolter	15865	7083	-	1	false
90	bolter	15865	9239	-	1	false
91	bolter	15865	4982	-	1	false
92	bolter	15865	12246	-	1	false
93	bolter	15865	8213	-	1	false
94	bolter	15865	3077	-	1	false
95	bolter	15865	1860	-	1	false
96	bolter	15865	14890	-	1	false
97	bolter	15865	13549	-	1	false
98	bolter	15865	8561	-	1	false
99	bolter	15865	12090	-	1	false
