# seed=42 mode=sniper file=sample.m4a filesize=15865
trial	mode	filesize	off	bit	span	detected
0	sniper	15865	12606	1	1	false
1	sniper	15865	10690	3	1	false
2	sniper	15865	9442	2	1	false
3	sniper	15865	925	7	1	false
4	sniper	15865	13419	5	1	false
5	sniper	15865	12600	1	1	false
6	sniper	15865	398	6	1	false
7	sniper	15865	14088	3	1	false
8	sniper	15865	353	4	1	false
9	sniper	15865	131	4	1	false
10	sniper	15865	7516	7	1	false
11	sniper	15865	1015	3	1	false
12	sniper	15865	2878	1	1	false
13	sniper	15865	4520	3	1	false
14	sniper	15865	9114	0	1	false
15	sniper	15865	10176	3	1	false
16	sniper	15865	3540	6	1	false
17	sniper	15865	2230	0	1	false
18	sniper	15865	3748	7	1	false
19	sniper	15865	9962	6	1	false
20	sniper	15865	6360	3	1	false
21	sniper	15865	10550	4	1	false
22	sniper	15865	10749	2	1	false
23	sniper	15865	7715	0	1	false
24	sniper	15865	11761	5	1	false
25	sniper	15865	8681	0	1	false
26	sniper	15865	2279	5	1	false
27	sniper	15865	11767	4	1	false
28	sniper	15865	10726	4	1	false
29	sniper	15865	5733	7	1	false
30	sniper	15865	6467	1	1	false
31	sniper	15865	8966	3	1	false
32	sniper	15865	8527	0	1	false
33	sniper	15865	1088	0	1	false
34	sniper	15865	1682	4	1	false
35	sniper	15865	11481	7	1	false
36	sniper	15865	2786	6	1	false
37	sniper	15865	2777	5	1	false
38	sniper	15865	1368	6	1	false
39	sniper	15865	14805	0	1	false
40	sniper	15865	9419	7	1	false
41	sniper	15865	8982	7	1	false
42	sniper	15865	553	6	1	false
43	sniper	15865	12208	0	1	false
44	sniper	15865	3028	0	1	false
45	sniper	15865	9239	6	1	false
46	sniper	15865	12246	3	1	false
47	sniper	15865	3077	5	1	false
48	sniper	15865	14890	2	1	false
49	sniper	15865	8561	2	1	false
50	sniper	15865	5337	2	1	false
51	sniper	15865	11643	3	1	false
52	sniper	15865	13104	7	1	false
53	sniper	15865	12619	2	1	false
54	sniper	15865	5350	6	1	false
55	sniper	15865	3235	7	1	false
56	sniper	15865	1791	6	1	false
57	sniper	15865	4603	6	1	false
58	sniper	15865	9625	1	1	false
59	sniper	15865	1014	2	1	false
60	sniper	15865	8447	4	1	false
61	sniper	15865	15334	2	1	false
62	sniper	15865	82	5	1	true
63	sniper	15865	3453	7	1	false
64	sniper	15865	2921	0	1	false
65	sniper	15865	913	0	1	false
66	sniper	15865	7272	3	1	false
67	sniper	15865	5698	7	1	false
68	sniper	15865	560	1	1	false
69	sniper	15865	1885	3	1	false
70	sniper	15865	13604	2	1	false
71	sniper	15865	4329	6	1	false
72	sniper	15865	14405	2	1	false
73	sniper	15865	13277	4	1	false
74	sniper	15865	715	2	1	true
75	sniper	15865	7236	2	1	false
76	sniper	15865	11076	0	1	false
77	sniper	15865	2881	4	1	false
78	sniper	15865	10871	2	1	false
79	sniper	15865	2239	4	1	false
80	sniper	15865	4776	2	1	false
81	sniper	15865	15421	3	1	true
82	sniper	15865	6581	0	1	false
83	sniper	15865	2134	2	1	false
84	sniper	15865	14957	2	1	false
85	sniper	15865	8241	3	1	false
86	sniper	15865	14284	6	1	false
87	sniper	15865	12168	6	1	false
88	sniper	15865	1835	0	1	true
89	sniper	15865	9072	5	1	false
90	sniper	15865	9188	6	1	false
91	sniper	15865	5122	4	1	false
92	sniper	15865	8469	2	1	false
93	sniper	15865	6181	3	1	false
94	sniper	15865	1903	4	1	false
95	sniper	15865	2106	7	1	false
96	sniper	15865	1618	6	1	false
97	sniper	15865	33	2	1	false
98	sniper	15865	9410	0	1	false
99	sniper	15865	2866	7	1	false
