# seed=42 mode=shotgun file=Canyon-5.1-48khz-448kbit.ac3 filesize=2127104
trial	mode	filesize	off	bit	span	detected
0	shotgun	2127104	1434066	-	4096	true
1	shotgun	2127104	819789	-	4096	true
2	shotgun	2127104	1615126	-	4096	true
3	shotgun	2127104	1714265	-	4096	true
4	shotgun	2127104	1226592	-	4096	true
5	shotgun	2127104	571182	-	4096	true
6	shotgun	2127104	1540936	-	4096	true
7	shotgun	2127104	1384841	-	4096	true
8	shotgun	2127104	1666002	-	4096	true
9	shotgun	2127104	366042	-	4096	true
10	shotgun	2127104	212991	-	4096	true
11	shotgun	2127104	1135767	-	4096	true
12	shotgun	2127104	902772	-	4096	true
13	shotgun	2127104	1406717	-	4096	true
14	shotgun	2127104	1966949	-	4096	true
15	shotgun	2127104	1793995	-	4096	true
16	shotgun	2127104	1303295	-	4096	true
17	shotgun	2127104	1894948	-	4096	true
18	shotgun	2127104	2012207	-	4096	true
19	shotgun	2127104	499416	-	4096	true
20	shotgun	2127104	1157046	-	4096	true
21	shotgun	2127104	1313699	-	4096	true
22	shotgun	2127104	4413	-	4096	true
23	shotgun	2127104	764324	-	4096	true
24	shotgun	2127104	1682815	-	4096	true
25	shotgun	2127104	1316849	-	4096	true
26	shotgun	2127104	266442	-	4096	true
27	shotgun	2127104	1658724	-	4096	true
28	shotgun	2127104	1085306	-	4096	true
29	shotgun	2127104	959637	-	4096	true
30	shotgun	2127104	483358	-	4096	true
31	shotgun	2127104	1576428	-	4096	true
32	shotgun	2127104	336558	-	4096	true
33	shotgun	2127104	643049	-	4096	true
34	shotgun	2127104	577038	-	4096	true
35	shotgun	2127104	1737739	-	4096	true
36	shotgun	2127104	509875	-	4096	true
37	shotgun	2127104	870716	-	4096	true
38	shotgun	2127104	1774346	-	4096	true
39	shotgun	2127104	707108	-	4096	true
40	shotgun	2127104	573959	-	4096	true
41	shotgun	2127104	1880777	-	4096	true
42	shotgun	2127104	1844878	-	4096	true
43	shotgun	2127104	320093	-	4096	true
44	shotgun	2127104	1293040	-	4096	true
45	shotgun	2127104	1934121	-	4096	true
46	shotgun	2127104	162641	-	4096	true
47	shotgun	2127104	132186	-	4096	true
48	shotgun	2127104	1058413	-	4096	true
49	shotgun	2127104	2113446	-	4096	true
50	shotgun	2127104	1519020	-	4096	true
51	shotgun	2127104	311613	-	4096	true
52	shotgun	2127104	1817239	-	4096	true
53	shotgun	2127104	1758580	-	4096	true
54	shotgun	2127104	380918	-	4096	true
55	shotgun	2127104	174545	-	4096	true
56	shotgun	2127104	1223133	-	4096	true
57	shotgun	2127104	839031	-	4096	true
58	shotgun	2127104	1015552	-	4096	true
59	shotgun	2127104	529216	-	4096	true
60	shotgun	2127104	1363297	-	4096	true
61	shotgun	2127104	798505	-	4096	true
62	shotgun	2127104	799610	-	4096	true
63	shotgun	2127104	1284051	-	4096	true
64	shotgun	2127104	439316	-	4096	true
65	shotgun	2127104	1377304	-	4096	true
66	shotgun	2127104	1422447	-	4096	true
67	shotgun	2127104	1235444	-	4096	true
68	shotgun	2127104	1421555	-	4096	true
69	shotgun	2127104	187107	-	4096	true
70	shotgun	2127104	306197	-	4096	true
71	shotgun	2127104	126102	-	4096	true
72	shotgun	2127104	537162	-	4096	true
73	shotgun	2127104	250228	-	4096	true
74	shotgun	2127104	1395607	-	4096	true
75	shotgun	2127104	1717053	-	4096	true
76	shotgun	2127104	1932151	-	4096	true
77	shotgun	2127104	104792	-	4096	true
78	shotgun	2127104	1412697	-	4096	true
79	shotgun	2127104	1357931	-	4096	true
80	shotgun	2127104	1105236	-	4096	true
81	shotgun	2127104	1707298	-	4096	true
82	shotgun	2127104	1754950	-	4096	true
83	shotgun	2127104	668019	-	4096	true
84	shotgun	2127104	532659	-	4096	true
85	shotgun	2127104	900315	-	4096	true
86	shotgun	2127104	102695	-	4096	true
87	shotgun	2127104	1651998	-	4096	true
88	shotgun	2127104	1264203	-	4096	true
89	shotgun	2127104	1334646	-	4096	true
90	shotgun	2127104	614041	-	4096	true
91	shotgun	2127104	424441	-	4096	true
92	shotgun	2127104	1358890	-	4096	true
93	shotgun	2127104	2051341	-	4096	true
94	shotgun	2127104	1308977	-	4096	true
95	shotgun	2127104	698280	-	4096	true
96	shotgun	2127104	1529536	-	4096	true
97	shotgun	2127104	422247	-	4096	true
98	shotgun	2127104	21827	-	4096	true
99	shotgun	2127104	2099245	-	4096	true
