# seed=42 mode=sniper file=TomorrowNeverDies-2.1-48khz-192kbit.ac3 filesize=3248067
trial	mode	filesize	off	bit	span	detected
0	sniper	3248067	64457	1	1	true
1	sniper	3248067	1785771	3	1	true
2	sniper	3248067	113934	2	1	true
3	sniper	3248067	1862616	7	1	true
4	sniper	3248067	3014426	5	1	true
5	sniper	3248067	2288926	1	1	true
6	sniper	3248067	2643324	6	1	true
7	sniper	3248067	2175479	3	1	true
8	sniper	3248067	2242615	4	1	true
9	sniper	3248067	1063685	4	1	true
10	sniper	3248067	2417229	7	1	true
11	sniper	3248067	469425	3	1	true
12	sniper	3248067	2617700	1	1	true
13	sniper	3248067	959889	3	1	true
14	sniper	3248067	1522375	0	1	true
15	sniper	3248067	2412570	3	1	true
16	sniper	3248067	1015429	6	1	true
17	sniper	3248067	1128895	0	1	true
18	sniper	3248067	531045	7	1	true
19	sniper	3248067	2874998	6	1	true
20	sniper	3248067	1219226	3	1	true
21	sniper	3248067	1521699	4	1	true
22	sniper	3248067	2989174	2	1	true
23	sniper	3248067	785666	0	1	true
24	sniper	3248067	716001	5	1	true
25	sniper	3248067	1265358	0	1	true
26	sniper	3248067	2444573	5	1	true
27	sniper	3248067	1838008	4	1	true
28	sniper	3248067	1825548	4	1	true
29	sniper	3248067	1076287	7	1	true
30	sniper	3248067	2207727	1	1	true
31	sniper	3248067	1545158	3	1	true
32	sniper	3248067	1784995	0	1	true
33	sniper	3248067	223795	0	1	true
34	sniper	3248067	1552603	4	1	true
35	sniper	3248067	1132754	7	1	true
36	sniper	3248067	657129	6	1	true
37	sniper	3248067	1730987	5	1	true
38	sniper	3248067	1269590	6	1	true
39	sniper	3248067	1364400	0	1	true
40	sniper	3248067	1912713	7	1	true
41	sniper	3248067	2244842	7	1	true
42	sniper	3248067	905518	6	1	true
43	sniper	3248067	1437060	0	1	true
44	sniper	3248067	1444124	0	1	true
45	sniper	3248067	548363	6	1	true
46	sniper	3248067	524373	3	1	true
47	sniper	3248067	1853130	5	1	true
48	sniper	3248067	1780382	2	1	true
49	sniper	3248067	3163265	2	1	true
50	sniper	3248067	2492134	2	1	true
51	sniper	3248067	1518848	3	1	true
52	sniper	3248067	1348160	7	1	true
53	sniper	3248067	294370	2	1	true
54	sniper	3248067	322963	6	1	true
55	sniper	3248067	801342	7	1	true
56	sniper	3248067	1834811	6	1	true
57	sniper	3248067	2087491	6	1	true
58	sniper	3248067	2014921	1	1	true
59	sniper	3248067	60909	2	1	true
60	sniper	3248067	412357	4	1	true
61	sniper	3248067	1724715	2	1	true
62	sniper	3248067	416483	5	1	true
63	sniper	3248067	2429536	7	1	true
64	sniper	3248067	1871237	0	1	true
65	sniper	3248067	631128	0	1	true
66	sniper	3248067	431778	3	1	true
67	sniper	3248067	1926529	7	1	true
68	sniper	3248067	2876507	1	1	true
69	sniper	3248067	767757	3	1	true
70	sniper	3248067	2071732	2	1	true
71	sniper	3248067	2149100	6	1	true
72	sniper	3248067	883919	2	1	true
73	sniper	3248067	1853489	4	1	true
74	sniper	3248067	2307667	2	1	true
75	sniper	3248067	881638	2	1	true
76	sniper	3248067	815489	0	1	true
77	sniper	3248067	729832	4	1	true
78	sniper	3248067	2354601	2	1	true
79	sniper	3248067	3157353	4	1	true
80	sniper	3248067	2293529	2	1	true
81	sniper	3248067	1612014	3	1	true
82	sniper	3248067	2762862	0	1	true
83	sniper	3248067	3008502	2	1	true
84	sniper	3248067	1761714	2	1	true
85	sniper	3248067	2039527	3	1	true
86	sniper	3248067	2870897	6	1	true
87	sniper	3248067	29513	6	1	true
88	sniper	3248067	2417004	0	1	true
89	sniper	3248067	2437645	5	1	true
90	sniper	3248067	1432685	6	1	true
91	sniper	3248067	2672870	4	1	true
92	sniper	3248067	1212568	2	1	true
93	sniper	3248067	2089130	3	1	true
94	sniper	3248067	3234639	4	1	true
95	sniper	3248067	1570091	7	1	true
96	sniper	3248067	974871	6	1	true
97	sniper	3248067	2053587	2	1	true
98	sniper	3248067	1570644	0	1	true
99	sniper	3248067	2358076	7	1	true
