# seed=42 mode=sniper file=sample.ai filesize=372
trial	mode	filesize	off	bit	span	detected
0	sniper	372	266	1	1	false
1	sniper	372	111	3	1	false
2	sniper	372	297	2	1	false
3	sniper	372	300	7	1	false
4	sniper	372	140	5	1	false
5	sniper	372	25	1	1	false
6	sniper	372	120	6	1	false
7	sniper	372	5	3	1	false
8	sniper	372	250	4	1	false
9	sniper	372	167	4	1	false
10	sniper	372	348	7	1	false
11	sniper	372	24	3	1	false
12	sniper	372	35	1	1	false
13	sniper	372	198	3	1	false
14	sniper	372	268	0	1	false
15	sniper	372	144	3	1	false
16	sniper	372	202	6	1	false
17	sniper	372	97	0	1	false
18	sniper	372	354	7	1	true
19	sniper	372	38	6	1	false
20	sniper	372	14	3	1	false
21	sniper	372	99	4	1	false
22	sniper	372	346	2	1	false
23	sniper	372	170	0	1	false
24	sniper	372	237	5	1	false
25	sniper	372	174	0	1	false
26	sniper	372	14	5	1	false
27	sniper	372	154	4	1	false
28	sniper	372	171	4	1	false
29	sniper	372	43	7	1	false
30	sniper	372	228	1	1	true
31	sniper	372	5	3	1	false
32	sniper	372	4	0	1	false
33	sniper	372	283	0	1	false
34	sniper	372	106	4	1	false
35	sniper	372	167	7	1	false
36	sniper	372	240	6	1	false
37	sniper	372	152	5	1	false
38	sniper	372	23	6	1	false
39	sniper	372	84	0	1	false
40	sniper	372	279	7	1	false
41	sniper	372	182	7	1	false
42	sniper	372	85	6	1	false
43	sniper	372	105	0	1	false
44	sniper	372	2	0	1	false
45	sniper	372	182	6	1	false
46	sniper	372	225	3	1	true
47	sniper	372	357	5	1	true
48	sniper	372	83	2	1	false
49	sniper	372	197	2	1	false
50	sniper	372	193	2	1	false
51	sniper	372	65	3	1	false
52	sniper	372	152	7	1	false
53	sniper	372	70	2	1	false
54	sniper	372	244	6	1	false
55	sniper	372	219	7	1	false
56	sniper	372	299	6	1	false
57	sniper	372	109	6	1	false
58	sniper	372	43	1	1	false
59	sniper	372	15	2	1	false
60	sniper	372	157	4	1	false
61	sniper	372	318	2	1	false
62	sniper	372	140	5	1	false
63	sniper	372	190	7	1	false
64	sniper	372	326	0	1	false
65	sniper	372	0	0	1	false
66	sniper	372	117	3	1	false
67	sniper	372	310	7	1	false
68	sniper	372	278	1	1	false
69	sniper	372	303	3	1	false
70	sniper	372	175	2	1	false
71	sniper	372	5	6	1	false
72	sniper	372	173	2	1	false
73	sniper	372	305	4	1	false
74	sniper	372	325	2	1	false
75	sniper	372	181	2	1	false
76	sniper	372	104	0	1	false
77	sniper	372	193	4	1	false
78	sniper	372	15	2	1	false
79	sniper	372	30	4	1	false
80	sniper	372	359	2	1	true
81	sniper	372	369	3	1	true
82	sniper	372	177	0	1	false
83	sniper	372	345	2	1	false
84	sniper	372	348	2	1	false
85	sniper	372	19	3	1	false
86	sniper	372	179	6	1	false
87	sniper	372	98	6	1	false
88	sniper	372	318	0	1	false
89	sniper	372	82	5	1	false
90	sniper	372	332	6	1	false
91	sniper	372	233	4	1	false
92	sniper	372	133	2	1	false
93	sniper	372	245	3	1	false
94	sniper	372	69	4	1	false
95	sniper	372	341	7	1	false
96	sniper	372	117	6	1	false
97	sniper	372	177	2	1	false
98	sniper	372	279	0	1	false
99	sniper	372	298	7	1	false
