# seed=42 mode=sniper file=sample.als filesize=82
trial	mode	filesize	off	bit	span	detected
0	sniper	82	20	1	1	true
1	sniper	82	1	3	1	true
2	sniper	82	65	2	1	true
3	sniper	82	66	7	1	true
4	sniper	82	56	5	1	true
5	sniper	82	65	1	1	true
6	sniper	82	0	6	1	true
7	sniper	82	59	3	1	true
8	sniper	82	36	4	1	true
9	sniper	82	71	4	1	true
10	sniper	82	26	7	1	true
11	sniper	82	78	3	1	true
12	sniper	82	57	1	1	true
13	sniper	82	20	3	1	true
14	sniper	82	26	0	1	true
15	sniper	82	70	3	1	true
16	sniper	82	50	6	1	true
17	sniper	82	51	0	1	true
18	sniper	82	28	7	1	true
19	sniper	82	24	6	1	true
20	sniper	82	80	3	1	true
21	sniper	82	23	4	1	true
22	sniper	82	22	2	1	true
23	sniper	82	8	0	1	false
24	sniper	82	73	5	1	false
25	sniper	82	64	0	1	true
26	sniper	82	72	5	1	true
27	sniper	82	10	4	1	true
28	sniper	82	45	4	1	true
29	sniper	82	75	7	1	true
30	sniper	82	68	1	1	true
31	sniper	82	9	3	1	false
32	sniper	82	20	0	1	true
33	sniper	82	75	0	1	true
34	sniper	82	42	4	1	true
35	sniper	82	9	7	1	false
36	sniper	82	78	6	1	true
37	sniper	82	26	5	1	true
38	sniper	82	1	6	1	true
39	sniper	82	68	0	1	true
40	sniper	82	31	7	1	true
41	sniper	82	52	7	1	true
42	sniper	82	9	6	1	false
43	sniper	82	45	0	1	true
44	sniper	82	32	0	1	true
45	sniper	82	30	6	1	true
46	sniper	82	71	3	1	true
47	sniper	82	65	5	1	true
48	sniper	82	21	2	1	true
49	sniper	82	27	2	1	true
50	sniper	82	75	2	1	true
51	sniper	82	61	3	1	true
52	sniper	82	30	7	1	true
53	sniper	82	34	2	1	true
54	sniper	82	56	6	1	true
55	sniper	82	11	7	1	true
56	sniper	82	33	6	1	true
57	sniper	82	23	6	1	true
58	sniper	82	31	1	1	true
59	sniper	82	59	2	1	true
60	sniper	82	33	4	1	true
61	sniper	82	20	2	1	true
62	sniper	82	44	5	1	true
63	sniper	82	8	7	1	false
64	sniper	82	32	0	1	true
65	sniper	82	34	0	1	true
66	sniper	82	75	3	1	true
67	sniper	82	70	7	1	true
68	sniper	82	44	1	1	true
69	sniper	82	71	3	1	true
70	sniper	82	21	2	1	true
71	sniper	82	59	6	1	true
72	sniper	82	35	2	1	true
73	sniper	82	11	4	1	true
74	sniper	82	45	2	1	true
75	sniper	82	15	2	1	true
76	sniper	82	68	0	1	true
77	sniper	82	9	4	1	false
78	sniper	82	39	2	1	true
79	sniper	82	68	4	1	true
80	sniper	82	45	2	1	true
81	sniper	82	61	3	1	true
82	sniper	82	31	0	1	true
83	sniper	82	9	2	1	false
84	sniper	82	34	2	1	true
85	sniper	82	7	3	1	false
86	sniper	82	69	6	1	true
87	sniper	82	26	6	1	true
88	sniper	82	28	0	1	true
89	sniper	82	64	5	1	true
90	sniper	82	8	6	1	false
91	sniper	82	79	4	1	true
92	sniper	82	27	2	1	true
93	sniper	82	31	3	1	true
94	sniper	82	37	4	1	true
95	sniper	82	55	7	1	true
96	sniper	82	3	6	1	true
97	sniper	82	17	2	1	true
98	sniper	82	79	0	1	true
99	sniper	82	48	7	1	true
