# seed=42 mode=sniper file=corpus_xorshift.ape filesize=16464
trial	mode	filesize	off	bit	span	detected
0	sniper	16464	14438	1	1	false
1	sniper	16464	16299	3	1	false
2	sniper	16464	381	2	1	false
3	sniper	16464	13644	7	1	false
4	sniper	16464	8264	5	1	false
5	sniper	16464	2953	1	1	false
6	sniper	16464	9996	6	1	false
7	sniper	16464	10193	3	1	false
8	sniper	16464	1690	4	1	false
9	sniper	16464	10835	4	1	false
10	sniper	16464	16056	7	1	false
11	sniper	16464	15648	3	1	false
12	sniper	16464	16307	1	1	false
13	sniper	16464	1098	3	1	false
14	sniper	16464	14404	0	1	false
15	sniper	16464	9360	3	1	false
16	sniper	16464	9718	6	1	false
17	sniper	16464	10789	0	1	false
18	sniper	16464	6570	7	1	false
19	sniper	16464	11174	6	1	false
20	sniper	16464	12002	3	1	false
21	sniper	16464	11007	4	1	false
22	sniper	16464	14446	2	1	false
23	sniper	16464	7898	0	1	false
24	sniper	16464	7737	5	1	false
25	sniper	16464	12438	0	1	false
26	sniper	16464	1586	5	1	false
27	sniper	16464	13522	4	1	false
28	sniper	16464	8127	4	1	false
29	sniper	16464	14719	7	1	false
30	sniper	16464	3144	1	1	false
31	sniper	16464	5153	3	1	false
32	sniper	16464	14032	0	1	false
33	sniper	16464	5323	0	1	false
34	sniper	16464	9946	4	1	false
35	sniper	16464	12623	7	1	false
36	sniper	16464	4308	6	1	false
37	sniper	16464	4244	5	1	false
38	sniper	16464	12971	6	1	false
39	sniper	16464	7392	0	1	false
40	sniper	16464	603	7	1	false
41	sniper	16464	2606	7	1	false
42	sniper	16464	5473	6	1	false
43	sniper	16464	765	0	1	false
44	sniper	16464	12338	0	1	false
45	sniper	16464	15566	6	1	false
46	sniper	16464	15465	3	1	false
47	sniper	16464	9297	5	1	false
48	sniper	16464	8855	2	1	false
49	sniper	16464	5165	2	1	false
50	sniper	16464	2857	2	1	false
51	sniper	16464	9269	3	1	false
52	sniper	16464	1496	7	1	false
53	sniper	16464	8086	2	1	false
54	sniper	16464	5044	6	1	false
55	sniper	16464	111	7	1	false
56	sniper	16464	10859	6	1	false
57	sniper	16464	1405	6	1	false
58	sniper	16464	9367	1	1	false
59	sniper	16464	675	2	1	false
60	sniper	16464	3577	4	1	false
61	sniper	16464	9726	2	1	false
62	sniper	16464	15428	5	1	false
63	sniper	16464	3310	7	1	false
64	sniper	16464	3146	0	1	false
65	sniper	16464	3060	0	1	false
66	sniper	16464	8673	3	1	false
67	sniper	16464	8002	7	1	false
68	sniper	16464	14510	1	1	false
69	sniper	16464	8043	3	1	false
70	sniper	16464	4747	2	1	false
71	sniper	16464	7421	6	1	false
72	sniper	16464	13949	2	1	false
73	sniper	16464	869	4	1	false
74	sniper	16464	12973	2	1	false
75	sniper	16464	229	2	1	false
76	sniper	16464	848	0	1	false
77	sniper	16464	9661	4	1	false
78	sniper	16464	1659	2	1	false
79	sniper	16464	3282	4	1	false
80	sniper	16464	10955	2	1	false
81	sniper	16464	14061	3	1	false
82	sniper	16464	2949	0	1	false
83	sniper	16464	4845	2	1	false
84	sniper	16464	11376	2	1	false
85	sniper	16464	10495	3	1	false
86	sniper	16464	12779	6	1	false
87	sniper	16464	10118	6	1	false
88	sniper	16464	5718	0	1	false
89	sniper	16464	7774	5	1	false
90	sniper	16464	8276	6	1	false
91	sniper	16464	3017	4	1	false
92	sniper	16464	169	2	1	false
93	sniper	16464	7673	3	1	false
94	sniper	16464	5145	4	1	false
95	sniper	16464	7073	7	1	false
96	sniper	16464	3777	6	1	false
97	sniper	16464	3813	2	1	false
98	sniper	16464	6915	0	1	false
99	sniper	16464	2698	7	1	false
