# seed=42 mode=sniper file=sony_ilce_7s.arw filesize=6160384
trial	mode	filesize	off	bit	span	detected
0	sniper	6160384	5864406	1	1	false
1	sniper	6160384	2601627	3	1	false
2	sniper	6160384	614061	2	1	false
3	sniper	6160384	5976364	7	1	false
4	sniper	6160384	4720648	5	1	false
5	sniper	6160384	2498009	1	1	false
6	sniper	6160384	1854940	6	1	false
7	sniper	6160384	3471441	3	1	false
8	sniper	6160384	1108698	4	1	false
9	sniper	6160384	5749283	4	1	false
10	sniper	6160384	4496456	7	1	false
11	sniper	6160384	4269776	3	1	false
12	sniper	6160384	404355	1	1	false
13	sniper	6160384	1711018	3	1	false
14	sniper	6160384	2885396	0	1	false
15	sniper	6160384	2482416	3	1	false
16	sniper	6160384	2816182	6	1	false
17	sniper	6160384	410357	0	1	false
18	sniper	6160384	551066	7	1	false
19	sniper	6160384	2086614	6	1	false
20	sniper	6160384	3084706	3	1	false
21	sniper	6160384	616431	4	1	false
22	sniper	6160384	3543790	2	1	false
23	sniper	6160384	5483834	0	1	false
24	sniper	6160384	2260633	5	1	false
25	sniper	6160384	1847446	0	1	false
26	sniper	6160384	5938978	5	1	false
27	sniper	6160384	1034722	4	1	false
28	sniper	6160384	4633551	4	1	false
29	sniper	6160384	21999	7	1	false
30	sniper	6160384	4388936	1	1	false
31	sniper	6160384	3303537	3	1	false
32	sniper	6160384	4898944	0	1	false
33	sniper	6160384	1300891	0	1	false
34	sniper	6160384	5178794	4	1	false
35	sniper	6160384	2642463	7	1	false
36	sniper	6160384	2122132	6	1	false
37	sniper	6160384	3792980	5	1	false
38	sniper	6160384	5845755	6	1	false
39	sniper	6160384	5682112	0	1	false
40	sniper	6160384	4845051	7	1	false
41	sniper	6160384	491582	7	1	false
42	sniper	6160384	5785297	6	1	false
43	sniper	6160384	318045	0	1	false
44	sniper	6160384	3384114	0	1	false
45	sniper	6160384	5107294	6	1	false
46	sniper	6160384	2859721	3	1	false
47	sniper	6160384	515249	5	1	false
48	sniper	6160384	1770599	2	1	false
49	sniper	6160384	5466477	2	1	false
50	sniper	6160384	4685913	2	1	false
51	sniper	6160384	5334101	3	1	false
52	sniper	6160384	1609400	7	1	false
53	sniper	6160384	1575430	2	1	false
54	sniper	6160384	3407108	6	1	false
55	sniper	6160384	2574623	7	1	false
56	sniper	6160384	1101371	6	1	false
57	sniper	6160384	5867821	6	1	false
58	sniper	6160384	5004535	1	1	false
59	sniper	6160384	1680051	2	1	false
60	sniper	6160384	3710249	4	1	false
61	sniper	6160384	1379182	2	1	false
62	sniper	6160384	1868916	5	1	false
63	sniper	6160384	2852366	7	1	false
64	sniper	6160384	4403098	0	1	false
65	sniper	6160384	3374404	0	1	false
66	sniper	6160384	4057969	3	1	false
67	sniper	6160384	3873970	7	1	false
68	sniper	6160384	3961054	1	1	false
69	sniper	6160384	4197435	3	1	false
70	sniper	6160384	2457307	2	1	false
71	sniper	6160384	5819997	6	1	false
72	sniper	6160384	2122605	2	1	false
73	sniper	6160384	2960389	4	1	false
74	sniper	6160384	5647933	2	1	false
75	sniper	6160384	272533	2	1	false
76	sniper	6160384	5578384	0	1	false
77	sniper	6160384	1043229	4	1	false
78	sniper	6160384	4003547	2	1	false
79	sniper	6160384	4898498	4	1	false
80	sniper	6160384	4290795	2	1	false
81	sniper	6160384	2057197	3	1	false
82	sniper	6160384	4605989	0	1	false
83	sniper	6160384	6107549	2	1	false
84	sniper	6160384	5686400	2	1	false
85	sniper	6160384	577311	3	1	false
86	sniper	6160384	3204315	6	1	false
87	sniper	6160384	3785158	6	1	false
88	sniper	6160384	4794726	0	1	false
89	sniper	6160384	3303326	5	1	false
90	sniper	6160384	5439332	6	1	false
91	sniper	6160384	4197481	4	1	false
92	sniper	6160384	4736777	2	1	false
93	sniper	6160384	6063641	3	1	false
94	sniper	6160384	3421369	4	1	false
95	sniper	6160384	970769	7	1	false
96	sniper	6160384	2536737	6	1	false
97	sniper	6160384	6095157	2	1	false
98	sniper	6160384	1108227	0	1	false
99	sniper	6160384	589914	7	1	false
