# seed=42 mode=shotgun file=sample.asf filesize=7123
trial	mode	filesize	off	bit	span	detected
0	shotgun	7123	1130	-	4096	false
1	shotgun	7123	383	-	4096	false
2	shotgun	7123	2559	-	4096	false
3	shotgun	7123	408	-	4096	false
4	shotgun	7123	773	-	4096	false
5	shotgun	7123	546	-	4096	false
6	shotgun	7123	185	-	4096	false
7	shotgun	7123	1398	-	4096	false
8	shotgun	7123	1719	-	4096	false
9	shotgun	7123	2318	-	4096	false
10	shotgun	7123	2805	-	4096	false
11	shotgun	7123	101	-	4096	false
12	shotgun	7123	1361	-	4096	false
13	shotgun	7123	458	-	4096	false
14	shotgun	7123	648	-	4096	false
15	shotgun	7123	1839	-	4096	false
16	shotgun	7123	2097	-	4096	false
17	shotgun	7123	2766	-	4096	false
18	shotgun	7123	2273	-	4096	false
19	shotgun	7123	1087	-	4096	false
20	shotgun	7123	683	-	4096	false
21	shotgun	7123	2332	-	4096	false
22	shotgun	7123	59	-	4096	false
23	shotgun	7123	2807	-	4096	false
24	shotgun	7123	2071	-	4096	false
25	shotgun	7123	1771	-	4096	false
26	shotgun	7123	2023	-	4096	false
27	shotgun	7123	1033	-	4096	false
28	shotgun	7123	649	-	4096	false
29	shotgun	7123	1655	-	4096	false
30	shotgun	7123	2343	-	4096	false
31	shotgun	7123	1325	-	4096	false
32	shotgun	7123	1727	-	4096	false
33	shotgun	7123	323	-	4096	false
34	shotgun	7123	2331	-	4096	false
35	shotgun	7123	2624	-	4096	false
36	shotgun	7123	1226	-	4096	false
37	shotgun	7123	2433	-	4096	false
38	shotgun	7123	2023	-	4096	false
39	shotgun	7123	438	-	4096	false
40	shotgun	7123	436	-	4096	false
41	shotgun	7123	981	-	4096	false
42	shotgun	7123	1243	-	4096	false
43	shotgun	7123	320	-	4096	false
44	shotgun	7123	400	-	4096	false
45	shotgun	7123	63	-	4096	false
46	shotgun	7123	2585	-	4096	false
47	shotgun	7123	454	-	4096	false
48	shotgun	7123	2621	-	4096	false
49	shotgun	7123	170	-	4096	false
50	shotgun	7123	1259	-	4096	false
51	shotgun	7123	667	-	4096	false
52	shotgun	7123	1759	-	4096	false
53	shotgun	7123	1533	-	4096	false
54	shotgun	7123	1546	-	4096	false
55	shotgun	7123	1885	-	4096	false
56	shotgun	7123	1013	-	4096	false
57	shotgun	7123	2681	-	4096	false
58	shotgun	7123	585	-	4096	false
59	shotgun	7123	1679	-	4096	false
60	shotgun	7123	1208	-	4096	false
61	shotgun	7123	926	-	4096	false
62	shotgun	7123	2203	-	4096	false
63	shotgun	7123	2293	-	4096	false
64	shotgun	7123	1792	-	4096	false
65	shotgun	7123	1180	-	4096	false
66	shotgun	7123	183	-	4096	false
67	shotgun	7123	1159	-	4096	false
68	shotgun	7123	1822	-	4096	false
69	shotgun	7123	1545	-	4096	false
70	shotgun	7123	2666	-	4096	false
71	shotgun	7123	1039	-	4096	false
72	shotgun	7123	1406	-	4096	false
73	shotgun	7123	2744	-	4096	false
74	shotgun	7123	817	-	4096	false
75	shotgun	7123	2550	-	4096	false
76	shotgun	7123	115	-	4096	false
77	shotgun	7123	2758	-	4096	false
78	shotgun	7123	2482	-	4096	false
79	shotgun	7123	2358	-	4096	false
80	shotgun	7123	1238	-	4096	false
81	shotgun	7123	215	-	4096	false
82	shotgun	7123	1490	-	4096	false
83	shotgun	7123	2633	-	4096	false
84	shotgun	7123	1310	-	4096	false
85	shotgun	7123	2979	-	4096	false
86	shotgun	7123	1966	-	4096	false
87	shotgun	7123	532	-	4096	false
88	shotgun	7123	2163	-	4096	false
89	shotgun	7123	854	-	4096	false
90	shotgun	7123	1639	-	4096	false
91	shotgun	7123	550	-	4096	false
92	shotgun	7123	755	-	4096	false
93	shotgun	7123	2161	-	4096	false
94	shotgun	7123	1296	-	4096	false
95	shotgun	7123	1579	-	4096	false
96	shotgun	7123	2350	-	4096	false
97	shotgun	7123	2287	-	4096	false
98	shotgun	7123	1422	-	4096	false
99	shotgun	7123	2574	-	4096	false
