# seed=42 mode=shotgun file=butterfly.avif filesize=87356
trial	mode	filesize	off	bit	span	detected
0	shotgun	87356	42802	-	4096	false
1	shotgun	87356	45535	-	4096	false
2	shotgun	87356	11998	-	4096	false
3	shotgun	87356	58104	-	4096	false
4	shotgun	87356	10957	-	4096	false
5	shotgun	87356	52376	-	4096	false
6	shotgun	87356	76690	-	4096	false
7	shotgun	87356	1610	-	4096	false
8	shotgun	87356	76938	-	4096	false
9	shotgun	87356	48869	-	4096	false
10	shotgun	87356	59215	-	4096	false
11	shotgun	87356	13282	-	4096	false
12	shotgun	87356	68380	-	4096	false
13	shotgun	87356	35157	-	4096	false
14	shotgun	87356	43376	-	4096	false
15	shotgun	87356	20902	-	4096	false
16	shotgun	87356	49399	-	4096	false
17	shotgun	87356	211	-	4096	true
18	shotgun	87356	14285	-	4096	false
19	shotgun	87356	15990	-	4096	false
20	shotgun	87356	24770	-	4096	false
21	shotgun	87356	54114	-	4096	false
22	shotgun	87356	32297	-	4096	false
23	shotgun	87356	27501	-	4096	false
24	shotgun	87356	24090	-	4096	false
25	shotgun	87356	72378	-	4096	false
26	shotgun	87356	49353	-	4096	false
27	shotgun	87356	32791	-	4096	false
28	shotgun	87356	43079	-	4096	false
29	shotgun	87356	49480	-	4096	false
30	shotgun	87356	16535	-	4096	false
31	shotgun	87356	1379	-	4096	false
32	shotgun	87356	70294	-	4096	false
33	shotgun	87356	51237	-	4096	false
34	shotgun	87356	11181	-	4096	false
35	shotgun	87356	40851	-	4096	false
36	shotgun	87356	21077	-	4096	false
37	shotgun	87356	46872	-	4096	false
38	shotgun	87356	56215	-	4096	false
39	shotgun	87356	58356	-	4096	false
40	shotgun	87356	27440	-	4096	false
41	shotgun	87356	3425	-	4096	false
42	shotgun	87356	47051	-	4096	false
43	shotgun	87356	14274	-	4096	false
44	shotgun	87356	20148	-	4096	false
45	shotgun	87356	3687	-	4096	false
46	shotgun	87356	37921	-	4096	false
47	shotgun	87356	44286	-	4096	false
48	shotgun	87356	1853	-	4096	false
49	shotgun	87356	83099	-	4096	false
50	shotgun	87356	66348	-	4096	false
51	shotgun	87356	45764	-	4096	false
52	shotgun	87356	74667	-	4096	false
53	shotgun	87356	27020	-	4096	false
54	shotgun	87356	82595	-	4096	false
55	shotgun	87356	6314	-	4096	false
56	shotgun	87356	59970	-	4096	false
57	shotgun	87356	81771	-	4096	false
58	shotgun	87356	20449	-	4096	false
59	shotgun	87356	82610	-	4096	false
60	shotgun	87356	9708	-	4096	false
61	shotgun	87356	79067	-	4096	false
62	shotgun	87356	3210	-	4096	false
63	shotgun	87356	27958	-	4096	false
64	shotgun	87356	10803	-	4096	false
65	shotgun	87356	28232	-	4096	false
66	shotgun	87356	32306	-	4096	false
67	shotgun	87356	22495	-	4096	false
68	shotgun	87356	2187	-	4096	false
69	shotgun	87356	9891	-	4096	false
70	shotgun	87356	63422	-	4096	false
71	shotgun	87356	55172	-	4096	false
72	shotgun	87356	25876	-	4096	false
73	shotgun	87356	25204	-	4096	false
74	shotgun	87356	36817	-	4096	false
75	shotgun	87356	48928	-	4096	false
76	shotgun	87356	10849	-	4096	false
77	shotgun	87356	6637	-	4096	false
78	shotgun	87356	1338	-	4096	false
79	shotgun	87356	60647	-	4096	false
80	shotgun	87356	78855	-	4096	false
81	shotgun	87356	47963	-	4096	false
82	shotgun	87356	10083	-	4096	false
83	shotgun	87356	73277	-	4096	false
84	shotgun	87356	43275	-	4096	false
85	shotgun	87356	34938	-	4096	false
86	shotgun	87356	80598	-	4096	false
87	shotgun	87356	7630	-	4096	false
88	shotgun	87356	55820	-	4096	false
89	shotgun	87356	72351	-	4096	false
90	shotgun	87356	25110	-	4096	false
91	shotgun	87356	53869	-	4096	false
92	shotgun	87356	857	-	4096	false
93	shotgun	87356	2144	-	4096	false
94	shotgun	87356	49734	-	4096	false
95	shotgun	87356	66937	-	4096	false
96	shotgun	87356	33036	-	4096	false
97	shotgun	87356	23669	-	4096	false
98	shotgun	87356	67267	-	4096	false
99	shotgun	87356	52319	-	4096	false
