# seed=42 mode=shotgun file=corpus_xorshift.br filesize=16471
trial	mode	filesize	off	bit	span	detected
0	shotgun	16471	2510	-	4096	false
1	shotgun	16471	5591	-	4096	false
2	shotgun	16471	3691	-	4096	false
3	shotgun	16471	8232	-	4096	false
4	shotgun	16471	353	-	4096	false
5	shotgun	16471	11658	-	4096	false
6	shotgun	16471	1097	-	4096	false
7	shotgun	16471	4266	-	4096	false
8	shotgun	16471	4167	-	4096	false
9	shotgun	16471	1118	-	4096	false
10	shotgun	16471	10481	-	4096	false
11	shotgun	16471	6065	-	4096	false
12	shotgun	16471	2901	-	4096	false
13	shotgun	16471	7718	-	4096	false
14	shotgun	16471	964	-	4096	false
15	shotgun	16471	1043	-	4096	false
16	shotgun	16471	9289	-	4096	false
17	shotgun	16471	4402	-	4096	false
18	shotgun	16471	7421	-	4096	false
19	shotgun	16471	6959	-	4096	false
20	shotgun	16471	7415	-	4096	false
21	shotgun	16471	9816	-	4096	false
22	shotgun	16471	4847	-	4096	false
23	shotgun	16471	9843	-	4096	false
24	shotgun	16471	2507	-	4096	false
25	shotgun	16471	2795	-	4096	false
26	shotgun	16471	7631	-	4096	false
27	shotgun	16471	6605	-	4096	false
28	shotgun	16471	11709	-	4096	false
29	shotgun	16471	2639	-	4096	false
30	shotgun	16471	2955	-	4096	false
31	shotgun	16471	11529	-	4096	false
32	shotgun	16471	7803	-	4096	false
33	shotgun	16471	9647	-	4096	false
34	shotgun	16471	5999	-	4096	false
35	shotgun	16471	4392	-	4096	false
36	shotgun	16471	9214	-	4096	false
37	shotgun	16471	7301	-	4096	false
38	shotgun	16471	1687	-	4096	false
39	shotgun	16471	2782	-	4096	false
40	shotgun	16471	7876	-	4096	false
41	shotgun	16471	4889	-	4096	false
42	shotgun	16471	11291	-	4096	false
43	shotgun	16471	9328	-	4096	false
44	shotgun	16471	6580	-	4096	false
45	shotgun	16471	11963	-	4096	false
46	shotgun	16471	5869	-	4096	false
47	shotgun	16471	1650	-	4096	false
48	shotgun	16471	1861	-	4096	false
49	shotgun	16471	4794	-	4096	false
50	shotgun	16471	3639	-	4096	false
51	shotgun	16471	11635	-	4096	false
52	shotgun	16471	2895	-	4096	false
53	shotgun	16471	10645	-	4096	false
54	shotgun	16471	650	-	4096	false
55	shotgun	16471	8757	-	4096	false
56	shotgun	16471	5413	-	4096	false
57	shotgun	16471	1061	-	4096	false
58	shotgun	16471	6873	-	4096	false
59	shotgun	16471	1115	-	4096	false
60	shotgun	16471	1608	-	4096	false
61	shotgun	16471	9178	-	4096	false
62	shotgun	16471	8407	-	4096	false
63	shotgun	16471	1973	-	4096	false
64	shotgun	16471	3104	-	4096	false
65	shotgun	16471	4940	-	4096	false
66	shotgun	16471	10267	-	4096	false
67	shotgun	16471	931	-	4096	false
68	shotgun	16471	6890	-	4096	false
69	shotgun	16471	6717	-	4096	false
70	shotgun	16471	6002	-	4096	false
71	shotgun	16471	6199	-	4096	false
72	shotgun	16471	9866	-	4096	false
73	shotgun	16471	4668	-	4096	false
74	shotgun	16471	7213	-	4096	false
75	shotgun	16471	5742	-	4096	false
76	shotgun	16471	3371	-	4096	false
77	shotgun	16471	11006	-	4096	false
78	shotgun	16471	9162	-	4096	false
79	shotgun	16471	6210	-	4096	false
80	shotgun	16471	2414	-	4096	false
81	shotgun	16471	1615	-	4096	false
82	shotgun	16471	12062	-	4096	false
83	shotgun	16471	7989	-	4096	false
84	shotgun	16471	9346	-	4096	false
85	shotgun	16471	4259	-	4096	false
86	shotgun	16471	3106	-	4096	false
87	shotgun	16471	6872	-	4096	false
88	shotgun	16471	7815	-	4096	false
89	shotgun	16471	11562	-	4096	false
90	shotgun	16471	6091	-	4096	false
91	shotgun	16471	11574	-	4096	false
92	shotgun	16471	11775	-	4096	false
93	shotgun	16471	7537	-	4096	false
94	shotgun	16471	5220	-	4096	false
95	shotgun	16471	11335	-	4096	false
96	shotgun	16471	3466	-	4096	false
97	shotgun	16471	3871	-	4096	false
98	shotgun	16471	6042	-	4096	false
99	shotgun	16471	6014	-	4096	false
