# seed=42 mode=sniper file=sample.bwproject filesize=128
trial	mode	filesize	off	bit	span	detected
0	sniper	128	86	1	1	false
1	sniper	128	27	3	1	false
2	sniper	128	45	2	1	false
3	sniper	128	44	7	1	false
4	sniper	128	8	5	1	false
5	sniper	128	89	1	1	false
6	sniper	128	92	6	1	false
7	sniper	128	81	3	1	false
8	sniper	128	90	4	1	false
9	sniper	128	35	4	1	false
10	sniper	128	72	7	1	false
11	sniper	128	80	3	1	false
12	sniper	128	3	1	1	false
13	sniper	128	42	3	1	false
14	sniper	128	20	0	1	false
15	sniper	128	112	3	1	false
16	sniper	128	54	6	1	false
17	sniper	128	117	0	1	false
18	sniper	128	26	7	1	false
19	sniper	128	86	6	1	false
20	sniper	128	34	3	1	false
21	sniper	128	111	4	1	false
22	sniper	128	110	2	1	false
23	sniper	128	58	0	1	false
24	sniper	128	25	5	1	false
25	sniper	128	22	0	1	false
26	sniper	128	34	5	1	false
27	sniper	128	98	4	1	false
28	sniper	128	79	4	1	false
29	sniper	128	111	7	1	false
30	sniper	128	72	1	1	false
31	sniper	128	113	3	1	false
32	sniper	128	0	0	1	false
33	sniper	128	27	0	1	false
34	sniper	128	42	4	1	false
35	sniper	128	31	7	1	false
36	sniper	128	20	6	1	false
37	sniper	128	84	5	1	false
38	sniper	128	123	6	1	false
39	sniper	128	64	0	1	false
40	sniper	128	123	7	1	false
41	sniper	128	62	7	1	false
42	sniper	128	81	6	1	false
43	sniper	128	93	0	1	false
44	sniper	128	50	0	1	false
45	sniper	128	94	6	1	false
46	sniper	128	73	3	1	false
47	sniper	128	49	5	1	false
48	sniper	128	103	2	1	false
49	sniper	128	109	2	1	false
50	sniper	128	89	2	1	false
51	sniper	128	85	3	1	false
52	sniper	128	56	7	1	false
53	sniper	128	6	2	1	false
54	sniper	128	4	6	1	false
55	sniper	128	31	7	1	false
56	sniper	128	59	6	1	false
57	sniper	128	45	6	1	false
58	sniper	128	119	1	1	false
59	sniper	128	51	2	1	false
60	sniper	128	41	4	1	false
61	sniper	128	110	2	1	false
62	sniper	128	116	5	1	false
63	sniper	128	14	7	1	false
64	sniper	128	26	0	1	false
65	sniper	128	68	0	1	false
66	sniper	128	113	3	1	false
67	sniper	128	50	7	1	false
68	sniper	128	94	1	1	false
69	sniper	128	59	3	1	false
70	sniper	128	91	2	1	false
71	sniper	128	93	6	1	false
72	sniper	128	109	2	1	false
73	sniper	128	5	4	1	false
74	sniper	128	61	2	1	false
75	sniper	128	21	2	1	false
76	sniper	128	16	0	1	false
77	sniper	128	29	4	1	false
78	sniper	128	91	2	1	false
79	sniper	128	66	4	1	false
80	sniper	128	107	2	1	false
81	sniper	128	109	3	1	false
82	sniper	128	37	0	1	false
83	sniper	128	29	2	1	false
84	sniper	128	0	2	1	false
85	sniper	128	31	3	1	false
86	sniper	128	91	6	1	false
87	sniper	128	70	6	1	false
88	sniper	128	102	0	1	false
89	sniper	128	30	5	1	false
90	sniper	128	100	6	1	false
91	sniper	128	105	4	1	false
92	sniper	128	9	2	1	false
93	sniper	128	25	3	1	false
94	sniper	128	57	4	1	false
95	sniper	128	17	7	1	false
96	sniper	128	33	6	1	false
97	sniper	128	53	2	1	false
98	sniper	128	3	0	1	false
99	sniper	128	90	7	1	false
