# seed=42 mode=bolter file=corpus_xorshift.bz2 filesize=17152
trial	mode	filesize	off	bit	span	detected
0	bolter	17152	15830	-	1	true
1	bolter	17152	11177	-	1	true
2	bolter	17152	15515	-	1	true
3	bolter	17152	8323	-	1	true
4	bolter	17152	10925	-	1	true
5	bolter	17152	3634	-	1	true
6	bolter	17152	6700	-	1	true
7	bolter	17152	16599	-	1	true
8	bolter	17152	1032	-	1	true
9	bolter	17152	9141	-	1	true
10	bolter	17152	12761	-	1	true
11	bolter	17152	10625	-	1	true
12	bolter	17152	16092	-	1	true
13	bolter	17152	5526	-	1	true
14	bolter	17152	11601	-	1	true
15	bolter	17152	14187	-	1	true
16	bolter	17152	1498	-	1	true
17	bolter	17152	4420	-	1	true
18	bolter	17152	291	-	1	true
19	bolter	17152	14532	-	1	true
20	bolter	17152	5960	-	1	true
21	bolter	17152	10263	-	1	true
22	bolter	17152	7632	-	1	true
23	bolter	17152	2731	-	1	true
24	bolter	17152	1411	-	1	true
25	bolter	17152	10785	-	1	true
26	bolter	17152	13226	-	1	true
27	bolter	17152	8859	-	1	true
28	bolter	17152	11284	-	1	true
29	bolter	17152	14024	-	1	true
30	bolter	17152	4080	-	1	true
31	bolter	17152	7435	-	1	true
32	bolter	17152	3254	-	1	true
33	bolter	17152	8422	-	1	true
34	bolter	17152	3829	-	1	true
35	bolter	17152	13032	-	1	true
36	bolter	17152	15514	-	1	true
37	bolter	17152	8559	-	1	true
38	bolter	17152	7638	-	1	true
39	bolter	17152	16310	-	1	true
40	bolter	17152	930	-	1	true
41	bolter	17152	11067	-	1	true
42	bolter	17152	14575	-	1	true
43	bolter	17152	15516	-	1	true
44	bolter	17152	1006	-	1	true
45	bolter	17152	12762	-	1	true
46	bolter	17152	1338	-	1	true
47	bolter	17152	8288	-	1	true
48	bolter	17152	5529	-	1	true
49	bolter	17152	1237	-	1	true
50	bolter	17152	2966	-	1	true
51	bolter	17152	3864	-	1	true
52	bolter	17152	9506	-	1	true
53	bolter	17152	15237	-	1	true
54	bolter	17152	10978	-	1	true
55	bolter	17152	5012	-	1	true
56	bolter	17152	10959	-	1	true
57	bolter	17152	10140	-	1	true
58	bolter	17152	7151	-	1	true
59	bolter	17152	8711	-	1	true
60	bolter	17152	8264	-	1	true
61	bolter	17152	2713	-	1	true
62	bolter	17152	1905	-	1	true
63	bolter	17152	11035	-	1	true
64	bolter	17152	5504	-	1	true
65	bolter	17152	880	-	1	true
66	bolter	17152	14491	-	1	true
67	bolter	17152	2352	-	1	true
68	bolter	17152	10154	-	1	true
69	bolter	17152	2316	-	1	true
70	bolter	17152	5663	-	1	true
71	bolter	17152	2383	-	1	true
72	bolter	17152	9620	-	1	true
73	bolter	17152	17014	-	1	true
74	bolter	17152	15700	-	1	true
75	bolter	17152	6821	-	1	true
76	bolter	17152	17147	-	1	true
77	bolter	17152	14902	-	1	true
78	bolter	17152	704	-	1	true
79	bolter	17152	14400	-	1	true
80	bolter	17152	1531	-	1	true
81	bolter	17152	5503	-	1	true
82	bolter	17152	7742	-	1	true
83	bolter	17152	9087	-	1	true
84	bolter	17152	12753	-	1	true
85	bolter	17152	2950	-	1	true
86	bolter	17152	8029	-	1	true
87	bolter	17152	13848	-	1	true
88	bolter	17152	15410	-	1	true
89	bolter	17152	9720	-	1	true
90	bolter	17152	9054	-	1	true
91	bolter	17152	16022	-	1	true
92	bolter	17152	6857	-	1	true
93	bolter	17152	11939	-	1	true
94	bolter	17152	11697	-	1	true
95	bolter	17152	9629	-	1	true
96	bolter	17152	871	-	1	true
97	bolter	17152	15290	-	1	true
98	bolter	17152	8301	-	1	true
99	bolter	17152	7058	-	1	true
