# seed=42 mode=sniper file=corpus_xorshift.bz2 filesize=17152
trial	mode	filesize	off	bit	span	detected
0	sniper	17152	15830	1	1	true
1	sniper	17152	15515	3	1	true
2	sniper	17152	10925	2	1	true
3	sniper	17152	6700	7	1	true
4	sniper	17152	1032	5	1	true
5	sniper	17152	12761	1	1	true
6	sniper	17152	16092	6	1	true
7	sniper	17152	11601	3	1	true
8	sniper	17152	1498	4	1	true
9	sniper	17152	291	4	1	true
10	sniper	17152	5960	7	1	true
11	sniper	17152	7632	3	1	true
12	sniper	17152	1411	1	1	true
13	sniper	17152	13226	3	1	true
14	sniper	17152	11284	0	1	true
15	sniper	17152	4080	3	1	true
16	sniper	17152	3254	6	1	true
17	sniper	17152	3829	0	1	true
18	sniper	17152	15514	7	1	true
19	sniper	17152	7638	6	1	true
20	sniper	17152	930	3	1	true
21	sniper	17152	14575	4	1	true
22	sniper	17152	1006	2	1	true
23	sniper	17152	1338	0	1	true
24	sniper	17152	5529	5	1	true
25	sniper	17152	2966	0	1	true
26	sniper	17152	9506	5	1	true
27	sniper	17152	10978	4	1	true
28	sniper	17152	10959	4	1	true
29	sniper	17152	7151	7	1	true
30	sniper	17152	8264	1	1	true
31	sniper	17152	1905	3	1	true
32	sniper	17152	5504	0	1	true
33	sniper	17152	14491	0	1	true
34	sniper	17152	10154	4	1	true
35	sniper	17152	5663	7	1	true
36	sniper	17152	9620	6	1	true
37	sniper	17152	15700	5	1	true
38	sniper	17152	17147	6	1	true
39	sniper	17152	704	0	1	true
40	sniper	17152	1531	7	1	true
41	sniper	17152	7742	7	1	true
42	sniper	17152	12753	6	1	true
43	sniper	17152	8029	0	1	true
44	sniper	17152	15410	0	1	true
45	sniper	17152	9054	6	1	true
46	sniper	17152	6857	3	1	true
47	sniper	17152	11697	5	1	true
48	sniper	17152	871	2	1	true
49	sniper	17152	8301	2	1	true
50	sniper	17152	5721	2	1	true
51	sniper	17152	16725	3	1	true
52	sniper	17152	10424	7	1	true
53	sniper	17152	11270	2	1	true
54	sniper	17152	6660	6	1	true
55	sniper	17152	1567	7	1	true
56	sniper	17152	571	6	1	true
57	sniper	17152	14381	6	1	true
58	sniper	17152	6135	1	1	true
59	sniper	17152	14771	2	1	true
60	sniper	17152	809	4	1	true
61	sniper	17152	1134	2	1	true
62	sniper	17152	4468	5	1	true
63	sniper	17152	6670	7	1	true
64	sniper	17152	16282	0	1	true
65	sniper	17152	324	0	1	true
66	sniper	17152	4209	3	1	true
67	sniper	17152	11954	7	1	true
68	sniper	17152	3038	1	1	true
69	sniper	17152	13883	3	1	true
70	sniper	17152	2779	2	1	true
71	sniper	17152	7005	6	1	true
72	sniper	17152	1133	2	1	true
73	sniper	17152	9477	4	1	true
74	sniper	17152	8765	2	1	true
75	sniper	17152	14229	2	1	true
76	sniper	17152	13712	0	1	true
77	sniper	17152	4637	4	1	true
78	sniper	17152	4827	2	1	true
79	sniper	17152	11714	4	1	true
80	sniper	17152	12523	2	1	true
81	sniper	17152	12781	3	1	true
82	sniper	17152	549	0	1	true
83	sniper	17152	5277	2	1	true
84	sniper	17152	2688	2	1	true
85	sniper	17152	3103	3	1	true
86	sniper	17152	731	6	1	true
87	sniper	17152	12998	6	1	true
88	sniper	17152	12134	0	1	true
89	sniper	17152	9374	5	1	true
90	sniper	17152	6500	6	1	true
91	sniper	17152	8041	4	1	true
92	sniper	17152	7177	2	1	true
93	sniper	17152	15129	3	1	true
94	sniper	17152	14777	4	1	true
95	sniper	17152	12305	7	1	true
96	sniper	17152	14369	6	1	true
97	sniper	17152	14901	2	1	true
98	sniper	17152	6659	0	1	true
99	sniper	17152	12122	7	1	true
