# seed=42 mode=sniper file=corpus_xorshift.cab filesize=27343
trial	mode	filesize	off	bit	span	detected
0	sniper	27343	16237	1	1	true
1	sniper	27343	22351	3	1	true
2	sniper	27343	8393	2	1	true
3	sniper	27343	24438	7	1	true
4	sniper	27343	25158	5	1	true
5	sniper	27343	18278	1	1	true
6	sniper	27343	25797	6	1	true
7	sniper	27343	27289	3	1	true
8	sniper	27343	17967	4	1	true
9	sniper	27343	24098	4	1	true
10	sniper	27343	13363	7	1	true
11	sniper	27343	1642	3	1	true
12	sniper	27343	12641	1	1	true
13	sniper	27343	127	3	1	true
14	sniper	27343	5652	0	1	true
15	sniper	27343	25206	3	1	true
16	sniper	27343	18711	6	1	true
17	sniper	27343	6710	0	1	true
18	sniper	27343	17327	7	1	true
19	sniper	27343	11384	6	1	true
20	sniper	27343	20396	3	1	true
21	sniper	27343	9636	4	1	true
22	sniper	27343	24874	2	1	true
23	sniper	27343	9831	0	1	true
24	sniper	27343	24456	5	1	true
25	sniper	27343	17600	0	1	true
26	sniper	27343	26816	5	1	true
27	sniper	27343	9817	4	1	true
28	sniper	27343	1383	4	1	true
29	sniper	27343	20288	7	1	true
30	sniper	27343	7250	1	1	true
31	sniper	27343	4036	3	1	true
32	sniper	27343	24137	0	1	true
33	sniper	27343	16714	0	1	true
34	sniper	27343	1689	4	1	true
35	sniper	27343	21654	7	1	true
36	sniper	27343	27	6	1	true
37	sniper	27343	21139	5	1	true
38	sniper	27343	11137	6	1	true
39	sniper	27343	15029	0	1	true
40	sniper	27343	10252	7	1	true
41	sniper	27343	14818	7	1	true
42	sniper	27343	25199	6	1	true
43	sniper	27343	8970	0	1	true
44	sniper	27343	17262	0	1	true
45	sniper	27343	11271	6	1	true
46	sniper	27343	2774	3	1	true
47	sniper	27343	14651	5	1	true
48	sniper	27343	1664	2	1	true
49	sniper	27343	23570	2	1	true
50	sniper	27343	8549	2	1	true
51	sniper	27343	15642	3	1	true
52	sniper	27343	6141	7	1	true
53	sniper	27343	1893	2	1	true
54	sniper	27343	4062	6	1	true
55	sniper	27343	2092	7	1	true
56	sniper	27343	25440	6	1	true
57	sniper	27343	672	6	1	true
58	sniper	27343	4243	1	1	true
59	sniper	27343	16308	2	1	true
60	sniper	27343	9483	4	1	true
61	sniper	27343	12183	2	1	true
62	sniper	27343	15146	5	1	true
63	sniper	27343	20229	7	1	true
64	sniper	27343	18330	0	1	true
65	sniper	27343	20766	0	1	true
66	sniper	27343	1927	3	1	true
67	sniper	27343	22970	7	1	true
68	sniper	27343	5289	1	1	true
69	sniper	27343	1291	3	1	true
70	sniper	27343	22528	2	1	true
71	sniper	27343	7473	6	1	true
72	sniper	27343	19695	2	1	true
73	sniper	27343	13050	4	1	true
74	sniper	27343	15670	2	1	true
75	sniper	27343	5662	2	1	true
76	sniper	27343	1600	0	1	true
77	sniper	27343	15669	4	1	true
78	sniper	27343	20410	2	1	true
79	sniper	27343	13437	4	1	true
80	sniper	27343	20189	2	1	true
81	sniper	27343	14742	3	1	true
82	sniper	27343	13736	0	1	true
83	sniper	27343	13598	2	1	true
84	sniper	27343	12543	2	1	true
85	sniper	27343	5914	3	1	true
86	sniper	27343	2436	6	1	true
87	sniper	27343	15728	6	1	true
88	sniper	27343	6282	0	1	true
89	sniper	27343	3671	5	1	true
90	sniper	27343	17819	6	1	true
91	sniper	27343	6830	4	1	true
92	sniper	27343	5125	2	1	true
93	sniper	27343	24864	3	1	true
94	sniper	27343	15241	4	1	true
95	sniper	27343	11963	7	1	true
96	sniper	27343	26796	6	1	true
97	sniper	27343	19242	2	1	true
98	sniper	27343	6571	0	1	true
99	sniper	27343	15069	7	1	true
