# seed=42 mode=bolter file=sample.o filesize=10306
trial	mode	filesize	off	bit	span	detected
0	bolter	10306	1176	-	1	false
1	bolter	10306	5299	-	1	false
2	bolter	10306	6241	-	1	false
3	bolter	10306	6601	-	1	false
4	bolter	10306	5645	-	1	false
5	bolter	10306	1356	-	1	false
6	bolter	10306	9414	-	1	false
7	bolter	10306	957	-	1	false
8	bolter	10306	6774	-	1	false
9	bolter	10306	7465	-	1	false
10	bolter	10306	5831	-	1	false
11	bolter	10306	8323	-	1	false
12	bolter	10306	7122	-	1	false
13	bolter	10306	6770	-	1	false
14	bolter	10306	4375	-	1	false
15	bolter	10306	3249	-	1	false
16	bolter	10306	7940	-	1	false
17	bolter	10306	7072	-	1	false
18	bolter	10306	6861	-	1	false
19	bolter	10306	3388	-	1	false
20	bolter	10306	2968	-	1	false
21	bolter	10306	8953	-	1	false
22	bolter	10306	5736	-	1	false
23	bolter	10306	321	-	1	false
24	bolter	10306	3597	-	1	false
25	bolter	10306	4015	-	1	false
26	bolter	10306	7008	-	1	false
27	bolter	10306	2927	-	1	false
28	bolter	10306	5220	-	1	false
29	bolter	10306	674	-	1	false
30	bolter	10306	2782	-	1	false
31	bolter	10306	4701	-	1	false
32	bolter	10306	7048	-	1	false
33	bolter	10306	5122	-	1	false
34	bolter	10306	9491	-	1	false
35	bolter	10306	418	-	1	false
36	bolter	10306	156	-	1	false
37	bolter	10306	607	-	1	false
38	bolter	10306	1758	-	1	false
39	bolter	10306	1396	-	1	false
40	bolter	10306	2556	-	1	false
41	bolter	10306	679	-	1	false
42	bolter	10306	7387	-	1	false
43	bolter	10306	5898	-	1	false
44	bolter	10306	5678	-	1	false
45	bolter	10306	2386	-	1	false
46	bolter	10306	1302	-	1	false
47	bolter	10306	9094	-	1	false
48	bolter	10306	2009	-	1	false
49	bolter	10306	9849	-	1	false
50	bolter	10306	8506	-	1	false
51	bolter	10306	3328	-	1	false
52	bolter	10306	854	-	1	false
53	bolter	10306	1491	-	1	false
54	bolter	10306	4636	-	1	false
55	bolter	10306	9264	-	1	false
56	bolter	10306	2749	-	1	false
57	bolter	10306	5010	-	1	false
58	bolter	10306	5059	-	1	false
59	bolter	10306	4363	-	1	false
60	bolter	10306	12	-	1	false
61	bolter	10306	451	-	1	false
62	bolter	10306	4591	-	1	false
63	bolter	10306	6155	-	1	false
64	bolter	10306	4698	-	1	false
65	bolter	10306	1564	-	1	false
66	bolter	10306	8941	-	1	false
67	bolter	10306	5248	-	1	false
68	bolter	10306	8008	-	1	false
69	bolter	10306	6988	-	1	false
70	bolter	10306	461	-	1	false
71	bolter	10306	7619	-	1	false
72	bolter	10306	6104	-	1	false
73	bolter	10306	5804	-	1	false
74	bolter	10306	9656	-	1	false
75	bolter	10306	9077	-	1	false
76	bolter	10306	5701	-	1	false
77	bolter	10306	7802	-	1	false
78	bolter	10306	6738	-	1	false
79	bolter	10306	5152	-	1	false
80	bolter	10306	9449	-	1	false
81	bolter	10306	3033	-	1	false
82	bolter	10306	7092	-	1	false
83	bolter	10306	8915	-	1	false
84	bolter	10306	7083	-	1	false
85	bolter	10306	9814	-	1	false
86	bolter	10306	7291	-	1	false
87	bolter	10306	3292	-	1	false
88	bolter	10306	5912	-	1	false
89	bolter	10306	806	-	1	false
90	bolter	10306	8322	-	1	false
91	bolter	10306	1018	-	1	false
92	bolter	10306	595	-	1	false
93	bolter	10306	7471	-	1	false
94	bolter	10306	9231	-	1	false
95	bolter	10306	7695	-	1	false
96	bolter	10306	391	-	1	false
97	bolter	10306	502	-	1	false
98	bolter	10306	2541	-	1	false
99	bolter	10306	4512	-	1	false
