# seed=42 mode=shotgun file=sample.o filesize=10306
trial	mode	filesize	off	bit	span	detected
0	shotgun	10306	51	-	4096	false
1	shotgun	10306	2679	-	4096	false
2	shotgun	10306	5971	-	4096	false
3	shotgun	10306	4485	-	4096	false
4	shotgun	10306	5625	-	4096	false
5	shotgun	10306	3562	-	4096	false
6	shotgun	10306	10	-	4096	true
7	shotgun	10306	88	-	4096	false
8	shotgun	10306	6049	-	4096	false
9	shotgun	10306	3359	-	4096	false
10	shotgun	10306	5774	-	4096	false
11	shotgun	10306	3455	-	4096	false
12	shotgun	10306	2054	-	4096	false
13	shotgun	10306	5155	-	4096	false
14	shotgun	10306	3549	-	4096	false
15	shotgun	10306	4064	-	4096	false
16	shotgun	10306	3260	-	4096	false
17	shotgun	10306	1683	-	4096	false
18	shotgun	10306	5611	-	4096	false
19	shotgun	10306	3688	-	4096	false
20	shotgun	10306	5113	-	4096	false
21	shotgun	10306	1483	-	4096	false
22	shotgun	10306	3349	-	4096	false
23	shotgun	10306	4193	-	4096	false
24	shotgun	10306	4140	-	4096	false
25	shotgun	10306	903	-	4096	false
26	shotgun	10306	3568	-	4096	false
27	shotgun	10306	3594	-	4096	false
28	shotgun	10306	2295	-	4096	false
29	shotgun	10306	1444	-	4096	false
30	shotgun	10306	350	-	4096	false
31	shotgun	10306	5068	-	4096	false
32	shotgun	10306	288	-	4096	false
33	shotgun	10306	864	-	4096	false
34	shotgun	10306	4023	-	4096	false
35	shotgun	10306	5553	-	4096	false
36	shotgun	10306	2981	-	4096	false
37	shotgun	10306	3326	-	4096	false
38	shotgun	10306	2384	-	4096	false
39	shotgun	10306	1928	-	4096	false
40	shotgun	10306	4076	-	4096	false
41	shotgun	10306	59	-	4096	false
42	shotgun	10306	4674	-	4096	false
43	shotgun	10306	1696	-	4096	false
44	shotgun	10306	1852	-	4096	false
45	shotgun	10306	5215	-	4096	false
46	shotgun	10306	850	-	4096	false
47	shotgun	10306	5587	-	4096	false
48	shotgun	10306	3970	-	4096	false
49	shotgun	10306	661	-	4096	false
50	shotgun	10306	3882	-	4096	false
51	shotgun	10306	1915	-	4096	false
52	shotgun	10306	3521	-	4096	false
53	shotgun	10306	2013	-	4096	false
54	shotgun	10306	5046	-	4096	false
55	shotgun	10306	2685	-	4096	false
56	shotgun	10306	3556	-	4096	false
57	shotgun	10306	394	-	4096	false
58	shotgun	10306	2217	-	4096	false
59	shotgun	10306	359	-	4096	false
60	shotgun	10306	3738	-	4096	false
61	shotgun	10306	1233	-	4096	false
62	shotgun	10306	5418	-	4096	false
63	shotgun	10306	798	-	4096	false
64	shotgun	10306	1572	-	4096	false
65	shotgun	10306	2069	-	4096	false
66	shotgun	10306	405	-	4096	false
67	shotgun	10306	1427	-	4096	false
68	shotgun	10306	891	-	4096	false
69	shotgun	10306	373	-	4096	false
70	shotgun	10306	2594	-	4096	false
71	shotgun	10306	4111	-	4096	false
72	shotgun	10306	3941	-	4096	false
73	shotgun	10306	915	-	4096	false
74	shotgun	10306	2922	-	4096	false
75	shotgun	10306	3143	-	4096	false
76	shotgun	10306	3661	-	4096	false
77	shotgun	10306	3070	-	4096	false
78	shotgun	10306	5320	-	4096	false
79	shotgun	10306	3605	-	4096	false
80	shotgun	10306	2605	-	4096	false
81	shotgun	10306	458	-	4096	false
82	shotgun	10306	778	-	4096	false
83	shotgun	10306	2774	-	4096	false
84	shotgun	10306	2520	-	4096	false
85	shotgun	10306	5772	-	4096	false
86	shotgun	10306	4855	-	4096	false
87	shotgun	10306	5574	-	4096	false
88	shotgun	10306	5550	-	4096	false
89	shotgun	10306	5716	-	4096	false
90	shotgun	10306	3876	-	4096	false
91	shotgun	10306	133	-	4096	false
92	shotgun	10306	4756	-	4096	false
93	shotgun	10306	1433	-	4096	false
94	shotgun	10306	2529	-	4096	false
95	shotgun	10306	4356	-	4096	false
96	shotgun	10306	3314	-	4096	false
97	shotgun	10306	5792	-	4096	false
98	shotgun	10306	5139	-	4096	false
99	shotgun	10306	3504	-	4096	false
