# seed=42 mode=sniper file=sample.cpr filesize=76
trial	mode	filesize	off	bit	span	detected
0	sniper	76	66	1	1	true
1	sniper	76	31	3	1	false
2	sniper	76	37	2	1	false
3	sniper	76	32	7	1	true
4	sniper	76	24	5	1	false
5	sniper	76	41	1	1	true
6	sniper	76	56	6	1	true
7	sniper	76	9	3	1	false
8	sniper	76	30	4	1	false
9	sniper	76	55	4	1	false
10	sniper	76	68	7	1	false
11	sniper	76	8	3	1	false
12	sniper	76	47	1	1	false
13	sniper	76	74	3	1	true
14	sniper	76	32	0	1	false
15	sniper	76	68	3	1	false
16	sniper	76	6	6	1	true
17	sniper	76	45	0	1	false
18	sniper	76	62	7	1	false
19	sniper	76	6	6	1	true
20	sniper	76	14	3	1	false
21	sniper	76	43	4	1	true
22	sniper	76	14	2	1	false
23	sniper	76	58	0	1	true
24	sniper	76	57	5	1	true
25	sniper	76	74	0	1	true
26	sniper	76	18	5	1	true
27	sniper	76	6	4	1	true
28	sniper	76	67	4	1	true
29	sniper	76	71	7	1	false
30	sniper	76	64	1	1	false
31	sniper	76	17	3	1	true
32	sniper	76	72	0	1	false
33	sniper	76	43	0	1	true
34	sniper	76	10	4	1	false
35	sniper	76	43	7	1	true
36	sniper	76	12	6	1	false
37	sniper	76	60	5	1	false
38	sniper	76	19	6	1	true
39	sniper	76	4	0	1	true
40	sniper	76	71	7	1	false
41	sniper	76	14	7	1	false
42	sniper	76	21	6	1	false
43	sniper	76	29	0	1	false
44	sniper	76	26	0	1	true
45	sniper	76	62	6	1	false
46	sniper	76	29	3	1	false
47	sniper	76	37	5	1	false
48	sniper	76	51	2	1	true
49	sniper	76	49	2	1	true
50	sniper	76	17	2	1	true
51	sniper	76	53	3	1	false
52	sniper	76	32	7	1	true
53	sniper	76	22	2	1	false
54	sniper	76	68	6	1	false
55	sniper	76	43	7	1	true
56	sniper	76	43	6	1	true
57	sniper	76	5	6	1	true
58	sniper	76	11	1	1	false
59	sniper	76	7	2	1	true
60	sniper	76	49	4	1	true
61	sniper	76	58	2	1	true
62	sniper	76	44	5	1	false
63	sniper	76	14	7	1	false
64	sniper	76	14	0	1	false
65	sniper	76	20	0	1	false
66	sniper	76	33	3	1	true
67	sniper	76	74	7	1	true
68	sniper	76	66	1	1	true
69	sniper	76	23	3	1	false
70	sniper	76	19	2	1	true
71	sniper	76	73	6	1	true
72	sniper	76	41	2	1	true
73	sniper	76	53	4	1	false
74	sniper	76	69	2	1	false
75	sniper	76	73	2	1	true
76	sniper	76	56	0	1	false
77	sniper	76	69	4	1	false
78	sniper	76	3	2	1	true
79	sniper	76	54	4	1	false
80	sniper	76	7	2	1	true
81	sniper	76	69	3	1	false
82	sniper	76	45	0	1	false
83	sniper	76	25	2	1	true
84	sniper	76	4	2	1	false
85	sniper	76	71	3	1	false
86	sniper	76	15	6	1	false
87	sniper	76	46	6	1	false
88	sniper	76	30	0	1	false
89	sniper	76	66	5	1	true
90	sniper	76	68	6	1	false
91	sniper	76	49	4	1	true
92	sniper	76	33	2	1	true
93	sniper	76	25	3	1	true
94	sniper	76	41	4	1	true
95	sniper	76	73	7	1	true
96	sniper	76	41	6	1	true
97	sniper	76	33	2	1	true
98	sniper	76	43	0	1	true
99	sniper	76	54	7	1	false
