# seed=42 mode=sniper file=sample.cpt filesize=19731
trial	mode	filesize	off	bit	span	detected
0	sniper	19731	863	1	1	true
1	sniper	19731	771	3	1	true
2	sniper	19731	6402	2	1	true
3	sniper	19731	18999	7	1	true
4	sniper	19731	4784	5	1	true
5	sniper	19731	11083	1	1	true
6	sniper	19731	14337	6	1	true
7	sniper	19731	1745	3	1	true
8	sniper	19731	5425	4	1	true
9	sniper	19731	2330	4	1	true
10	sniper	19731	8097	7	1	true
11	sniper	19731	4710	3	1	true
12	sniper	19731	956	1	1	true
13	sniper	19731	13620	3	1	true
14	sniper	19731	6865	0	1	true
15	sniper	19731	18480	3	1	true
16	sniper	19731	11476	6	1	true
17	sniper	19731	12556	0	1	true
18	sniper	19731	3276	7	1	true
19	sniper	19731	9239	6	1	true
20	sniper	19731	7934	3	1	true
21	sniper	19731	2154	4	1	true
22	sniper	19731	3838	2	1	true
23	sniper	19731	4724	0	1	true
24	sniper	19731	14658	5	1	true
25	sniper	19731	2376	0	1	true
26	sniper	19731	5279	5	1	true
27	sniper	19731	16414	4	1	true
28	sniper	19731	6798	4	1	true
29	sniper	19731	14506	7	1	true
30	sniper	19731	9552	1	1	true
31	sniper	19731	1133	3	1	true
32	sniper	19731	7186	0	1	true
33	sniper	19731	14020	0	1	true
34	sniper	19731	18007	4	1	true
35	sniper	19731	10514	7	1	true
36	sniper	19731	3699	6	1	true
37	sniper	19731	13463	5	1	true
38	sniper	19731	16220	6	1	true
39	sniper	19731	1890	0	1	true
40	sniper	19731	11322	7	1	true
41	sniper	19731	3905	7	1	true
42	sniper	19731	11386	6	1	true
43	sniper	19731	10419	0	1	true
44	sniper	19731	3950	0	1	true
45	sniper	19731	6332	6	1	true
46	sniper	19731	2772	3	1	true
47	sniper	19731	2997	5	1	true
48	sniper	19731	6404	2	1	true
49	sniper	19731	16886	2	1	true
50	sniper	19731	2173	2	1	true
51	sniper	19731	9968	3	1	true
52	sniper	19731	3197	7	1	true
53	sniper	19731	13234	2	1	true
54	sniper	19731	2092	6	1	true
55	sniper	19731	8673	7	1	true
56	sniper	19731	6578	6	1	true
57	sniper	19731	19597	6	1	true
58	sniper	19731	4057	1	1	true
59	sniper	19731	18579	2	1	true
60	sniper	19731	18313	4	1	true
61	sniper	19731	5295	2	1	true
62	sniper	19731	15377	5	1	true
63	sniper	19731	19327	7	1	true
64	sniper	19731	14702	0	1	true
65	sniper	19731	6267	0	1	true
66	sniper	19731	2118	3	1	true
67	sniper	19731	13600	7	1	true
68	sniper	19731	3836	1	1	true
69	sniper	19731	15627	3	1	true
70	sniper	19731	12736	2	1	true
71	sniper	19731	7577	6	1	true
72	sniper	19731	3518	2	1	true
73	sniper	19731	9197	4	1	true
74	sniper	19731	7051	2	1	true
75	sniper	19731	16507	2	1	true
76	sniper	19731	4787	0	1	true
77	sniper	19731	2053	4	1	true
78	sniper	19731	6900	2	1	true
79	sniper	19731	16140	4	1	true
80	sniper	19731	13835	2	1	true
81	sniper	19731	13143	3	1	true
82	sniper	19731	10185	0	1	true
83	sniper	19731	5793	2	1	true
84	sniper	19731	10767	2	1	true
85	sniper	19731	15532	3	1	true
86	sniper	19731	17138	6	1	true
87	sniper	19731	13877	6	1	true
88	sniper	19731	8562	0	1	true
89	sniper	19731	9646	5	1	true
90	sniper	19731	6113	6	1	true
91	sniper	19731	13190	4	1	true
92	sniper	19731	19483	2	1	true
93	sniper	19731	10880	3	1	true
94	sniper	19731	7341	4	1	true
95	sniper	19731	12563	7	1	true
96	sniper	19731	16002	6	1	true
97	sniper	19731	2169	2	1	true
98	sniper	19731	13578	0	1	true
99	sniper	19731	16906	7	1	true
