# seed=42 mode=shotgun file=canon_eos_40d_sraw2.cr2 filesize=5805950
trial	mode	filesize	off	bit	span	detected
0	shotgun	5805950	4423561	-	4096	false
1	shotgun	5805950	2016309	-	4096	false
2	shotgun	5805950	578024	-	4096	false
3	shotgun	5805950	3361561	-	4096	false
4	shotgun	5805950	399150	-	4096	false
5	shotgun	5805950	485874	-	4096	false
6	shotgun	5805950	1134987	-	4096	false
7	shotgun	5805950	4104305	-	4096	false
8	shotgun	5805950	5686816	-	4096	false
9	shotgun	5805950	2238542	-	4096	false
10	shotgun	5805950	543393	-	4096	false
11	shotgun	5805950	1738005	-	4096	false
12	shotgun	5805950	3002649	-	4096	false
13	shotgun	5805950	3455984	-	4096	false
14	shotgun	5805950	4010433	-	4096	false
15	shotgun	5805950	4546352	-	4096	false
16	shotgun	5805950	3863341	-	4096	false
17	shotgun	5805950	3897583	-	4096	false
18	shotgun	5805950	2651316	-	4096	false
19	shotgun	5805950	3758942	-	4096	false
20	shotgun	5805950	4298003	-	4096	false
21	shotgun	5805950	4986762	-	4096	false
22	shotgun	5805950	1845825	-	4096	false
23	shotgun	5805950	4592827	-	4096	false
24	shotgun	5805950	183371	-	4096	false
25	shotgun	5805950	530256	-	4096	false
26	shotgun	5805950	2129181	-	4096	false
27	shotgun	5805950	188563	-	4096	false
28	shotgun	5805950	4282656	-	4096	false
29	shotgun	5805950	4562936	-	4096	false
30	shotgun	5805950	1429369	-	4096	false
31	shotgun	5805950	5770031	-	4096	false
32	shotgun	5805950	985428	-	4096	false
33	shotgun	5805950	2795341	-	4096	false
34	shotgun	5805950	3618948	-	4096	false
35	shotgun	5805950	1792327	-	4096	false
36	shotgun	5805950	805211	-	4096	false
37	shotgun	5805950	962175	-	4096	false
38	shotgun	5805950	2794099	-	4096	false
39	shotgun	5805950	4556938	-	4096	false
40	shotgun	5805950	1867721	-	4096	false
41	shotgun	5805950	1014659	-	4096	false
42	shotgun	5805950	3212382	-	4096	false
43	shotgun	5805950	5599603	-	4096	false
44	shotgun	5805950	438488	-	4096	false
45	shotgun	5805950	4669129	-	4096	false
46	shotgun	5805950	2755948	-	4096	false
47	shotgun	5805950	3331341	-	4096	false
48	shotgun	5805950	3612676	-	4096	false
49	shotgun	5805950	2276842	-	4096	false
50	shotgun	5805950	1021980	-	4096	false
51	shotgun	5805950	851675	-	4096	false
52	shotgun	5805950	3007976	-	4096	false
53	shotgun	5805950	5717218	-	4096	false
54	shotgun	5805950	1361995	-	4096	false
55	shotgun	5805950	1526505	-	4096	false
56	shotgun	5805950	5117790	-	4096	false
57	shotgun	5805950	5246272	-	4096	false
58	shotgun	5805950	337767	-	4096	false
59	shotgun	5805950	4394590	-	4096	false
60	shotgun	5805950	3655485	-	4096	false
61	shotgun	5805950	1758255	-	4096	false
62	shotgun	5805950	3926828	-	4096	false
63	shotgun	5805950	250927	-	4096	false
64	shotgun	5805950	2882966	-	4096	false
65	shotgun	5805950	2134982	-	4096	false
66	shotgun	5805950	5750163	-	4096	false
67	shotgun	5805950	1890097	-	4096	false
68	shotgun	5805950	265884	-	4096	false
69	shotgun	5805950	3691359	-	4096	false
70	shotgun	5805950	2666344	-	4096	false
71	shotgun	5805950	565312	-	4096	false
72	shotgun	5805950	2124087	-	4096	false
73	shotgun	5805950	549542	-	4096	false
74	shotgun	5805950	3944087	-	4096	false
75	shotgun	5805950	2478709	-	4096	false
76	shotgun	5805950	5566538	-	4096	false
77	shotgun	5805950	1066347	-	4096	false
78	shotgun	5805950	5620039	-	4096	false
79	shotgun	5805950	5559490	-	4096	false
80	shotgun	5805950	1458770	-	4096	false
81	shotgun	5805950	2729224	-	4096	false
82	shotgun	5805950	1185973	-	4096	false
83	shotgun	5805950	4667506	-	4096	false
84	shotgun	5805950	3518176	-	4096	false
85	shotgun	5805950	5587348	-	4096	false
86	shotgun	5805950	1116665	-	4096	false
87	shotgun	5805950	964452	-	4096	false
88	shotgun	5805950	5269473	-	4096	false
89	shotgun	5805950	3356803	-	4096	false
90	shotgun	5805950	1835866	-	4096	false
91	shotgun	5805950	4173419	-	4096	false
92	shotgun	5805950	4437671	-	4096	false
93	shotgun	5805950	3106160	-	4096	false
94	shotgun	5805950	5621149	-	4096	false
95	shotgun	5805950	1848168	-	4096	false
96	shotgun	5805950	3868356	-	4096	false
97	shotgun	5805950	3994458	-	4096	false
98	shotgun	5805950	2214968	-	4096	false
99	shotgun	5805950	4744967	-	4096	false
