# seed=42 mode=sniper file=canon_eos_40d_sraw2.cr2 filesize=5805950
trial	mode	filesize	off	bit	span	detected
0	sniper	5805950	2118076	1	1	false
1	sniper	5805950	2871985	3	1	false
2	sniper	5805950	5492407	2	1	false
3	sniper	5805950	4930500	7	1	false
4	sniper	5805950	1176654	5	1	false
5	sniper	5805950	3409905	1	1	false
6	sniper	5805950	2074368	6	1	false
7	sniper	5805950	3657723	3	1	false
8	sniper	5805950	602858	4	1	false
9	sniper	5805950	2238781	4	1	false
10	sniper	5805950	2167516	7	1	false
11	sniper	5805950	1063470	3	1	false
12	sniper	5805950	1957443	1	1	false
13	sniper	5805950	630970	3	1	false
14	sniper	5805950	3459604	0	1	false
15	sniper	5805950	322666	3	1	false
16	sniper	5805950	149900	6	1	false
17	sniper	5805950	4275985	0	1	false
18	sniper	5805950	5513488	7	1	false
19	sniper	5805950	2306042	6	1	false
20	sniper	5805950	1768830	3	1	false
21	sniper	5805950	1764155	4	1	false
22	sniper	5805950	5180954	2	1	false
23	sniper	5805950	5602440	0	1	false
24	sniper	5805950	3256951	5	1	false
25	sniper	5805950	3974396	0	1	false
26	sniper	5805950	1905544	5	1	false
27	sniper	5805950	4393472	4	1	false
28	sniper	5805950	3030571	4	1	false
29	sniper	5805950	3533193	7	1	false
30	sniper	5805950	4271022	1	1	false
31	sniper	5805950	3286791	3	1	false
32	sniper	5805950	4123092	0	1	false
33	sniper	5805950	204443	0	1	false
34	sniper	5805950	2883692	4	1	false
35	sniper	5805950	1815681	7	1	false
36	sniper	5805950	4907366	6	1	false
37	sniper	5805950	5565842	5	1	false
38	sniper	5805950	4596863	6	1	false
39	sniper	5805950	3252350	0	1	false
40	sniper	5805950	3647089	7	1	false
41	sniper	5805950	2804122	7	1	false
42	sniper	5805950	520063	6	1	false
43	sniper	5805950	2478833	0	1	false
44	sniper	5805950	3789478	0	1	false
45	sniper	5805950	2154254	6	1	false
46	sniper	5805950	2674131	3	1	false
47	sniper	5805950	1393307	5	1	false
48	sniper	5805950	1399765	2	1	false
49	sniper	5805950	910111	2	1	false
50	sniper	5805950	2391157	2	1	false
51	sniper	5805950	4794423	3	1	false
52	sniper	5805950	242594	7	1	false
53	sniper	5805950	4901034	2	1	false
54	sniper	5805950	3103950	6	1	false
55	sniper	5805950	5224505	7	1	false
56	sniper	5805950	2300371	6	1	false
57	sniper	5805950	3505043	6	1	false
58	sniper	5805950	3823665	1	1	false
59	sniper	5805950	4397609	2	1	false
60	sniper	5805950	2394027	4	1	false
61	sniper	5805950	653914	2	1	false
62	sniper	5805950	1025042	5	1	false
63	sniper	5805950	2751198	7	1	false
64	sniper	5805950	1500296	0	1	false
65	sniper	5805950	421018	0	1	false
66	sniper	5805950	1762867	3	1	false
67	sniper	5805950	5612648	7	1	false
68	sniper	5805950	4197920	1	1	false
69	sniper	5805950	4619545	3	1	false
70	sniper	5805950	1495519	2	1	false
71	sniper	5805950	5718829	6	1	false
72	sniper	5805950	2291795	2	1	false
73	sniper	5805950	1391247	4	1	false
74	sniper	5805950	1682175	2	1	false
75	sniper	5805950	1876551	2	1	false
76	sniper	5805950	1241446	0	1	false
77	sniper	5805950	3203671	4	1	false
78	sniper	5805950	442461	2	1	false
79	sniper	5805950	3177604	4	1	false
80	sniper	5805950	4713251	2	1	false
81	sniper	5805950	150021	3	1	false
82	sniper	5805950	5096121	0	1	false
83	sniper	5805950	2665069	2	1	false
84	sniper	5805950	2885112	2	1	false
85	sniper	5805950	1050351	3	1	false
86	sniper	5805950	4521229	6	1	false
87	sniper	5805950	4190868	6	1	false
88	sniper	5805950	1959600	0	1	false
89	sniper	5805950	2257462	5	1	false
90	sniper	5805950	5692598	6	1	false
91	sniper	5805950	231377	4	1	false
92	sniper	5805950	230649	2	1	false
93	sniper	5805950	1946131	3	1	false
94	sniper	5805950	333323	4	1	false
95	sniper	5805950	2945621	7	1	false
96	sniper	5805950	5237203	6	1	false
97	sniper	5805950	2365573	2	1	false
98	sniper	5805950	1311255	0	1	false
99	sniper	5805950	235826	7	1	false
