# seed=42 mode=bolter file=sample.CR3 filesize=15714631
trial	mode	filesize	off	bit	span	detected
0	bolter	15714631	2224678	-	1	false
1	bolter	15714631	4203275	-	1	false
2	bolter	15714631	7456453	-	1	false
3	bolter	15714631	11581323	-	1	false
4	bolter	15714631	4677635	-	1	false
5	bolter	15714631	13004905	-	1	false
6	bolter	15714631	8754173	-	1	false
7	bolter	15714631	6325403	-	1	false
8	bolter	15714631	3672243	-	1	false
9	bolter	15714631	5070661	-	1	false
10	bolter	15714631	12803922	-	1	false
11	bolter	15714631	2466815	-	1	false
12	bolter	15714631	12293682	-	1	false
13	bolter	15714631	10322199	-	1	false
14	bolter	15714631	7020709	-	1	false
15	bolter	15714631	15554370	-	1	false
16	bolter	15714631	2487706	-	1	false
17	bolter	15714631	13415298	-	1	false
18	bolter	15714631	9287263	-	1	false
19	bolter	15714631	7324322	-	1	false
20	bolter	15714631	12086722	-	1	false
21	bolter	15714631	11317254	-	1	false
22	bolter	15714631	14945878	-	1	false
23	bolter	15714631	4806500	-	1	false
24	bolter	15714631	2749813	-	1	false
25	bolter	15714631	15061983	-	1	false
26	bolter	15714631	4508620	-	1	false
27	bolter	15714631	1509349	-	1	false
28	bolter	15714631	1466802	-	1	false
29	bolter	15714631	1414946	-	1	false
30	bolter	15714631	5774531	-	1	false
31	bolter	15714631	11038840	-	1	false
32	bolter	15714631	12093483	-	1	false
33	bolter	15714631	5940141	-	1	false
34	bolter	15714631	14141214	-	1	false
35	bolter	15714631	5068798	-	1	false
36	bolter	15714631	5920198	-	1	false
37	bolter	15714631	7726127	-	1	false
38	bolter	15714631	12525356	-	1	false
39	bolter	15714631	15592053	-	1	false
40	bolter	15714631	14419231	-	1	false
41	bolter	15714631	2835189	-	1	false
42	bolter	15714631	2385421	-	1	false
43	bolter	15714631	2286747	-	1	false
44	bolter	15714631	7194806	-	1	false
45	bolter	15714631	7111445	-	1	false
46	bolter	15714631	4466510	-	1	false
47	bolter	15714631	4210897	-	1	false
48	bolter	15714631	11569015	-	1	false
49	bolter	15714631	3725160	-	1	false
50	bolter	15714631	5077399	-	1	false
51	bolter	15714631	6251172	-	1	false
52	bolter	15714631	3008547	-	1	false
53	bolter	15714631	4935773	-	1	false
54	bolter	15714631	7339223	-	1	false
55	bolter	15714631	257692	-	1	false
56	bolter	15714631	962742	-	1	false
57	bolter	15714631	10304378	-	1	false
58	bolter	15714631	7592472	-	1	false
59	bolter	15714631	14277660	-	1	false
60	bolter	15714631	800082	-	1	false
61	bolter	15714631	11028835	-	1	false
62	bolter	15714631	8867660	-	1	false
63	bolter	15714631	2723563	-	1	false
64	bolter	15714631	14834668	-	1	false
65	bolter	15714631	10770821	-	1	false
66	bolter	15714631	7359527	-	1	false
67	bolter	15714631	4439178	-	1	false
68	bolter	15714631	15052356	-	1	false
69	bolter	15714631	14758217	-	1	false
70	bolter	15714631	2447472	-	1	false
71	bolter	15714631	2489164	-	1	false
72	bolter	15714631	5239049	-	1	false
73	bolter	15714631	12336389	-	1	false
74	bolter	15714631	14274091	-	1	false
75	bolter	15714631	3049947	-	1	false
76	bolter	15714631	10638419	-	1	false
77	bolter	15714631	11917558	-	1	false
78	bolter	15714631	1816312	-	1	false
79	bolter	15714631	285433	-	1	false
80	bolter	15714631	4053799	-	1	false
81	bolter	15714631	10873811	-	1	false
82	bolter	15714631	11876981	-	1	false
83	bolter	15714631	10847691	-	1	false
84	bolter	15714631	15494949	-	1	false
85	bolter	15714631	14992024	-	1	false
86	bolter	15714631	5831294	-	1	false
87	bolter	15714631	11250088	-	1	false
88	bolter	15714631	3960582	-	1	false
89	bolter	15714631	8396216	-	1	false
90	bolter	15714631	12790803	-	1	false
91	bolter	15714631	76474	-	1	false
92	bolter	15714631	10418906	-	1	false
93	bolter	15714631	8446335	-	1	false
94	bolter	15714631	8537866	-	1	false
95	bolter	15714631	2634670	-	1	false
96	bolter	15714631	14585880	-	1	false
97	bolter	15714631	6681562	-	1	false
98	bolter	15714631	11782266	-	1	false
99	bolter	15714631	11268606	-	1	false
