# seed=42 mode=sniper file=sample.CR3 filesize=15714631
trial	mode	filesize	off	bit	span	detected
0	sniper	15714631	2224678	1	1	false
1	sniper	15714631	7456453	3	1	false
2	sniper	15714631	4677635	2	1	false
3	sniper	15714631	8754173	7	1	false
4	sniper	15714631	3672243	5	1	false
5	sniper	15714631	12803922	1	1	false
6	sniper	15714631	12293682	6	1	false
7	sniper	15714631	7020709	3	1	false
8	sniper	15714631	2487706	4	1	false
9	sniper	15714631	9287263	4	1	false
10	sniper	15714631	12086722	7	1	false
11	sniper	15714631	14945878	3	1	false
12	sniper	15714631	2749813	1	1	false
13	sniper	15714631	4508620	3	1	false
14	sniper	15714631	1466802	0	1	false
15	sniper	15714631	5774531	3	1	false
16	sniper	15714631	12093483	6	1	false
17	sniper	15714631	14141214	0	1	false
18	sniper	15714631	5920198	7	1	false
19	sniper	15714631	12525356	6	1	false
20	sniper	15714631	14419231	3	1	false
21	sniper	15714631	2385421	4	1	false
22	sniper	15714631	7194806	2	1	false
23	sniper	15714631	4466510	0	1	false
24	sniper	15714631	11569015	5	1	false
25	sniper	15714631	5077399	0	1	false
26	sniper	15714631	3008547	5	1	false
27	sniper	15714631	7339223	4	1	false
28	sniper	15714631	962742	4	1	false
29	sniper	15714631	7592472	7	1	false
30	sniper	15714631	800082	1	1	false
31	sniper	15714631	8867660	3	1	false
32	sniper	15714631	14834668	0	1	false
33	sniper	15714631	7359527	0	1	false
34	sniper	15714631	15052356	4	1	false
35	sniper	15714631	2447472	7	1	false
36	sniper	15714631	5239049	6	1	false
37	sniper	15714631	14274091	5	1	false
38	sniper	15714631	10638419	6	1	false
39	sniper	15714631	1816312	0	1	false
40	sniper	15714631	4053799	7	1	false
41	sniper	15714631	11876981	7	1	false
42	sniper	15714631	15494949	6	1	false
43	sniper	15714631	5831294	0	1	false
44	sniper	15714631	3960582	0	1	false
45	sniper	15714631	12790803	6	1	false
46	sniper	15714631	10418906	3	1	false
47	sniper	15714631	8537866	5	1	false
48	sniper	15714631	14585880	2	1	false
49	sniper	15714631	11782266	2	1	false
50	sniper	15714631	12256386	2	1	false
51	sniper	15714631	4429813	3	1	false
52	sniper	15714631	2813210	7	1	false
53	sniper	15714631	990457	2	1	false
54	sniper	15714631	5074350	6	1	false
55	sniper	15714631	12272987	7	1	false
56	sniper	15714631	10697987	6	1	false
57	sniper	15714631	11174791	6	1	false
58	sniper	15714631	12060702	1	1	false
59	sniper	15714631	230376	2	1	false
60	sniper	15714631	1633232	4	1	false
61	sniper	15714631	8034079	2	1	false
62	sniper	15714631	9541137	5	1	false
63	sniper	15714631	9414020	7	1	false
64	sniper	15714631	11108869	0	1	false
65	sniper	15714631	13361002	0	1	false
66	sniper	15714631	13931531	3	1	false
67	sniper	15714631	14374874	7	1	false
68	sniper	15714631	4229495	1	1	false
69	sniper	15714631	14924411	3	1	false
70	sniper	15714631	6540674	2	1	false
71	sniper	15714631	12381651	6	1	false
72	sniper	15714631	13539085	2	1	false
73	sniper	15714631	1572876	4	1	false
74	sniper	15714631	7284094	2	1	false
75	sniper	15714631	12748706	2	1	false
76	sniper	15714631	6618284	0	1	false
77	sniper	15714631	8859567	4	1	false
78	sniper	15714631	10822354	2	1	false
79	sniper	15714631	13353466	4	1	false
80	sniper	15714631	12714682	2	1	false
81	sniper	15714631	6962897	3	1	false
82	sniper	15714631	1881837	0	1	false
83	sniper	15714631	11909032	2	1	false
84	sniper	15714631	3527428	2	1	false
85	sniper	15714631	5720371	3	1	false
86	sniper	15714631	675154	6	1	false
87	sniper	15714631	2058537	6	1	false
88	sniper	15714631	352458	0	1	false
89	sniper	15714631	6081135	5	1	false
90	sniper	15714631	2446739	6	1	false
91	sniper	15714631	8136731	4	1	false
92	sniper	15714631	10074828	2	1	false
93	sniper	15714631	1827652	3	1	false
94	sniper	15714631	15383236	4	1	false
95	sniper	15714631	631661	7	1	false
96	sniper	15714631	8954274	6	1	false
97	sniper	15714631	12605937	2	1	false
98	sniper	15714631	14808003	0	1	false
99	sniper	15714631	7841072	7	1	false
