# seed=42 mode=sniper file=sample.csv filesize=70
trial	mode	filesize	off	bit	span	detected
0	sniper	70	46	1	1	false
1	sniper	70	45	3	1	false
2	sniper	70	17	2	1	false
3	sniper	70	50	7	1	false
4	sniper	70	4	5	1	false
5	sniper	70	55	1	1	false
6	sniper	70	28	6	1	false
7	sniper	70	43	3	1	false
8	sniper	70	38	4	1	false
9	sniper	70	41	4	1	false
10	sniper	70	26	7	1	false
11	sniper	70	10	3	1	false
12	sniper	70	53	1	1	false
13	sniper	70	20	3	1	false
14	sniper	70	54	0	1	false
15	sniper	70	36	3	1	false
16	sniper	70	30	6	1	false
17	sniper	70	65	0	1	false
18	sniper	70	18	7	1	false
19	sniper	70	2	6	1	false
20	sniper	70	60	3	1	false
21	sniper	70	45	4	1	false
22	sniper	70	54	2	1	false
23	sniper	70	30	0	1	false
24	sniper	70	51	5	1	false
25	sniper	70	6	0	1	false
26	sniper	70	4	5	1	false
27	sniper	70	12	4	1	false
28	sniper	70	21	4	1	false
29	sniper	70	33	7	1	false
30	sniper	70	22	1	1	false
31	sniper	70	1	3	1	false
32	sniper	70	32	0	1	false
33	sniper	70	3	0	1	false
34	sniper	70	62	4	1	false
35	sniper	70	51	7	1	false
36	sniper	70	66	6	1	false
37	sniper	70	2	5	1	false
38	sniper	70	63	6	1	false
39	sniper	70	0	0	1	false
40	sniper	70	29	7	1	false
41	sniper	70	2	7	1	false
42	sniper	70	13	6	1	false
43	sniper	70	23	0	1	false
44	sniper	70	18	0	1	false
45	sniper	70	54	6	1	false
46	sniper	70	51	3	1	false
47	sniper	70	57	5	1	false
48	sniper	70	35	2	1	false
49	sniper	70	41	2	1	false
50	sniper	70	57	2	1	false
51	sniper	70	43	3	1	false
52	sniper	70	54	7	1	false
53	sniper	70	64	2	1	false
54	sniper	70	60	6	1	false
55	sniper	70	55	7	1	false
56	sniper	70	51	6	1	false
57	sniper	70	33	6	1	false
58	sniper	70	15	1	1	false
59	sniper	70	59	2	1	false
60	sniper	70	7	4	1	false
61	sniper	70	24	2	1	false
62	sniper	70	42	5	1	false
63	sniper	70	48	7	1	false
64	sniper	70	66	0	1	false
65	sniper	70	8	0	1	false
66	sniper	70	7	3	1	false
67	sniper	70	8	7	1	false
68	sniper	70	20	1	1	false
69	sniper	70	35	3	1	false
70	sniper	70	29	2	1	false
71	sniper	70	29	6	1	false
72	sniper	70	5	2	1	false
73	sniper	70	57	4	1	false
74	sniper	70	65	2	1	false
75	sniper	70	61	2	1	false
76	sniper	70	36	0	1	false
77	sniper	70	1	4	1	false
78	sniper	70	21	2	1	false
79	sniper	70	34	4	1	false
80	sniper	70	21	2	1	false
81	sniper	70	61	3	1	false
82	sniper	70	51	0	1	false
83	sniper	70	29	2	1	false
84	sniper	70	22	2	1	false
85	sniper	70	51	3	1	false
86	sniper	70	39	6	1	false
87	sniper	70	38	6	1	false
88	sniper	70	20	0	1	false
89	sniper	70	32	5	1	false
90	sniper	70	58	6	1	false
91	sniper	70	7	4	1	false
92	sniper	70	29	2	1	false
93	sniper	70	1	3	1	false
94	sniper	70	63	4	1	false
95	sniper	70	31	7	1	false
96	sniper	70	53	6	1	false
97	sniper	70	33	2	1	false
98	sniper	70	55	0	1	false
99	sniper	70	66	7	1	false
