# seed=42 mode=sniper file=sample.dbf filesize=21394
trial	mode	filesize	off	bit	span	detected
0	sniper	21394	3448	1	1	false
1	sniper	21394	15801	3	1	false
2	sniper	21394	14553	2	1	false
3	sniper	21394	3718	7	1	false
4	sniper	21394	14274	5	1	false
5	sniper	21394	13683	1	1	false
6	sniper	21394	17954	6	1	false
7	sniper	21394	12397	3	1	false
8	sniper	21394	19334	4	1	false
9	sniper	21394	1537	4	1	false
10	sniper	21394	10936	7	1	false
11	sniper	21394	18818	3	1	false
12	sniper	21394	351	1	1	false
13	sniper	21394	9992	3	1	false
14	sniper	21394	9836	0	1	false
15	sniper	21394	11126	3	1	false
16	sniper	21394	4072	6	1	false
17	sniper	21394	17183	0	1	false
18	sniper	21394	11804	7	1	false
19	sniper	21394	14294	6	1	false
20	sniper	21394	8222	3	1	false
21	sniper	21394	21019	4	1	false
22	sniper	21394	12326	2	1	false
23	sniper	21394	21034	0	1	false
24	sniper	21394	18525	5	1	false
25	sniper	21394	11854	0	1	false
26	sniper	21394	18220	5	1	false
27	sniper	21394	11786	4	1	false
28	sniper	21394	21081	4	1	false
29	sniper	21394	15005	7	1	false
30	sniper	21394	10742	1	1	false
31	sniper	21394	16091	3	1	false
32	sniper	21394	9420	0	1	false
33	sniper	21394	3007	0	1	false
34	sniper	21394	5026	4	1	false
35	sniper	21394	20753	7	1	false
36	sniper	21394	17112	6	1	false
37	sniper	21394	1048	5	1	false
38	sniper	21394	1919	6	1	false
39	sniper	21394	9694	0	1	false
40	sniper	21394	6683	7	1	false
41	sniper	21394	10350	7	1	false
42	sniper	21394	14613	6	1	false
43	sniper	21394	19181	0	1	false
44	sniper	21394	2724	0	1	false
45	sniper	21394	21228	6	1	false
46	sniper	21394	7781	3	1	false
47	sniper	21394	2811	5	1	false
48	sniper	21394	14035	2	1	false
49	sniper	21394	14527	2	1	false
50	sniper	21394	15027	2	1	false
51	sniper	21394	12365	3	1	false
52	sniper	21394	9152	7	1	false
53	sniper	21394	136	2	1	false
54	sniper	21394	17320	6	1	false
55	sniper	21394	13495	7	1	false
56	sniper	21394	3273	6	1	false
57	sniper	21394	16725	6	1	false
58	sniper	21394	19999	1	1	false
59	sniper	21394	10191	2	1	false
60	sniper	21394	2519	4	1	false
61	sniper	21394	8798	2	1	false
62	sniper	21394	13800	5	1	false
63	sniper	21394	7310	7	1	false
64	sniper	21394	1344	0	1	false
65	sniper	21394	10432	0	1	false
66	sniper	21394	18083	3	1	false
67	sniper	21394	10676	7	1	false
68	sniper	21394	20472	1	1	false
69	sniper	21394	17237	3	1	false
70	sniper	21394	10735	2	1	false
71	sniper	21394	1175	6	1	false
72	sniper	21394	7793	2	1	false
73	sniper	21394	13011	4	1	false
74	sniper	21394	19411	2	1	false
75	sniper	21394	18237	2	1	false
76	sniper	21394	968	0	1	false
77	sniper	21394	6149	4	1	false
78	sniper	21394	20979	2	1	false
79	sniper	21394	15482	4	1	false
80	sniper	21394	14447	2	1	false
81	sniper	21394	12799	3	1	false
82	sniper	21394	1451	0	1	false
83	sniper	21394	21039	2	1	false
84	sniper	21394	11480	2	1	false
85	sniper	21394	12649	3	1	false
86	sniper	21394	2029	6	1	false
87	sniper	21394	8102	6	1	false
88	sniper	21394	600	0	1	false
89	sniper	21394	4930	5	1	false
90	sniper	21394	4514	6	1	false
91	sniper	21394	12931	4	1	false
92	sniper	21394	11927	2	1	false
93	sniper	21394	18455	3	1	false
94	sniper	21394	8021	4	1	false
95	sniper	21394	12727	7	1	false
96	sniper	21394	7527	6	1	false
97	sniper	21394	13029	2	1	false
98	sniper	21394	16687	0	1	false
99	sniper	21394	2790	7	1	false
