# seed=42 mode=sniper file=sample.dff filesize=32
trial	mode	filesize	off	bit	span	detected
0	sniper	32	22	1	1	false
1	sniper	32	27	3	1	false
2	sniper	32	13	2	1	true
3	sniper	32	12	7	1	true
4	sniper	32	8	5	1	true
5	sniper	32	25	1	1	false
6	sniper	32	28	6	1	false
7	sniper	32	17	3	1	true
8	sniper	32	26	4	1	false
9	sniper	32	3	4	1	true
10	sniper	32	8	7	1	true
11	sniper	32	16	3	1	true
12	sniper	32	3	1	1	true
13	sniper	32	10	3	1	false
14	sniper	32	20	0	1	false
15	sniper	32	16	3	1	true
16	sniper	32	22	6	1	false
17	sniper	32	21	0	1	false
18	sniper	32	26	7	1	false
19	sniper	32	22	6	1	false
20	sniper	32	2	3	1	true
21	sniper	32	15	4	1	true
22	sniper	32	14	2	1	true
23	sniper	32	26	0	1	false
24	sniper	32	25	5	1	false
25	sniper	32	22	0	1	false
26	sniper	32	2	5	1	true
27	sniper	32	2	4	1	true
28	sniper	32	15	4	1	true
29	sniper	32	15	7	1	true
30	sniper	32	8	1	1	true
31	sniper	32	17	3	1	true
32	sniper	32	0	0	1	true
33	sniper	32	27	0	1	false
34	sniper	32	10	4	1	true
35	sniper	32	31	7	1	false
36	sniper	32	20	6	1	false
37	sniper	32	20	5	1	false
38	sniper	32	27	6	1	false
39	sniper	32	0	0	1	true
40	sniper	32	27	7	1	false
41	sniper	32	30	7	1	false
42	sniper	32	17	6	1	true
43	sniper	32	29	0	1	false
44	sniper	32	18	0	1	true
45	sniper	32	30	6	1	false
46	sniper	32	9	3	1	true
47	sniper	32	17	5	1	true
48	sniper	32	7	2	1	true
49	sniper	32	13	2	1	true
50	sniper	32	25	2	1	false
51	sniper	32	21	3	1	false
52	sniper	32	24	7	1	false
53	sniper	32	6	2	1	true
54	sniper	32	4	6	1	true
55	sniper	32	31	7	1	false
56	sniper	32	27	6	1	false
57	sniper	32	13	6	1	true
58	sniper	32	23	1	1	false
59	sniper	32	19	2	1	true
60	sniper	32	9	4	1	true
61	sniper	32	14	2	1	true
62	sniper	32	20	5	1	false
63	sniper	32	14	7	1	true
64	sniper	32	26	0	1	false
65	sniper	32	4	0	1	true
66	sniper	32	17	3	1	true
67	sniper	32	18	7	1	true
68	sniper	32	30	1	1	false
69	sniper	32	27	3	1	false
70	sniper	32	27	2	1	false
71	sniper	32	29	6	1	false
72	sniper	32	13	2	1	true
73	sniper	32	5	4	1	true
74	sniper	32	29	2	1	false
75	sniper	32	21	2	1	false
76	sniper	32	16	0	1	true
77	sniper	32	29	4	1	false
78	sniper	32	27	2	1	false
79	sniper	32	2	4	1	true
80	sniper	32	11	2	1	false
81	sniper	32	13	3	1	true
82	sniper	32	5	0	1	true
83	sniper	32	29	2	1	false
84	sniper	32	0	2	1	true
85	sniper	32	31	3	1	false
86	sniper	32	27	6	1	false
87	sniper	32	6	6	1	true
88	sniper	32	6	0	1	true
89	sniper	32	30	5	1	false
90	sniper	32	4	6	1	true
91	sniper	32	9	4	1	true
92	sniper	32	9	2	1	true
93	sniper	32	25	3	1	false
94	sniper	32	25	4	1	false
95	sniper	32	17	7	1	true
96	sniper	32	1	6	1	true
97	sniper	32	21	2	1	false
98	sniper	32	3	0	1	true
99	sniper	32	26	7	1	false
