# seed=42 mode=sniper file=blackmagic_micro_cinema.dng filesize=1228096
trial	mode	filesize	off	bit	span	detected
0	sniper	1228096	448278	1	1	false
1	sniper	1228096	215003	3	1	false
2	sniper	1228096	420781	2	1	false
3	sniper	1228096	1037932	7	1	false
4	sniper	1228096	315720	5	1	false
5	sniper	1228096	49625	1	1	false
6	sniper	1228096	965212	6	1	false
7	sniper	1228096	1134481	3	1	false
8	sniper	1228096	1036890	4	1	false
9	sniper	1228096	1041891	4	1	false
10	sniper	1228096	909640	7	1	false
11	sniper	1228096	35984	3	1	false
12	sniper	1228096	872003	1	1	false
13	sniper	1228096	574442	3	1	false
14	sniper	1228096	265876	0	1	false
15	sniper	1228096	915760	3	1	false
16	sniper	1228096	992822	6	1	false
17	sniper	1228096	410165	0	1	false
18	sniper	1228096	308122	7	1	false
19	sniper	1228096	1196886	6	1	false
20	sniper	1228096	11298	3	1	false
21	sniper	1228096	104879	4	1	false
22	sniper	1228096	277486	2	1	false
23	sniper	1228096	1110714	0	1	false
24	sniper	1228096	469081	5	1	false
25	sniper	1228096	217174	0	1	false
26	sniper	1228096	604514	5	1	false
27	sniper	1228096	71330	4	1	false
28	sniper	1228096	413711	4	1	false
29	sniper	1228096	1903	7	1	false
30	sniper	1228096	350280	1	1	false
31	sniper	1228096	998577	3	1	false
32	sniper	1228096	551680	0	1	false
33	sniper	1228096	1022043	0	1	false
34	sniper	1228096	767914	4	1	false
35	sniper	1228096	1020191	7	1	false
36	sniper	1228096	278868	6	1	false
37	sniper	1228096	393108	5	1	false
38	sniper	1228096	939323	6	1	false
39	sniper	1228096	1068096	0	1	false
40	sniper	1228096	897915	7	1	false
41	sniper	1228096	23742	7	1	false
42	sniper	1228096	1012049	6	1	false
43	sniper	1228096	319901	0	1	false
44	sniper	1228096	679026	0	1	false
45	sniper	1228096	387806	6	1	false
46	sniper	1228096	469193	3	1	false
47	sniper	1228096	119025	5	1	false
48	sniper	1228096	152231	2	1	false
49	sniper	1228096	733037	2	1	false
50	sniper	1228096	981529	2	1	false
51	sniper	1228096	1173973	3	1	false
52	sniper	1228096	32888	7	1	false
53	sniper	1228096	392902	2	1	false
54	sniper	1228096	140612	6	1	false
55	sniper	1228096	343327	7	1	false
56	sniper	1228096	1027515	6	1	false
57	sniper	1228096	648877	6	1	false
58	sniper	1228096	384567	1	1	false
59	sniper	1228096	256819	2	1	false
60	sniper	1228096	1158441	4	1	false
61	sniper	1228096	969006	2	1	false
62	sniper	1228096	919476	5	1	false
63	sniper	1228096	1118670	7	1	false
64	sniper	1228096	458010	0	1	false
65	sniper	1228096	404612	0	1	false
66	sniper	1228096	875185	3	1	false
67	sniper	1228096	591666	7	1	false
68	sniper	1228096	648798	1	1	false
69	sniper	1228096	113019	3	1	false
70	sniper	1228096	1153499	2	1	false
71	sniper	1228096	402013	6	1	false
72	sniper	1228096	458477	2	1	false
73	sniper	1228096	372677	4	1	false
74	sniper	1228096	1121533	2	1	false
75	sniper	1228096	471381	2	1	false
76	sniper	1228096	1183312	0	1	false
77	sniper	1228096	338589	4	1	false
78	sniper	1228096	271451	2	1	false
79	sniper	1228096	324290	4	1	false
80	sniper	1228096	912875	2	1	false
81	sniper	1228096	1048045	3	1	false
82	sniper	1228096	808037	0	1	false
83	sniper	1228096	458525	2	1	false
84	sniper	1228096	497216	2	1	false
85	sniper	1228096	1136479	3	1	false
86	sniper	1228096	1028635	6	1	false
87	sniper	1228096	558470	6	1	false
88	sniper	1228096	429606	0	1	false
89	sniper	1228096	821086	5	1	false
90	sniper	1228096	41252	6	1	false
91	sniper	1228096	192681	4	1	false
92	sniper	1228096	777737	2	1	false
93	sniper	1228096	778841	3	1	false
94	sniper	1228096	248441	4	1	false
95	sniper	1228096	331793	7	1	false
96	sniper	1228096	558241	6	1	false
97	sniper	1228096	527797	2	1	false
98	sniper	1228096	1076227	0	1	false
99	sniper	1228096	48410	7	1	false
