# seed=42 mode=bolter file=word95_large.doc filesize=603136
trial	mode	filesize	off	bit	span	detected
0	bolter	603136	61398	-	1	false
1	bolter	603136	135337	-	1	false
2	bolter	603136	34459	-	1	false
3	bolter	603136	92035	-	1	false
4	bolter	603136	79533	-	1	false
5	bolter	603136	393778	-	1	false
6	bolter	603136	254252	-	1	false
7	bolter	603136	602071	-	1	false
8	bolter	603136	166920	-	1	false
9	bolter	603136	200373	-	1	false
10	bolter	603136	494041	-	1	false
11	bolter	603136	75905	-	1	false
12	bolter	603136	429532	-	1	false
13	bolter	603136	395158	-	1	false
14	bolter	603136	17489	-	1	false
15	bolter	603136	369259	-	1	false
16	bolter	603136	398042	-	1	false
17	bolter	603136	462404	-	1	false
18	bolter	603136	563747	-	1	false
19	bolter	603136	269764	-	1	false
20	bolter	603136	60488	-	1	false
21	bolter	603136	264983	-	1	false
22	bolter	603136	462544	-	1	false
23	bolter	603136	42923	-	1	false
24	bolter	603136	417667	-	1	false
25	bolter	603136	313889	-	1	false
26	bolter	603136	132010	-	1	false
27	bolter	603136	574619	-	1	false
28	bolter	603136	134932	-	1	false
29	bolter	603136	392392	-	1	false
30	bolter	603136	282864	-	1	false
31	bolter	603136	582923	-	1	false
32	bolter	603136	401590	-	1	false
33	bolter	603136	493030	-	1	false
34	bolter	603136	404213	-	1	false
35	bolter	603136	162024	-	1	false
36	bolter	603136	300186	-	1	false
37	bolter	603136	208239	-	1	false
38	bolter	603136	58070	-	1	false
39	bolter	603136	524470	-	1	false
40	bolter	603136	285090	-	1	false
41	bolter	603136	164667	-	1	false
42	bolter	603136	436207	-	1	false
43	bolter	603136	193692	-	1	false
44	bolter	603136	221934	-	1	false
45	bolter	603136	516826	-	1	false
46	bolter	603136	170298	-	1	false
47	bolter	603136	374624	-	1	false
48	bolter	603136	292505	-	1	false
49	bolter	603136	337365	-	1	false
50	bolter	603136	564374	-	1	false
51	bolter	603136	189464	-	1	false
52	bolter	603136	304930	-	1	false
53	bolter	603136	316037	-	1	false
54	bolter	603136	458210	-	1	false
55	bolter	603136	227988	-	1	false
56	bolter	603136	193487	-	1	false
57	bolter	603136	234140	-	1	false
58	bolter	603136	489967	-	1	false
59	bolter	603136	11783	-	1	false
60	bolter	603136	159816	-	1	false
61	bolter	603136	429721	-	1	false
62	bolter	603136	302193	-	1	false
63	bolter	603136	546075	-	1	false
64	bolter	603136	476288	-	1	false
65	bolter	603136	123760	-	1	false
66	bolter	603136	91547	-	1	false
67	bolter	603136	400944	-	1	false
68	bolter	603136	466346	-	1	false
69	bolter	603136	315404	-	1	false
70	bolter	603136	567839	-	1	true
71	bolter	603136	403535	-	1	false
72	bolter	603136	181652	-	1	false
73	bolter	603136	519542	-	1	false
74	bolter	603136	323668	-	1	false
75	bolter	603136	408485	-	1	false
76	bolter	603136	576251	-	1	false
77	bolter	603136	177718	-	1	false
78	bolter	603136	373696	-	1	false
79	bolter	603136	318528	-	1	false
80	bolter	603136	243195	-	1	false
81	bolter	603136	251775	-	1	false
82	bolter	603136	472126	-	1	false
83	bolter	603136	255359	-	1	false
84	bolter	603136	47825	-	1	false
85	bolter	603136	449926	-	1	false
86	bolter	603136	567901	-	1	true
87	bolter	603136	348440	-	1	false
88	bolter	603136	561970	-	1	false
89	bolter	603136	275192	-	1	false
90	bolter	603136	201310	-	1	false
91	bolter	603136	517526	-	1	false
92	bolter	603136	389833	-	1	false
93	bolter	603136	192931	-	1	false
94	bolter	603136	597169	-	1	false
95	bolter	603136	446365	-	1	false
96	bolter	603136	201831	-	1	false
97	bolter	603136	502970	-	1	false
98	bolter	603136	590189	-	1	false
99	bolter	603136	529042	-	1	false
