# seed=42 mode=sniper file=word95_large.doc filesize=603136
trial	mode	filesize	off	bit	span	detected
0	sniper	603136	61398	1	1	false
1	sniper	603136	34459	3	1	false
2	sniper	603136	79533	2	1	false
3	sniper	603136	254252	7	1	false
4	sniper	603136	166920	5	1	false
5	sniper	603136	494041	1	1	false
6	sniper	603136	429532	6	1	false
7	sniper	603136	17489	3	1	false
8	sniper	603136	398042	4	1	false
9	sniper	603136	563747	4	1	false
10	sniper	603136	60488	7	1	false
11	sniper	603136	462544	3	1	false
12	sniper	603136	417667	1	1	false
13	sniper	603136	132010	3	1	false
14	sniper	603136	134932	0	1	false
15	sniper	603136	282864	3	1	false
16	sniper	603136	401590	6	1	false
17	sniper	603136	404213	0	1	false
18	sniper	603136	300186	7	1	false
19	sniper	603136	58070	6	1	false
20	sniper	603136	285090	3	1	false
21	sniper	603136	436207	4	1	false
22	sniper	603136	221934	2	1	false
23	sniper	603136	170298	0	1	false
24	sniper	603136	292505	5	1	false
25	sniper	603136	564374	0	1	false
26	sniper	603136	304930	5	1	false
27	sniper	603136	458210	4	1	false
28	sniper	603136	193487	4	1	false
29	sniper	603136	489967	7	1	false
30	sniper	603136	159816	1	1	false
31	sniper	603136	302193	3	1	false
32	sniper	603136	476288	0	1	false
33	sniper	603136	91547	0	1	false
34	sniper	603136	466346	4	1	false
35	sniper	603136	567839	7	1	true
36	sniper	603136	181652	6	1	false
37	sniper	603136	323668	5	1	false
38	sniper	603136	576251	6	1	false
39	sniper	603136	373696	0	1	false
40	sniper	603136	243195	7	1	false
41	sniper	603136	472126	7	1	false
42	sniper	603136	47825	6	1	false
43	sniper	603136	567901	0	1	false
44	sniper	603136	561970	0	1	false
45	sniper	603136	201310	6	1	false
46	sniper	603136	389833	3	1	false
47	sniper	603136	597169	5	1	false
48	sniper	603136	201831	2	1	false
49	sniper	603136	590189	2	1	false
50	sniper	603136	328793	2	1	false
51	sniper	603136	74837	3	1	false
52	sniper	603136	554680	7	1	false
53	sniper	603136	176646	2	1	false
54	sniper	603136	79108	6	1	false
55	sniper	603136	533791	7	1	false
56	sniper	603136	134715	6	1	false
57	sniper	603136	502061	6	1	false
58	sniper	603136	140535	1	1	false
59	sniper	603136	292531	2	1	false
60	sniper	603136	555305	4	1	false
61	sniper	603136	284526	2	1	false
62	sniper	603136	56436	5	1	false
63	sniper	603136	418318	7	1	false
64	sniper	603136	57242	0	1	false
65	sniper	603136	525636	0	1	false
66	sniper	603136	551793	3	1	false
67	sniper	603136	325810	7	1	false
68	sniper	603136	216286	1	1	false
69	sniper	603136	154683	3	1	false
70	sniper	603136	34523	2	1	false
71	sniper	603136	370269	6	1	false
72	sniper	603136	137069	2	1	false
73	sniper	603136	53253	4	1	false
74	sniper	603136	64061	2	1	false
75	sniper	603136	350357	2	1	false
76	sniper	603136	482960	0	1	false
77	sniper	603136	334621	4	1	false
78	sniper	603136	315099	2	1	false
79	sniper	603136	451266	4	1	false
80	sniper	603136	235	2	1	false
81	sniper	603136	460781	3	1	false
82	sniper	603136	365605	0	1	false
83	sniper	603136	121245	2	1	false
84	sniper	603136	511104	2	1	false
85	sniper	603136	217887	3	1	false
86	sniper	603136	435419	6	1	false
87	sniper	603136	112070	6	1	false
88	sniper	603136	499046	0	1	false
89	sniper	603136	596894	5	1	false
90	sniper	603136	118628	6	1	false
91	sniper	603136	67689	4	1	false
92	sniper	603136	420617	2	1	false
93	sniper	603136	145945	3	1	false
94	sniper	603136	579769	4	1	false
95	sniper	603136	204817	7	1	false
96	sniper	603136	205089	6	1	false
97	sniper	603136	277813	2	1	false
98	sniper	603136	52483	0	1	false
99	sniper	603136	213082	7	1	false
