# seed=42 mode=bolter file=sample.dv filesize=360000
trial	mode	filesize	off	bit	span	detected
0	bolter	360000	267926	-	1	false
1	bolter	360000	351209	-	1	false
2	bolter	360000	81435	-	1	false
3	bolter	360000	34755	-	1	false
4	bolter	360000	270957	-	1	false
5	bolter	360000	168946	-	1	false
6	bolter	360000	269100	-	1	false
7	bolter	360000	61271	-	1	false
8	bolter	360000	208904	-	1	false
9	bolter	360000	130293	-	1	false
10	bolter	360000	127705	-	1	false
11	bolter	360000	196225	-	1	false
12	bolter	360000	21468	-	1	false
13	bolter	360000	139414	-	1	false
14	bolter	360000	190673	-	1	false
15	bolter	360000	353835	-	1	false
16	bolter	360000	16858	-	1	false
17	bolter	360000	88324	-	1	false
18	bolter	360000	16931	-	1	false
19	bolter	360000	218308	-	1	false
20	bolter	360000	289416	-	1	false
21	bolter	360000	357015	-	1	false
22	bolter	360000	48720	-	1	true
23	bolter	360000	306667	-	1	false
24	bolter	360000	131843	-	1	false
25	bolter	360000	87777	-	1	false
26	bolter	360000	40170	-	1	false
27	bolter	360000	202523	-	1	false
28	bolter	360000	224404	-	1	false
29	bolter	360000	109448	-	1	false
30	bolter	360000	72816	-	1	false
31	bolter	360000	22475	-	1	false
32	bolter	360000	330550	-	1	false
33	bolter	360000	98278	-	1	false
34	bolter	360000	127285	-	1	false
35	bolter	360000	45736	-	1	false
36	bolter	360000	248538	-	1	false
37	bolter	360000	215279	-	1	false
38	bolter	360000	253142	-	1	false
39	bolter	360000	56758	-	1	false
40	bolter	360000	109730	-	1	false
41	bolter	360000	294267	-	1	false
42	bolter	360000	270255	-	1	false
43	bolter	360000	327836	-	1	false
44	bolter	360000	71854	-	1	false
45	bolter	360000	202202	-	1	false
46	bolter	360000	260090	-	1	false
47	bolter	360000	201248	-	1	false
48	bolter	360000	143001	-	1	false
49	bolter	360000	287061	-	1	false
50	bolter	360000	141846	-	1	false
51	bolter	360000	64088	-	1	false
52	bolter	360000	232994	-	1	false
53	bolter	360000	279685	-	1	false
54	bolter	360000	103522	-	1	false
55	bolter	360000	231124	-	1	false
56	bolter	360000	109071	-	1	false
57	bolter	360000	318364	-	1	false
58	bolter	360000	58543	-	1	false
59	bolter	360000	150151	-	1	false
60	bolter	360000	316872	-	1	false
61	bolter	360000	209241	-	1	false
62	bolter	360000	313841	-	1	false
63	bolter	360000	254043	-	1	false
64	bolter	360000	59392	-	1	false
65	bolter	360000	243312	-	1	false
66	bolter	360000	92443	-	1	false
67	bolter	360000	253680	-	1	true
68	bolter	360000	323242	-	1	false
69	bolter	360000	192332	-	1	false
70	bolter	360000	289631	-	1	false
71	bolter	360000	266895	-	1	false
72	bolter	360000	316116	-	1	false
73	bolter	360000	91574	-	1	false
74	bolter	360000	99092	-	1	false
75	bolter	360000	135077	-	1	false
76	bolter	360000	69563	-	1	false
77	bolter	360000	86710	-	1	false
78	bolter	360000	244800	-	1	true
79	bolter	360000	160064	-	1	false
80	bolter	360000	182139	-	1	false
81	bolter	360000	83775	-	1	false
82	bolter	360000	121022	-	1	false
83	bolter	360000	84223	-	1	false
84	bolter	360000	24913	-	1	false
85	bolter	360000	82246	-	1	false
86	bolter	360000	123933	-	1	false
87	bolter	360000	189720	-	1	false
88	bolter	360000	217778	-	1	false
89	bolter	360000	165368	-	1	false
90	bolter	360000	204254	-	1	false
91	bolter	360000	191382	-	1	false
92	bolter	360000	84681	-	1	false
93	bolter	360000	356963	-	1	false
94	bolter	360000	233457	-	1	false
95	bolter	360000	220445	-	1	false
96	bolter	360000	32615	-	1	false
97	bolter	360000	149754	-	1	false
98	bolter	360000	146861	-	1	false
99	bolter	360000	93330	-	1	false
