# seed=42 mode=shotgun file=sample.dv filesize=360000
trial	mode	filesize	off	bit	span	detected
0	shotgun	360000	100976	-	4096	false
1	shotgun	360000	131839	-	4096	false
2	shotgun	360000	264444	-	4096	false
3	shotgun	360000	138041	-	4096	false
4	shotgun	360000	162690	-	4096	false
5	shotgun	360000	125269	-	4096	false
6	shotgun	360000	220497	-	4096	false
7	shotgun	360000	347515	-	4096	false
8	shotgun	360000	84116	-	4096	false
9	shotgun	360000	346862	-	4096	false
10	shotgun	360000	46493	-	4096	false
11	shotgun	360000	286720	-	4096	false
12	shotgun	360000	186919	-	4096	false
13	shotgun	360000	232384	-	4096	false
14	shotgun	360000	260853	-	4096	false
15	shotgun	360000	63172	-	4096	false
16	shotgun	360000	169171	-	4096	false
17	shotgun	360000	112968	-	4096	false
18	shotgun	360000	320496	-	4096	false
19	shotgun	360000	294182	-	4096	false
20	shotgun	360000	219088	-	4096	false
21	shotgun	360000	82547	-	4096	false
22	shotgun	360000	291945	-	4096	false
23	shotgun	360000	135042	-	4096	false
24	shotgun	360000	156881	-	4096	false
25	shotgun	360000	328831	-	4096	false
26	shotgun	360000	220571	-	4096	false
27	shotgun	360000	212863	-	4096	false
28	shotgun	360000	69876	-	4096	false
29	shotgun	360000	196931	-	4096	false
30	shotgun	360000	144554	-	4096	false
31	shotgun	360000	56271	-	4096	false
32	shotgun	360000	95158	-	4096	false
33	shotgun	360000	354796	-	4096	false
34	shotgun	360000	27453	-	4096	false
35	shotgun	360000	267527	-	4096	false
36	shotgun	360000	87446	-	4096	false
37	shotgun	360000	337365	-	4096	false
38	shotgun	360000	106119	-	4096	false
39	shotgun	360000	100328	-	4096	false
40	shotgun	360000	240326	-	4096	false
41	shotgun	360000	266799	-	4096	false
42	shotgun	360000	181822	-	4096	false
43	shotgun	360000	284073	-	4096	false
44	shotgun	360000	30778	-	4096	false
45	shotgun	360000	31629	-	4096	false
46	shotgun	360000	27138	-	4096	false
47	shotgun	360000	153591	-	4096	false
48	shotgun	360000	104336	-	4096	false
49	shotgun	360000	281552	-	4096	false
50	shotgun	360000	288620	-	4096	false
51	shotgun	360000	75990	-	4096	false
52	shotgun	360000	241621	-	4096	false
53	shotgun	360000	78308	-	4096	false
54	shotgun	360000	298045	-	4096	false
55	shotgun	360000	88465	-	4096	false
56	shotgun	360000	187165	-	4096	false
57	shotgun	360000	168297	-	4096	false
58	shotgun	360000	21757	-	4096	false
59	shotgun	360000	124985	-	4096	false
60	shotgun	360000	50745	-	4096	false
61	shotgun	360000	337225	-	4096	false
62	shotgun	360000	340033	-	4096	false
63	shotgun	360000	140107	-	4096	false
64	shotgun	360000	233706	-	4096	false
65	shotgun	360000	62412	-	4096	false
66	shotgun	360000	125753	-	4096	false
67	shotgun	360000	102187	-	4096	false
68	shotgun	360000	49959	-	4096	false
69	shotgun	360000	168679	-	4096	false
70	shotgun	360000	335604	-	4096	false
71	shotgun	360000	309732	-	4096	false
72	shotgun	360000	255292	-	4096	false
73	shotgun	360000	34537	-	4096	false
74	shotgun	360000	265672	-	4096	false
75	shotgun	360000	252994	-	4096	false
76	shotgun	360000	150923	-	4096	false
77	shotgun	360000	324442	-	4096	false
78	shotgun	360000	125969	-	4096	false
79	shotgun	360000	251250	-	4096	false
80	shotgun	360000	218550	-	4096	false
81	shotgun	360000	276689	-	4096	false
82	shotgun	360000	43568	-	4096	false
83	shotgun	360000	131346	-	4096	false
84	shotgun	360000	60546	-	4096	false
85	shotgun	360000	316413	-	4096	false
86	shotgun	360000	38135	-	4096	false
87	shotgun	360000	275607	-	4096	false
88	shotgun	360000	191578	-	4096	false
89	shotgun	360000	317858	-	4096	false
90	shotgun	360000	155331	-	4096	false
91	shotgun	360000	236914	-	4096	false
92	shotgun	360000	322546	-	4096	false
93	shotgun	360000	283140	-	4096	false
94	shotgun	360000	165639	-	4096	false
95	shotgun	360000	114493	-	4096	false
96	shotgun	360000	112821	-	4096	false
97	shotgun	360000	322158	-	4096	false
98	shotgun	360000	165363	-	4096	false
99	shotgun	360000	255912	-	4096	false
