# seed=42 mode=sniper file=sample.dv filesize=360000
trial	mode	filesize	off	bit	span	detected
0	sniper	360000	267926	1	1	false
1	sniper	360000	81435	3	1	false
2	sniper	360000	270957	2	1	false
3	sniper	360000	269100	7	1	false
4	sniper	360000	208904	5	1	false
5	sniper	360000	127705	1	1	false
6	sniper	360000	21468	6	1	false
7	sniper	360000	190673	3	1	false
8	sniper	360000	16858	4	1	false
9	sniper	360000	16931	4	1	false
10	sniper	360000	289416	7	1	false
11	sniper	360000	48720	3	1	false
12	sniper	360000	131843	1	1	false
13	sniper	360000	40170	3	1	false
14	sniper	360000	224404	0	1	false
15	sniper	360000	72816	3	1	false
16	sniper	360000	330550	6	1	false
17	sniper	360000	127285	0	1	false
18	sniper	360000	248538	7	1	false
19	sniper	360000	253142	6	1	false
20	sniper	360000	109730	3	1	false
21	sniper	360000	270255	4	1	false
22	sniper	360000	71854	2	1	false
23	sniper	360000	260090	0	1	false
24	sniper	360000	143001	5	1	false
25	sniper	360000	141846	0	1	false
26	sniper	360000	232994	5	1	false
27	sniper	360000	103522	4	1	false
28	sniper	360000	109071	4	1	false
29	sniper	360000	58543	7	1	false
30	sniper	360000	316872	1	1	false
31	sniper	360000	313841	3	1	false
32	sniper	360000	59392	0	1	false
33	sniper	360000	92443	0	1	false
34	sniper	360000	323242	4	1	false
35	sniper	360000	289631	7	1	false
36	sniper	360000	316116	6	1	false
37	sniper	360000	99092	5	1	false
38	sniper	360000	69563	6	1	false
39	sniper	360000	244800	0	1	false
40	sniper	360000	182139	7	1	false
41	sniper	360000	121022	7	1	false
42	sniper	360000	24913	6	1	false
43	sniper	360000	123933	0	1	false
44	sniper	360000	217778	0	1	false
45	sniper	360000	204254	6	1	false
46	sniper	360000	84681	3	1	false
47	sniper	360000	233457	5	1	false
48	sniper	360000	32615	2	1	false
49	sniper	360000	146861	2	1	false
50	sniper	360000	42457	2	1	false
51	sniper	360000	210773	3	1	false
52	sniper	360000	41144	7	1	false
53	sniper	360000	276934	2	1	false
54	sniper	360000	12100	6	1	false
55	sniper	360000	122655	7	1	false
56	sniper	360000	280571	6	1	false
57	sniper	360000	149293	6	1	false
58	sniper	360000	303415	1	1	false
59	sniper	360000	91059	2	1	false
60	sniper	360000	163177	4	1	false
61	sniper	360000	320814	2	1	false
62	sniper	360000	274292	5	1	false
63	sniper	360000	329998	7	1	false
64	sniper	360000	189146	0	1	false
65	sniper	360000	59268	0	1	false
66	sniper	360000	282417	3	1	false
67	sniper	360000	256498	7	1	false
68	sniper	360000	141470	1	1	false
69	sniper	360000	60795	3	1	false
70	sniper	360000	30619	2	1	false
71	sniper	360000	57629	6	1	false
72	sniper	360000	320045	2	1	false
73	sniper	360000	307397	4	1	false
74	sniper	360000	84925	2	1	false
75	sniper	360000	33301	2	1	false
76	sniper	360000	225296	0	1	false
77	sniper	360000	277021	4	1	false
78	sniper	360000	250011	2	1	false
79	sniper	360000	261954	4	1	false
80	sniper	360000	6251	2	1	false
81	sniper	360000	341421	3	1	false
82	sniper	360000	104421	0	1	false
83	sniper	360000	10269	2	1	false
84	sniper	360000	246912	2	1	false
85	sniper	360000	73951	3	1	false
86	sniper	360000	335579	6	1	false
87	sniper	360000	110918	6	1	false
88	sniper	360000	3750	0	1	false
89	sniper	360000	116062	5	1	false
90	sniper	360000	77348	6	1	false
91	sniper	360000	222377	4	1	false
92	sniper	360000	106249	2	1	false
93	sniper	360000	317081	3	1	false
94	sniper	360000	244473	4	1	false
95	sniper	360000	309521	7	1	false
96	sniper	360000	265953	6	1	false
97	sniper	360000	248373	2	1	false
98	sniper	360000	97155	0	1	false
99	sniper	360000	41626	7	1	false
