# seed=42 mode=shotgun file=sample3_5.1_256kbps.eac3 filesize=1215488
trial	mode	filesize	off	bit	span	detected
0	shotgun	1215488	106826	-	4096	true
1	shotgun	1215488	736205	-	4096	true
2	shotgun	1215488	740135	-	4096	true
3	shotgun	1215488	133977	-	4096	true
4	shotgun	1215488	1098805	-	4096	false
5	shotgun	1215488	831348	-	4096	true
6	shotgun	1215488	177186	-	4096	true
7	shotgun	1215488	1136385	-	4096	false
8	shotgun	1215488	496171	-	4096	true
9	shotgun	1215488	567424	-	4096	true
10	shotgun	1215488	942398	-	4096	true
11	shotgun	1215488	693277	-	4096	true
12	shotgun	1215488	155453	-	4096	true
13	shotgun	1215488	379484	-	4096	true
14	shotgun	1215488	222134	-	4096	true
15	shotgun	1215488	1098572	-	4096	false
16	shotgun	1215488	802021	-	4096	true
17	shotgun	1215488	187103	-	4096	true
18	shotgun	1215488	722052	-	4096	true
19	shotgun	1215488	516178	-	4096	true
20	shotgun	1215488	884020	-	4096	true
21	shotgun	1215488	895894	-	4096	true
22	shotgun	1215488	559649	-	4096	true
23	shotgun	1215488	1000035	-	4096	true
24	shotgun	1215488	869364	-	4096	true
25	shotgun	1215488	1152092	-	4096	false
26	shotgun	1215488	150940	-	4096	true
27	shotgun	1215488	584532	-	4096	true
28	shotgun	1215488	598383	-	4096	true
29	shotgun	1215488	625071	-	4096	true
30	shotgun	1215488	900933	-	4096	true
31	shotgun	1215488	790073	-	4096	true
32	shotgun	1215488	574680	-	4096	true
33	shotgun	1215488	82531	-	4096	true
34	shotgun	1215488	647992	-	4096	true
35	shotgun	1215488	405562	-	4096	true
36	shotgun	1215488	782441	-	4096	true
37	shotgun	1215488	1113660	-	4096	false
38	shotgun	1215488	496591	-	4096	true
39	shotgun	1215488	272081	-	4096	true
40	shotgun	1215488	239508	-	4096	true
41	shotgun	1215488	270982	-	4096	true
42	shotgun	1215488	1026490	-	4096	false
43	shotgun	1215488	781756	-	4096	true
44	shotgun	1215488	1118409	-	4096	false
45	shotgun	1215488	297345	-	4096	true
46	shotgun	1215488	211321	-	4096	true
47	shotgun	1215488	763543	-	4096	true
48	shotgun	1215488	1050950	-	4096	false
49	shotgun	1215488	754173	-	4096	true
50	shotgun	1215488	909247	-	4096	true
51	shotgun	1215488	576831	-	4096	true
52	shotgun	1215488	1016073	-	4096	true
53	shotgun	1215488	85064	-	4096	true
54	shotgun	1215488	43941	-	4096	true
55	shotgun	1215488	744477	-	4096	true
56	shotgun	1215488	350438	-	4096	true
57	shotgun	1215488	399182	-	4096	true
58	shotgun	1215488	823699	-	4096	true
59	shotgun	1215488	1128655	-	4096	false
60	shotgun	1215488	421829	-	4096	true
61	shotgun	1215488	1132266	-	4096	false
62	shotgun	1215488	610398	-	4096	true
63	shotgun	1215488	8362	-	4096	true
64	shotgun	1215488	552062	-	4096	true
65	shotgun	1215488	376937	-	4096	true
66	shotgun	1215488	748953	-	4096	true
67	shotgun	1215488	979755	-	4096	true
68	shotgun	1215488	256776	-	4096	true
69	shotgun	1215488	196521	-	4096	true
70	shotgun	1215488	585996	-	4096	true
71	shotgun	1215488	828413	-	4096	true
72	shotgun	1215488	782862	-	4096	true
73	shotgun	1215488	122096	-	4096	true
74	shotgun	1215488	670562	-	4096	true
75	shotgun	1215488	315988	-	4096	true
76	shotgun	1215488	32338	-	4096	true
77	shotgun	1215488	345440	-	4096	true
78	shotgun	1215488	542528	-	4096	true
79	shotgun	1215488	981573	-	4096	true
80	shotgun	1215488	1070792	-	4096	false
81	shotgun	1215488	121958	-	4096	true
82	shotgun	1215488	324608	-	4096	false
83	shotgun	1215488	168926	-	4096	true
84	shotgun	1215488	817510	-	4096	true
85	shotgun	1215488	909959	-	4096	true
86	shotgun	1215488	530144	-	4096	true
87	shotgun	1215488	1143261	-	4096	false
88	shotgun	1215488	271299	-	4096	true
89	shotgun	1215488	260569	-	4096	true
90	shotgun	1215488	670414	-	4096	true
91	shotgun	1215488	426507	-	4096	true
92	shotgun	1215488	582179	-	4096	true
93	shotgun	1215488	19034	-	4096	true
94	shotgun	1215488	812410	-	4096	true
95	shotgun	1215488	1145477	-	4096	false
96	shotgun	1215488	57287	-	4096	true
97	shotgun	1215488	441535	-	4096	true
98	shotgun	1215488	635732	-	4096	true
99	shotgun	1215488	1123333	-	4096	false
