# seed=42 mode=sniper file=sample3_5.1_256kbps.eac3 filesize=1215488
trial	mode	filesize	off	bit	span	detected
0	sniper	1215488	1205206	1	1	false
1	sniper	1215488	523931	3	1	true
2	sniper	1215488	191149	2	1	true
3	sniper	1215488	876844	7	1	true
4	sniper	1215488	821256	5	1	true
5	sniper	1215488	930265	1	1	true
6	sniper	1215488	834012	6	1	true
7	sniper	1215488	448593	3	1	true
8	sniper	1215488	424666	4	1	true
9	sniper	1215488	781859	4	1	true
10	sniper	1215488	808008	7	1	true
11	sniper	1215488	379600	3	1	true
12	sniper	1215488	1201027	1	1	false
13	sniper	1215488	172970	3	1	true
14	sniper	1215488	92948	0	1	true
15	sniper	1215488	1198320	3	1	false
16	sniper	1215488	910518	6	1	true
17	sniper	1215488	536309	0	1	true
18	sniper	1215488	1073306	7	1	false
19	sniper	1215488	1065686	6	1	false
20	sniper	1215488	639394	3	1	true
21	sniper	1215488	1171439	4	1	false
22	sniper	1215488	423662	2	1	true
23	sniper	1215488	1013050	0	1	true
24	sniper	1215488	999065	5	1	true
25	sniper	1215488	490646	0	1	true
26	sniper	1215488	852770	5	1	true
27	sniper	1215488	1178082	4	1	false
28	sniper	1215488	545743	4	1	true
29	sniper	1215488	65007	7	1	true
30	sniper	1215488	288840	1	1	true
31	sniper	1215488	798833	3	1	true
32	sniper	1215488	791680	0	1	true
33	sniper	1215488	265627	0	1	true
34	sniper	1215488	998826	4	1	true
35	sniper	1215488	807455	7	1	true
36	sniper	1215488	133524	6	1	true
37	sniper	1215488	498772	5	1	true
38	sniper	1215488	48891	6	1	true
39	sniper	1215488	974784	0	1	true
40	sniper	1215488	422395	7	1	true
41	sniper	1215488	1036350	7	1	false
42	sniper	1215488	414417	6	1	true
43	sniper	1215488	900701	0	1	true
44	sniper	1215488	1194802	0	1	false
45	sniper	1215488	920158	6	1	true
46	sniper	1215488	958153	3	1	true
47	sniper	1215488	654513	5	1	true
48	sniper	1215488	974951	2	1	true
49	sniper	1215488	261485	2	1	true
50	sniper	1215488	1082457	2	1	false
51	sniper	1215488	279637	3	1	true
52	sniper	1215488	220856	7	1	true
53	sniper	1215488	932358	2	1	true
54	sniper	1215488	412932	6	1	true
55	sniper	1215488	121119	7	1	true
56	sniper	1215488	1176123	6	1	false
57	sniper	1215488	239917	6	1	true
58	sniper	1215488	16631	1	1	true
59	sniper	1215488	674483	2	1	true
60	sniper	1215488	688425	4	1	true
61	sniper	1215488	500590	2	1	true
62	sniper	1215488	599156	5	1	true
63	sniper	1215488	41486	7	1	true
64	sniper	1215488	437146	0	1	true
65	sniper	1215488	1041732	0	1	false
66	sniper	1215488	1093489	3	1	false
67	sniper	1215488	494770	7	1	true
68	sniper	1215488	520414	1	1	true
69	sniper	1215488	866363	3	1	true
70	sniper	1215488	733915	2	1	true
71	sniper	1215488	578141	6	1	true
72	sniper	1215488	880493	2	1	true
73	sniper	1215488	812037	4	1	false
74	sniper	1215488	794173	2	1	true
75	sniper	1215488	12437	2	1	true
76	sniper	1215488	567952	0	1	true
77	sniper	1215488	1049373	4	1	false
78	sniper	1215488	669403	2	1	true
79	sniper	1215488	357058	4	1	true
80	sniper	1215488	320747	2	1	true
81	sniper	1215488	538605	3	1	true
82	sniper	1215488	868389	0	1	true
83	sniper	1215488	733597	2	1	true
84	sniper	1215488	245888	2	1	true
85	sniper	1215488	1051423	3	1	false
86	sniper	1215488	86235	6	1	true
87	sniper	1215488	956870	6	1	true
88	sniper	1215488	1061222	0	1	false
89	sniper	1215488	634782	5	1	true
90	sniper	1215488	280420	6	1	true
91	sniper	1215488	1198185	4	1	false
92	sniper	1215488	968457	2	1	true
93	sniper	1215488	32281	3	1	true
94	sniper	1215488	561337	4	1	true
95	sniper	1215488	290833	7	1	true
96	sniper	1215488	880929	6	1	true
97	sniper	1215488	294197	2	1	true
98	sniper	1215488	590083	0	1	true
99	sniper	1215488	1083482	7	1	false
