# seed=42 mode=sniper file=sample.edifact filesize=152
trial	mode	filesize	off	bit	span	detected
0	sniper	152	142	1	1	true
1	sniper	152	107	3	1	false
2	sniper	152	37	2	1	false
3	sniper	152	108	7	1	false
4	sniper	152	24	5	1	false
5	sniper	152	41	1	1	false
6	sniper	152	132	6	1	true
7	sniper	152	9	3	1	true
8	sniper	152	106	4	1	false
9	sniper	152	131	4	1	true
10	sniper	152	144	7	1	true
11	sniper	152	8	3	1	true
12	sniper	152	123	1	1	false
13	sniper	152	74	3	1	false
14	sniper	152	108	0	1	false
15	sniper	152	144	3	1	true
16	sniper	152	6	6	1	false
17	sniper	152	45	0	1	false
18	sniper	152	138	7	1	true
19	sniper	152	6	6	1	false
20	sniper	152	90	3	1	false
21	sniper	152	119	4	1	false
22	sniper	152	14	2	1	false
23	sniper	152	58	0	1	true
24	sniper	152	57	5	1	true
25	sniper	152	150	0	1	true
26	sniper	152	18	5	1	false
27	sniper	152	82	4	1	false
28	sniper	152	143	4	1	true
29	sniper	152	71	7	1	true
30	sniper	152	64	1	1	true
31	sniper	152	17	3	1	false
32	sniper	152	72	0	1	false
33	sniper	152	43	0	1	false
34	sniper	152	10	4	1	true
35	sniper	152	119	7	1	false
36	sniper	152	12	6	1	true
37	sniper	152	60	5	1	true
38	sniper	152	19	6	1	false
39	sniper	152	80	0	1	false
40	sniper	152	147	7	1	true
41	sniper	152	14	7	1	false
42	sniper	152	97	6	1	false
43	sniper	152	29	0	1	false
44	sniper	152	26	0	1	false
45	sniper	152	62	6	1	true
46	sniper	152	105	3	1	false
47	sniper	152	113	5	1	false
48	sniper	152	127	2	1	true
49	sniper	152	125	2	1	true
50	sniper	152	17	2	1	false
51	sniper	152	53	3	1	true
52	sniper	152	32	7	1	false
53	sniper	152	22	2	1	false
54	sniper	152	68	6	1	true
55	sniper	152	119	7	1	false
56	sniper	152	43	6	1	false
57	sniper	152	5	6	1	false
58	sniper	152	87	1	1	true
59	sniper	152	83	2	1	false
60	sniper	152	49	4	1	false
61	sniper	152	134	2	1	false
62	sniper	152	44	5	1	false
63	sniper	152	14	7	1	false
64	sniper	152	90	0	1	false
65	sniper	152	20	0	1	false
66	sniper	152	33	3	1	false
67	sniper	152	74	7	1	false
68	sniper	152	142	1	1	true
69	sniper	152	99	3	1	false
70	sniper	152	19	2	1	false
71	sniper	152	149	6	1	true
72	sniper	152	117	2	1	false
73	sniper	152	53	4	1	true
74	sniper	152	69	2	1	true
75	sniper	152	149	2	1	true
76	sniper	152	56	0	1	true
77	sniper	152	69	4	1	true
78	sniper	152	3	2	1	false
79	sniper	152	130	4	1	true
80	sniper	152	83	2	1	false
81	sniper	152	69	3	1	true
82	sniper	152	45	0	1	false
83	sniper	152	101	2	1	false
84	sniper	152	80	2	1	false
85	sniper	152	71	3	1	true
86	sniper	152	91	6	1	false
87	sniper	152	46	6	1	false
88	sniper	152	30	0	1	false
89	sniper	152	142	5	1	true
90	sniper	152	68	6	1	true
91	sniper	152	49	4	1	false
92	sniper	152	33	2	1	false
93	sniper	152	25	3	1	false
94	sniper	152	41	4	1	false
95	sniper	152	73	7	1	false
96	sniper	152	41	6	1	false
97	sniper	152	109	2	1	false
98	sniper	152	43	0	1	false
99	sniper	152	130	7	1	true
