# seed=42 mode=shotgun file=sample.eml filesize=6585
trial	mode	filesize	off	bit	span	detected
0	shotgun	6585	1436	-	4096	false
1	shotgun	6585	1549	-	4096	false
2	shotgun	6585	2139	-	4096	false
3	shotgun	6585	2396	-	4096	false
4	shotgun	6585	1515	-	4096	false
5	shotgun	6585	34	-	4096	true
6	shotgun	6585	2337	-	4096	false
7	shotgun	6585	1600	-	4096	false
8	shotgun	6585	851	-	4096	false
9	shotgun	6585	1172	-	4096	false
10	shotgun	6585	203	-	4096	true
11	shotgun	6585	415	-	4096	false
12	shotgun	6585	1249	-	4096	false
13	shotgun	6585	1294	-	4096	false
14	shotgun	6585	858	-	4096	false
15	shotgun	6585	1597	-	4096	false
16	shotgun	6585	721	-	4096	false
17	shotgun	6585	168	-	4096	false
18	shotgun	6585	1671	-	4096	false
19	shotgun	6585	947	-	4096	false
20	shotgun	6585	613	-	4096	false
21	shotgun	6585	2012	-	4096	false
22	shotgun	6585	2205	-	4096	false
23	shotgun	6585	2337	-	4096	false
24	shotgun	6585	1481	-	4096	false
25	shotgun	6585	541	-	4096	false
26	shotgun	6585	1151	-	4096	false
27	shotgun	6585	2353	-	4096	false
28	shotgun	6585	2421	-	4096	false
29	shotgun	6585	1031	-	4096	false
30	shotgun	6585	899	-	4096	false
31	shotgun	6585	1581	-	4096	false
32	shotgun	6585	1813	-	4096	false
33	shotgun	6585	2221	-	4096	false
34	shotgun	6585	213	-	4096	false
35	shotgun	6585	242	-	4096	false
36	shotgun	6585	296	-	4096	false
37	shotgun	6585	1035	-	4096	false
38	shotgun	6585	2169	-	4096	false
39	shotgun	6585	758	-	4096	false
40	shotgun	6585	1976	-	4096	false
41	shotgun	6585	1209	-	4096	false
42	shotgun	6585	607	-	4096	false
43	shotgun	6585	2268	-	4096	false
44	shotgun	6585	1948	-	4096	false
45	shotgun	6585	1029	-	4096	false
46	shotgun	6585	153	-	4096	false
47	shotgun	6585	1296	-	4096	false
48	shotgun	6585	1931	-	4096	false
49	shotgun	6585	542	-	4096	false
50	shotgun	6585	1475	-	4096	false
51	shotgun	6585	1185	-	4096	false
52	shotgun	6585	91	-	4096	false
53	shotgun	6585	2033	-	4096	false
54	shotgun	6585	1030	-	4096	false
55	shotgun	6585	625	-	4096	false
56	shotgun	6585	1855	-	4096	false
57	shotgun	6585	297	-	4096	false
58	shotgun	6585	1117	-	4096	false
59	shotgun	6585	95	-	4096	false
60	shotgun	6585	1830	-	4096	false
61	shotgun	6585	1930	-	4096	false
62	shotgun	6585	2113	-	4096	false
63	shotgun	6585	1837	-	4096	false
64	shotgun	6585	1446	-	4096	false
65	shotgun	6585	2322	-	4096	false
66	shotgun	6585	533	-	4096	false
67	shotgun	6585	2227	-	4096	false
68	shotgun	6585	2184	-	4096	false
69	shotgun	6585	2329	-	4096	false
70	shotgun	6585	174	-	4096	false
71	shotgun	6585	1047	-	4096	false
72	shotgun	6585	2122	-	4096	false
73	shotgun	6585	1702	-	4096	false
74	shotgun	6585	67	-	4096	true
75	shotgun	6585	544	-	4096	false
76	shotgun	6585	833	-	4096	false
77	shotgun	6585	1252	-	4096	false
78	shotgun	6585	1814	-	4096	false
79	shotgun	6585	1410	-	4096	false
80	shotgun	6585	210	-	4096	false
81	shotgun	6585	1139	-	4096	false
82	shotgun	6585	1568	-	4096	false
83	shotgun	6585	501	-	4096	false
84	shotgun	6585	1806	-	4096	false
85	shotgun	6585	2253	-	4096	false
86	shotgun	6585	890	-	4096	false
87	shotgun	6585	102	-	4096	false
88	shotgun	6585	1993	-	4096	false
89	shotgun	6585	158	-	4096	false
90	shotgun	6585	441	-	4096	false
91	shotgun	6585	574	-	4096	false
92	shotgun	6585	1501	-	4096	false
93	shotgun	6585	765	-	4096	false
94	shotgun	6585	1164	-	4096	false
95	shotgun	6585	733	-	4096	false
96	shotgun	6585	66	-	4096	false
97	shotgun	6585	603	-	4096	false
98	shotgun	6585	1908	-	4096	false
99	shotgun	6585	1272	-	4096	false
