# seed=42 mode=shotgun file=encrypted_v2r3_rc4_128.pdf filesize=1723879
trial	mode	filesize	off	bit	span	detected
0	shotgun	1723879	1558542	-	4096	false
1	shotgun	1723879	576679	-	4096	false
2	shotgun	1723879	1200995	-	4096	false
3	shotgun	1723879	1085944	-	4096	false
4	shotgun	1723879	133441	-	4096	false
5	shotgun	1723879	1084634	-	4096	false
6	shotgun	1723879	661553	-	4096	false
7	shotgun	1723879	678978	-	4096	false
8	shotgun	1723879	377519	-	4096	false
9	shotgun	1723879	112870	-	4096	false
10	shotgun	1723879	832905	-	4096	false
11	shotgun	1723879	133985	-	4096	false
12	shotgun	1723879	876773	-	4096	false
13	shotgun	1723879	818222	-	4096	false
14	shotgun	1723879	1271148	-	4096	false
15	shotgun	1723879	744435	-	4096	false
16	shotgun	1723879	1254673	-	4096	false
17	shotgun	1723879	1583514	-	4096	false
18	shotgun	1723879	1506285	-	4096	false
19	shotgun	1723879	1454231	-	4096	false
20	shotgun	1723879	664951	-	4096	false
21	shotgun	1723879	803168	-	4096	false
22	shotgun	1723879	1082471	-	4096	false
23	shotgun	1723879	476779	-	4096	false
24	shotgun	1723879	1439283	-	4096	false
25	shotgun	1723879	1559115	-	4096	false
26	shotgun	1723879	786191	-	4096	false
27	shotgun	1723879	816213	-	4096	false
28	shotgun	1723879	1263013	-	4096	false
29	shotgun	1723879	296943	-	4096	false
30	shotgun	1723879	1303635	-	4096	false
31	shotgun	1723879	832849	-	4096	false
32	shotgun	1723879	777499	-	4096	false
33	shotgun	1723879	447295	-	4096	false
34	shotgun	1723879	531759	-	4096	false
35	shotgun	1723879	1420008	-	4096	false
36	shotgun	1723879	1621462	-	4096	false
37	shotgun	1723879	1048845	-	4096	false
38	shotgun	1723879	146775	-	4096	false
39	shotgun	1723879	1581038	-	4096	false
40	shotgun	1723879	616284	-	4096	false
41	shotgun	1723879	1024017	-	4096	false
42	shotgun	1723879	1159139	-	4096	false
43	shotgun	1723879	1285392	-	4096	false
44	shotgun	1723879	650892	-	4096	false
45	shotgun	1723879	562643	-	4096	false
46	shotgun	1723879	354597	-	4096	false
47	shotgun	1723879	1297426	-	4096	false
48	shotgun	1723879	902485	-	4096	false
49	shotgun	1723879	575978	-	4096	false
50	shotgun	1723879	1045783	-	4096	false
51	shotgun	1723879	252507	-	4096	false
52	shotgun	1723879	1466823	-	4096	false
53	shotgun	1723879	1412773	-	4096	false
54	shotgun	1723879	709522	-	4096	false
55	shotgun	1723879	154421	-	4096	false
56	shotgun	1723879	832469	-	4096	false
57	shotgun	1723879	255989	-	4096	false
58	shotgun	1723879	38081	-	4096	false
59	shotgun	1723879	737531	-	4096	false
60	shotgun	1723879	336360	-	4096	false
61	shotgun	1723879	1685418	-	4096	false
62	shotgun	1723879	240879	-	4096	false
63	shotgun	1723879	1709477	-	4096	false
64	shotgun	1723879	515592	-	4096	false
65	shotgun	1723879	598508	-	4096	false
66	shotgun	1723879	1460163	-	4096	false
67	shotgun	1723879	63907	-	4096	false
68	shotgun	1723879	1280298	-	4096	false
69	shotgun	1723879	1691013	-	4096	false
70	shotgun	1723879	163674	-	4096	false
71	shotgun	1723879	1246063	-	4096	false
72	shotgun	1723879	119266	-	4096	false
73	shotgun	1723879	481588	-	4096	false
74	shotgun	1723879	1132373	-	4096	false
75	shotgun	1723879	58030	-	4096	false
76	shotgun	1723879	1658011	-	4096	false
77	shotgun	1723879	259454	-	4096	false
78	shotgun	1723879	735754	-	4096	false
79	shotgun	1723879	573682	-	4096	false
80	shotgun	1723879	434590	-	4096	false
81	shotgun	1723879	1651535	-	4096	false
82	shotgun	1723879	1277526	-	4096	false
83	shotgun	1723879	1657629	-	4096	false
84	shotgun	1723879	1537362	-	4096	false
85	shotgun	1723879	374691	-	4096	false
86	shotgun	1723879	87602	-	4096	false
87	shotgun	1723879	1447448	-	4096	false
88	shotgun	1723879	641335	-	4096	false
89	shotgun	1723879	1197154	-	4096	false
90	shotgun	1723879	652179	-	4096	false
91	shotgun	1723879	757654	-	4096	false
92	shotgun	1723879	89687	-	4096	false
93	shotgun	1723879	1651881	-	4096	false
94	shotgun	1723879	292524	-	4096	false
95	shotgun	1723879	732231	-	4096	false
96	shotgun	1723879	225538	-	4096	false
97	shotgun	1723879	1090783	-	4096	false
98	shotgun	1723879	1161490	-	4096	false
99	shotgun	1723879	401662	-	4096	false
