# seed=42 mode=bolter file=encrypted_v4r4_aes128.pdf filesize=1725887
trial	mode	filesize	off	bit	span	detected
0	bolter	1725887	312061	-	1	false
1	bolter	1725887	748729	-	1	false
2	bolter	1725887	277430	-	1	false
3	bolter	1725887	497561	-	1	false
4	bolter	1725887	492801	-	1	false
5	bolter	1725887	375980	-	1	false
6	bolter	1725887	1572840	-	1	false
7	bolter	1725887	1142198	-	1	false
8	bolter	1725887	1579826	-	1	false
9	bolter	1725887	976420	-	1	false
10	bolter	1725887	1263037	-	1	false
11	bolter	1725887	11564	-	1	false
12	bolter	1725887	1302361	-	1	false
13	bolter	1725887	1504648	-	1	false
14	bolter	1725887	1292098	-	1	false
15	bolter	1725887	1020220	-	1	false
16	bolter	1725887	1120495	-	1	false
17	bolter	1725887	1060462	-	1	false
18	bolter	1725887	566311	-	1	false
19	bolter	1725887	1596635	-	1	false
20	bolter	1725887	1366256	-	1	false
21	bolter	1725887	1501332	-	1	false
22	bolter	1725887	1406865	-	1	false
23	bolter	1725887	1439313	-	1	false
24	bolter	1725887	475748	-	1	false
25	bolter	1725887	69786	-	1	false
26	bolter	1725887	1509811	-	1	false
27	bolter	1725887	143062	-	1	false
28	bolter	1725887	1372513	-	1	false
29	bolter	1725887	414727	-	1	false
30	bolter	1725887	136975	-	1	false
31	bolter	1725887	590615	-	1	false
32	bolter	1725887	916818	-	1	false
33	bolter	1725887	1395245	-	1	false
34	bolter	1725887	964111	-	1	false
35	bolter	1725887	1339701	-	1	false
36	bolter	1725887	284952	-	1	false
37	bolter	1725887	1181255	-	1	false
38	bolter	1725887	1534035	-	1	false
39	bolter	1725887	1420275	-	1	false
40	bolter	1725887	788239	-	1	false
41	bolter	1725887	288421	-	1	false
42	bolter	1725887	1476719	-	1	false
43	bolter	1725887	1466328	-	1	false
44	bolter	1725887	18555	-	1	false
45	bolter	1725887	1021848	-	1	false
46	bolter	1725887	919523	-	1	false
47	bolter	1725887	302000	-	1	false
48	bolter	1725887	663667	-	1	false
49	bolter	1725887	269228	-	1	false
50	bolter	1725887	623096	-	1	false
51	bolter	1725887	795264	-	1	false
52	bolter	1725887	280131	-	1	false
53	bolter	1725887	1480303	-	1	false
54	bolter	1725887	525806	-	1	false
55	bolter	1725887	1255139	-	1	false
56	bolter	1725887	504695	-	1	false
57	bolter	1725887	1124917	-	1	false
58	bolter	1725887	1318917	-	1	false
59	bolter	1725887	1195770	-	1	false
60	bolter	1725887	1615419	-	1	false
61	bolter	1725887	218700	-	1	false
62	bolter	1725887	872838	-	1	false
63	bolter	1725887	1722420	-	1	false
64	bolter	1725887	114250	-	1	false
65	bolter	1725887	1140705	-	1	false
66	bolter	1725887	177732	-	1	false
67	bolter	1725887	1713072	-	1	false
68	bolter	1725887	1515191	-	1	false
69	bolter	1725887	1582962	-	1	false
70	bolter	1725887	1355274	-	1	false
71	bolter	1725887	124968	-	1	false
72	bolter	1725887	965932	-	1	false
73	bolter	1725887	615242	-	1	false
74	bolter	1725887	1368767	-	1	false
75	bolter	1725887	1681812	-	1	false
76	bolter	1725887	1190875	-	1	false
77	bolter	1725887	195025	-	1	false
78	bolter	1725887	266067	-	1	false
79	bolter	1725887	467081	-	1	false
80	bolter	1725887	144440	-	1	false
81	bolter	1725887	1693426	-	1	false
82	bolter	1725887	973943	-	1	false
83	bolter	1725887	669859	-	1	false
84	bolter	1725887	1136903	-	1	false
85	bolter	1725887	1271825	-	1	false
86	bolter	1725887	286179	-	1	false
87	bolter	1725887	252299	-	1	false
88	bolter	1725887	869332	-	1	false
89	bolter	1725887	125457	-	1	false
90	bolter	1725887	1158401	-	1	false
91	bolter	1725887	347329	-	1	false
92	bolter	1725887	1153010	-	1	false
93	bolter	1725887	1174871	-	1	false
94	bolter	1725887	1539567	-	1	false
95	bolter	1725887	272322	-	1	false
96	bolter	1725887	1591811	-	1	false
97	bolter	1725887	413089	-	1	false
98	bolter	1725887	1057642	-	1	false
99	bolter	1725887	1725849	-	1	true
