# seed=42 mode=sniper file=encrypted_v5r6_aes256.pdf filesize=1726187
trial	mode	filesize	off	bit	span	detected
0	sniper	1726187	1469748	1	1	false
1	sniper	1726187	1669117	3	1	true
2	sniper	1726187	1502588	2	1	false
3	sniper	1726187	978840	7	1	false
4	sniper	1726187	1221626	5	1	false
5	sniper	1726187	733837	1	1	false
6	sniper	1726187	1284061	6	1	false
7	sniper	1726187	624598	3	1	false
8	sniper	1726187	595795	4	1	false
9	sniper	1726187	488311	4	1	false
10	sniper	1726187	1162256	7	1	false
11	sniper	1726187	907365	3	1	false
12	sniper	1726187	120248	1	1	false
13	sniper	1726187	1372711	3	1	false
14	sniper	1726187	984613	0	1	false
15	sniper	1726187	1220262	3	1	false
16	sniper	1726187	486018	6	1	false
17	sniper	1726187	303511	0	1	false
18	sniper	1726187	1627739	7	1	false
19	sniper	1726187	1515735	6	1	false
20	sniper	1726187	160339	3	1	false
21	sniper	1726187	1438319	4	1	false
22	sniper	1726187	1721642	2	1	true
23	sniper	1726187	427223	0	1	false
24	sniper	1726187	99067	5	1	false
25	sniper	1726187	248096	0	1	false
26	sniper	1726187	1631618	5	1	false
27	sniper	1726187	445406	4	1	false
28	sniper	1726187	70295	4	1	false
29	sniper	1726187	659517	7	1	false
30	sniper	1726187	1369719	1	1	false
31	sniper	1726187	732138	3	1	false
32	sniper	1726187	1280637	0	1	false
33	sniper	1726187	1258019	0	1	false
34	sniper	1726187	1223291	4	1	false
35	sniper	1726187	1111974	7	1	false
36	sniper	1726187	536332	6	1	false
37	sniper	1726187	626267	5	1	false
38	sniper	1726187	1123675	6	1	false
39	sniper	1726187	1314554	0	1	false
40	sniper	1726187	1487527	7	1	false
41	sniper	1726187	668843	7	1	false
42	sniper	1726187	467903	6	1	false
43	sniper	1726187	1549766	0	1	false
44	sniper	1726187	551932	0	1	false
45	sniper	1726187	552701	6	1	false
46	sniper	1726187	1083110	3	1	false
47	sniper	1726187	1098567	5	1	false
48	sniper	1726187	1084211	2	1	false
49	sniper	1726187	386542	2	1	false
50	sniper	1726187	144870	2	1	false
51	sniper	1726187	263940	3	1	false
52	sniper	1726187	772851	7	1	false
53	sniper	1726187	436337	2	1	false
54	sniper	1726187	1478114	6	1	false
55	sniper	1726187	21661	7	1	false
56	sniper	1726187	976088	6	1	false
57	sniper	1726187	1428737	6	1	false
58	sniper	1726187	180496	1	1	false
59	sniper	1726187	1336857	2	1	false
60	sniper	1726187	1371422	4	1	false
61	sniper	1726187	1437158	2	1	false
62	sniper	1726187	78755	5	1	false
63	sniper	1726187	678361	7	1	false
64	sniper	1726187	657954	0	1	false
65	sniper	1726187	1131538	0	1	false
66	sniper	1726187	102466	3	1	false
67	sniper	1726187	187913	7	1	false
68	sniper	1726187	1338120	1	1	false
69	sniper	1726187	484278	3	1	false
70	sniper	1726187	1100303	2	1	false
71	sniper	1726187	193618	6	1	false
72	sniper	1726187	742277	2	1	false
73	sniper	1726187	1228204	4	1	false
74	sniper	1726187	97967	2	1	false
75	sniper	1726187	1352982	2	1	false
76	sniper	1726187	1653757	0	1	false
77	sniper	1726187	1134303	4	1	false
78	sniper	1726187	244853	2	1	false
79	sniper	1726187	768399	4	1	false
80	sniper	1726187	1718285	2	1	true
81	sniper	1726187	773941	3	1	false
82	sniper	1726187	790873	0	1	false
83	sniper	1726187	744618	2	1	false
84	sniper	1726187	77347	2	1	false
85	sniper	1726187	1681084	3	1	true
86	sniper	1726187	919688	6	1	false
87	sniper	1726187	367436	6	1	false
88	sniper	1726187	1533163	0	1	false
89	sniper	1726187	31989	5	1	false
90	sniper	1726187	794776	6	1	false
91	sniper	1726187	959242	4	1	false
92	sniper	1726187	466291	2	1	false
93	sniper	1726187	1568135	3	1	false
94	sniper	1726187	766448	4	1	false
95	sniper	1726187	1011419	7	1	false
96	sniper	1726187	207684	6	1	false
97	sniper	1726187	819524	2	1	false
98	sniper	1726187	832783	0	1	false
99	sniper	1726187	748738	7	1	false
