# seed=42 mode=sniper file=sample.epub filesize=2026
trial	mode	filesize	off	bit	span	detected
0	sniper	2026	330	1	1	true
1	sniper	2026	189	3	1	true
2	sniper	2026	1801	2	1	true
3	sniper	2026	698	7	1	true
4	sniper	2026	1218	5	1	true
5	sniper	2026	1385	1	1	true
6	sniper	2026	1712	6	1	true
7	sniper	2026	1477	3	1	false
8	sniper	2026	586	4	1	true
9	sniper	2026	1041	4	1	false
10	sniper	2026	846	7	1	true
11	sniper	2026	1264	3	1	true
12	sniper	2026	1669	1	1	true
13	sniper	2026	896	3	1	true
14	sniper	2026	660	0	1	true
15	sniper	2026	618	3	1	true
16	sniper	2026	1414	6	1	true
17	sniper	2026	1719	0	1	false
18	sniper	2026	984	7	1	false
19	sniper	2026	396	6	1	true
20	sniper	2026	604	3	1	true
21	sniper	2026	287	4	1	true
22	sniper	2026	176	2	1	true
23	sniper	2026	444	0	1	false
24	sniper	2026	831	5	1	true
25	sniper	2026	102	0	1	false
26	sniper	2026	1822	5	1	false
27	sniper	2026	962	4	1	true
28	sniper	2026	1441	4	1	false
29	sniper	2026	1009	7	1	true
30	sniper	2026	444	1	1	false
31	sniper	2026	959	3	1	true
32	sniper	2026	648	0	1	true
33	sniper	2026	231	0	1	false
34	sniper	2026	1226	4	1	true
35	sniper	2026	1747	7	1	false
36	sniper	2026	938	6	1	true
37	sniper	2026	1766	5	1	true
38	sniper	2026	1007	6	1	true
39	sniper	2026	1722	0	1	false
40	sniper	2026	531	7	1	false
41	sniper	2026	1416	7	1	false
42	sniper	2026	959	6	1	true
43	sniper	2026	1135	0	1	true
44	sniper	2026	1422	0	1	false
45	sniper	2026	1384	6	1	true
46	sniper	2026	1277	3	1	true
47	sniper	2026	1275	5	1	true
48	sniper	2026	767	2	1	true
49	sniper	2026	883	2	1	true
50	sniper	2026	1071	2	1	true
51	sniper	2026	975	3	1	true
52	sniper	2026	842	7	1	true
53	sniper	2026	740	2	1	true
54	sniper	2026	1876	6	1	true
55	sniper	2026	441	7	1	true
56	sniper	2026	805	6	1	false
57	sniper	2026	1831	6	1	false
58	sniper	2026	567	1	1	true
59	sniper	2026	943	2	1	true
60	sniper	2026	1731	4	1	false
61	sniper	2026	1050	2	1	false
62	sniper	2026	1526	5	1	true
63	sniper	2026	1806	7	1	false
64	sniper	2026	804	0	1	false
65	sniper	2026	316	0	1	true
66	sniper	2026	779	3	1	true
67	sniper	2026	504	7	1	true
68	sniper	2026	1800	1	1	true
69	sniper	2026	489	3	1	true
70	sniper	2026	175	2	1	true
71	sniper	2026	1347	6	1	true
72	sniper	2026	1351	2	1	true
73	sniper	2026	533	4	1	false
74	sniper	2026	77	2	1	true
75	sniper	2026	921	2	1	true
76	sniper	2026	1922	0	1	false
77	sniper	2026	603	4	1	true
78	sniper	2026	715	2	1	true
79	sniper	2026	806	4	1	false
80	sniper	2026	1061	2	1	true
81	sniper	2026	1409	3	1	true
82	sniper	2026	1807	0	1	false
83	sniper	2026	695	2	1	true
84	sniper	2026	8	2	1	true
85	sniper	2026	211	3	1	false
86	sniper	2026	937	6	1	true
87	sniper	2026	1726	6	1	false
88	sniper	2026	996	0	1	false
89	sniper	2026	1980	5	1	false
90	sniper	2026	888	6	1	true
91	sniper	2026	1859	4	1	true
92	sniper	2026	1137	2	1	true
93	sniper	2026	1501	3	1	false
94	sniper	2026	309	4	1	true
95	sniper	2026	1321	7	1	true
96	sniper	2026	25	6	1	false
97	sniper	2026	315	2	1	true
98	sniper	2026	777	0	1	true
99	sniper	2026	1438	7	1	true
