# seed=42 mode=shotgun file=sample.exr filesize=25913
trial	mode	filesize	off	bit	span	detected
0	shotgun	25913	638	-	4096	true
1	shotgun	25913	10697	-	4096	false
2	shotgun	25913	10933	-	4096	false
3	shotgun	25913	13008	-	4096	false
4	shotgun	25913	13669	-	4096	false
5	shotgun	25913	9032	-	4096	false
6	shotgun	25913	12893	-	4096	false
7	shotgun	25913	5364	-	4096	false
8	shotgun	25913	11247	-	4096	false
9	shotgun	25913	5596	-	4096	false
10	shotgun	25913	19271	-	4096	false
11	shotgun	25913	4251	-	4096	false
12	shotgun	25913	29	-	4096	true
13	shotgun	25913	7762	-	4096	false
14	shotgun	25913	7918	-	4096	false
15	shotgun	25913	11585	-	4096	false
16	shotgun	25913	2577	-	4096	false
17	shotgun	25913	3714	-	4096	false
18	shotgun	25913	1695	-	4096	false
19	shotgun	25913	15665	-	4096	false
20	shotgun	25913	7899	-	4096	false
21	shotgun	25913	5148	-	4096	false
22	shotgun	25913	13957	-	4096	false
23	shotgun	25913	5803	-	4096	false
24	shotgun	25913	3361	-	4096	false
25	shotgun	25913	14311	-	4096	false
26	shotgun	25913	18345	-	4096	false
27	shotgun	25913	13129	-	4096	false
28	shotgun	25913	10637	-	4096	false
29	shotgun	25913	16659	-	4096	false
30	shotgun	25913	5333	-	4096	false
31	shotgun	25913	13767	-	4096	false
32	shotgun	25913	2773	-	4096	false
33	shotgun	25913	7213	-	4096	false
34	shotgun	25913	21421	-	4096	false
35	shotgun	25913	12448	-	4096	false
36	shotgun	25913	5854	-	4096	false
37	shotgun	25913	11869	-	4096	false
38	shotgun	25913	18325	-	4096	false
39	shotgun	25913	18216	-	4096	false
40	shotgun	25913	11546	-	4096	false
41	shotgun	25913	8897	-	4096	false
42	shotgun	25913	4469	-	4096	false
43	shotgun	25913	18060	-	4096	false
44	shotgun	25913	17680	-	4096	false
45	shotgun	25913	20561	-	4096	false
46	shotgun	25913	12433	-	4096	false
47	shotgun	25913	6384	-	4096	false
48	shotgun	25913	4885	-	4096	false
49	shotgun	25913	9546	-	4096	false
50	shotgun	25913	3287	-	4096	false
51	shotgun	25913	7349	-	4096	false
52	shotgun	25913	11711	-	4096	false
53	shotgun	25913	14721	-	4096	false
54	shotgun	25913	16832	-	4096	false
55	shotgun	25913	2755	-	4096	false
56	shotgun	25913	12199	-	4096	false
57	shotgun	25913	20661	-	4096	false
58	shotgun	25913	10763	-	4096	false
59	shotgun	25913	4417	-	4096	false
60	shotgun	25913	680	-	4096	true
61	shotgun	25913	15702	-	4096	false
62	shotgun	25913	20695	-	4096	false
63	shotgun	25913	11061	-	4096	false
64	shotgun	25913	15520	-	4096	false
65	shotgun	25913	10370	-	4096	false
66	shotgun	25913	12917	-	4096	false
67	shotgun	25913	21747	-	4096	false
68	shotgun	25913	2868	-	4096	false
69	shotgun	25913	12203	-	4096	false
70	shotgun	25913	7302	-	4096	false
71	shotgun	25913	11951	-	4096	false
72	shotgun	25913	1120	-	4096	false
73	shotgun	25913	11956	-	4096	false
74	shotgun	25913	183	-	4096	true
75	shotgun	25913	4964	-	4096	false
76	shotgun	25913	8279	-	4096	false
77	shotgun	25913	9040	-	4096	false
78	shotgun	25913	3436	-	4096	false
79	shotgun	25913	21316	-	4096	false
80	shotgun	25913	10028	-	4096	false
81	shotgun	25913	9971	-	4096	false
82	shotgun	25913	646	-	4096	true
83	shotgun	25913	12717	-	4096	false
84	shotgun	25913	11654	-	4096	false
85	shotgun	25913	2917	-	4096	false
86	shotgun	25913	12034	-	4096	false
87	shotgun	25913	17746	-	4096	false
88	shotgun	25913	12623	-	4096	false
89	shotgun	25913	4162	-	4096	false
90	shotgun	25913	9419	-	4096	false
91	shotgun	25913	12934	-	4096	false
92	shotgun	25913	11549	-	4096	false
93	shotgun	25913	16535	-	4096	false
94	shotgun	25913	18988	-	4096	false
95	shotgun	25913	7813	-	4096	false
96	shotgun	25913	4658	-	4096	false
97	shotgun	25913	1985	-	4096	false
98	shotgun	25913	16370	-	4096	false
99	shotgun	25913	12326	-	4096	false
