# seed=42 mode=sniper file=sample.exr filesize=25913
trial	mode	filesize	off	bit	span	detected
0	sniper	25913	25414	1	1	false
1	sniper	25913	5186	3	1	false
2	sniper	25913	7786	2	1	false
3	sniper	25913	23358	7	1	false
4	sniper	25913	2799	5	1	false
5	sniper	25913	17337	1	1	false
6	sniper	25913	1299	6	1	false
7	sniper	25913	21640	3	1	false
8	sniper	25913	3142	4	1	false
9	sniper	25913	17337	4	1	false
10	sniper	25913	22170	7	1	false
11	sniper	25913	13196	3	1	false
12	sniper	25913	1884	1	1	false
13	sniper	25913	23235	3	1	false
14	sniper	25913	21194	0	1	false
15	sniper	25913	20761	3	1	false
16	sniper	25913	12449	6	1	false
17	sniper	25913	7924	0	1	false
18	sniper	25913	20761	7	1	false
19	sniper	25913	25669	6	1	false
20	sniper	25913	20140	3	1	false
21	sniper	25913	4889	4	1	false
22	sniper	25913	4077	2	1	false
23	sniper	25913	5887	0	1	false
24	sniper	25913	18365	5	1	false
25	sniper	25913	24945	0	1	false
26	sniper	25913	3220	5	1	false
27	sniper	25913	24125	4	1	false
28	sniper	25913	21091	4	1	false
29	sniper	25913	15171	7	1	false
30	sniper	25913	7942	1	1	false
31	sniper	25913	14331	3	1	false
32	sniper	25913	22187	0	1	false
33	sniper	25913	10504	0	1	false
34	sniper	25913	8323	4	1	false
35	sniper	25913	11460	7	1	false
36	sniper	25913	24960	6	1	false
37	sniper	25913	14957	5	1	false
38	sniper	25913	1518	6	1	false
39	sniper	25913	19342	0	1	false
40	sniper	25913	20098	7	1	false
41	sniper	25913	25186	7	1	false
42	sniper	25913	22329	6	1	false
43	sniper	25913	1964	0	1	false
44	sniper	25913	17191	0	1	false
45	sniper	25913	11146	6	1	false
46	sniper	25913	662	3	1	true
47	sniper	25913	499	5	1	true
48	sniper	25913	24126	2	1	false
49	sniper	25913	645	2	1	true
50	sniper	25913	14745	2	1	false
51	sniper	25913	1260	3	1	false
52	sniper	25913	13198	7	1	false
53	sniper	25913	5193	2	1	false
54	sniper	25913	9135	6	1	false
55	sniper	25913	23066	7	1	false
56	sniper	25913	13115	6	1	false
57	sniper	25913	16680	6	1	false
58	sniper	25913	3402	1	1	false
59	sniper	25913	16468	2	1	false
60	sniper	25913	16815	4	1	false
61	sniper	25913	2401	2	1	false
62	sniper	25913	10092	5	1	false
63	sniper	25913	24407	7	1	false
64	sniper	25913	1366	0	1	false
65	sniper	25913	7471	0	1	false
66	sniper	25913	1757	3	1	false
67	sniper	25913	7786	7	1	false
68	sniper	25913	20627	1	1	false
69	sniper	25913	25464	3	1	false
70	sniper	25913	787	2	1	true
71	sniper	25913	12043	6	1	false
72	sniper	25913	15069	2	1	false
73	sniper	25913	9827	4	1	false
74	sniper	25913	4150	2	1	false
75	sniper	25913	8304	2	1	false
76	sniper	25913	20995	0	1	false
77	sniper	25913	20541	4	1	false
78	sniper	25913	6051	2	1	false
79	sniper	25913	25211	4	1	false
80	sniper	25913	22128	2	1	false
81	sniper	25913	11799	3	1	false
82	sniper	25913	7385	0	1	false
83	sniper	25913	796	2	1	true
84	sniper	25913	25329	2	1	false
85	sniper	25913	15924	3	1	false
86	sniper	25913	18803	6	1	false
87	sniper	25913	10583	6	1	false
88	sniper	25913	11231	0	1	false
89	sniper	25913	19359	5	1	false
90	sniper	25913	13163	6	1	false
91	sniper	25913	23783	4	1	false
92	sniper	25913	17187	2	1	false
93	sniper	25913	87	3	1	true
94	sniper	25913	2658	4	1	false
95	sniper	25913	17191	7	1	false
96	sniper	25913	12814	6	1	false
97	sniper	25913	21203	2	1	false
98	sniper	25913	14764	0	1	false
99	sniper	25913	7781	7	1	false
