# seed=42 mode=sniper file=sample.fcpxml filesize=134
trial	mode	filesize	off	bit	span	detected
0	sniper	134	18	1	1	true
1	sniper	134	105	3	1	false
2	sniper	134	71	2	1	false
3	sniper	134	0	7	1	false
4	sniper	134	94	5	1	false
5	sniper	134	31	1	1	true
6	sniper	134	12	6	1	true
7	sniper	134	77	3	1	true
8	sniper	134	24	4	1	true
9	sniper	134	23	4	1	true
10	sniper	134	64	7	1	false
11	sniper	134	128	3	1	true
12	sniper	134	71	1	1	false
13	sniper	134	94	3	1	true
14	sniper	134	28	0	1	true
15	sniper	134	60	3	1	true
16	sniper	134	38	6	1	true
17	sniper	134	77	0	1	true
18	sniper	134	104	7	1	false
19	sniper	134	0	6	1	false
20	sniper	134	126	3	1	true
21	sniper	134	103	4	1	false
22	sniper	134	68	2	1	false
23	sniper	134	132	0	1	true
24	sniper	134	35	5	1	true
25	sniper	134	18	0	1	true
26	sniper	134	126	5	1	true
27	sniper	134	124	4	1	true
28	sniper	134	105	4	1	false
29	sniper	134	49	7	1	false
30	sniper	134	90	1	1	false
31	sniper	134	29	3	1	true
32	sniper	134	10	0	1	true
33	sniper	134	19	0	1	true
34	sniper	134	104	4	1	false
35	sniper	134	35	7	1	false
36	sniper	134	106	6	1	false
37	sniper	134	22	5	1	true
38	sniper	134	129	6	1	true
39	sniper	134	34	0	1	true
40	sniper	134	57	7	1	false
41	sniper	134	104	7	1	false
42	sniper	134	23	6	1	true
43	sniper	134	123	0	1	true
44	sniper	134	0	0	1	false
45	sniper	134	76	6	1	true
46	sniper	134	23	3	1	true
47	sniper	134	39	5	1	true
48	sniper	134	67	2	1	false
49	sniper	134	127	2	1	true
50	sniper	134	93	2	1	false
51	sniper	134	109	3	1	false
52	sniper	134	106	7	1	false
53	sniper	134	14	2	1	true
54	sniper	134	94	6	1	false
55	sniper	134	93	7	1	false
56	sniper	134	35	6	1	true
57	sniper	134	43	6	1	true
58	sniper	134	105	1	1	false
59	sniper	134	31	2	1	true
60	sniper	134	5	4	1	true
61	sniper	134	62	2	1	true
62	sniper	134	46	5	1	true
63	sniper	134	104	7	1	false
64	sniper	134	68	0	1	false
65	sniper	134	56	0	1	false
66	sniper	134	55	3	1	true
67	sniper	134	28	7	1	false
68	sniper	134	90	1	1	false
69	sniper	134	81	3	1	true
70	sniper	134	99	2	1	false
71	sniper	134	37	6	1	true
72	sniper	134	61	2	1	true
73	sniper	134	97	4	1	false
74	sniper	134	55	2	1	true
75	sniper	134	25	2	1	true
76	sniper	134	44	0	1	true
77	sniper	134	81	4	1	true
78	sniper	134	3	2	1	false
79	sniper	134	56	4	1	false
80	sniper	134	61	2	1	true
81	sniper	134	51	3	1	false
82	sniper	134	13	0	1	true
83	sniper	134	51	2	1	false
84	sniper	134	8	2	1	true
85	sniper	134	21	3	1	true
86	sniper	134	61	6	1	true
87	sniper	134	0	6	1	false
88	sniper	134	74	0	1	false
89	sniper	134	128	5	1	true
90	sniper	134	68	6	1	false
91	sniper	134	1	4	1	true
92	sniper	134	75	2	1	true
93	sniper	134	121	3	1	true
94	sniper	134	37	4	1	true
95	sniper	134	111	7	1	false
96	sniper	134	31	6	1	true
97	sniper	134	27	2	1	true
98	sniper	134	93	0	1	false
99	sniper	134	62	7	1	true
